"","X1","NFG","OXY","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.836217552533993,0.810649935649936,"OXY",0.493506493506494,0.437229437229437,0.540637591196017,0.383269948258602
"46",2009-03-10,0.863102595797281,0.861647361647362,"OXY",0.909090909090909,0.930735930735931,0.589944369232057,0.787413012223146
"47",2009-03-11,0.846415327564895,0.865830115830116,NA,0.19047619047619,0.519480519480519,0.0534651821107778,0.867934223091129
"48",2009-03-12,0.857849196538937,0.908301158301158,NA,0.783549783549784,0.917748917748918,0.306807781546097,0.927272000380954
"49",2009-03-13,0.872991347342398,0.879826254826255,NA,0.813852813852814,0.199134199134199,0.983245827055066,0.0137748848097705
"50",2009-03-16,0.881953028430161,0.862129987129987,NA,0.688311688311688,0.285714285714286,0.907993882641725,0.0701429159937797
"51",2009-03-17,0.902348578491965,0.894305019305019,NA,0.848484848484849,0.87012987012987,0.616208355548901,0.734216807525061
"52",2009-03-18,0.913473423980222,0.914414414414415,NA,0.753246753246753,0.722943722943723,0.669786209513254,0.567396329838141
"53",2009-03-19,0.946847960444994,0.948841698841699,NA,0.926406926406926,0.87012987012987,0.862723068602166,0.466559310243212
"54",2009-03-20,0.928615574783684,0.912805662805663,NA,0.19047619047619,0.173160173160173,0.403461697683364,0.310112553472317
"55",2009-03-23,0.975896168108776,0.980855855855856,NA,0.948051948051948,0.935064935064935,0.77545508317107,0.61408851297313
"56",2009-03-24,0.952719406674907,0.945624195624196,NA,0.142857142857143,0.19047619047619,0.224963171923966,0.498359643556079
"57",2009-03-25,0.972496909765142,0.945302445302445,NA,0.83982683982684,0.467532467532468,0.945123625465223,0.117316888969657
"58",2009-03-26,1.01205191594561,0.945624195624196,NA,0.935064935064935,0.493506493506494,0.99005315900306,0.0534943370564769
"59",2009-03-27,0.992274412855377,0.932432432432432,NA,0.19047619047619,0.346320346320346,0.1320817257259,0.685159111458515
"60",2009-03-30,0.951174289245983,0.904118404118404,NA,0.0735930735930736,0.207792207792208,0.0452848104649176,0.807541410877895
"61",2009-03-31,0.947775030902349,0.89527027027027,NA,0.471861471861472,0.376623376623377,0.579690423062999,0.308170911986273
"62",2009-04-01,0.957972805933251,0.922297297297297,NA,0.701298701298701,0.805194805194805,0.439349342725866,0.792297868929295
"63",2009-04-02,0.977750309023486,0.967020592020592,NA,0.83982683982684,0.904761904761905,0.474483979460679,0.847259694097808
"64",2009-04-03,0.982076637824475,0.971525096525097,NA,0.597402597402597,0.519480519480519,0.618519022793452,0.40629393778249
"65",2009-04-06,0.96168108776267,0.928571428571429,NA,0.168831168831169,0.121212121212121,0.515615630447416,0.205888299762449
