"","X1","CSS","WTW","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.661805945036456,0.623497080041223,NA,1,0.978354978354978,0.999999999865023,0.0307194373671666
"47",2009-03-11,0.618059450364554,0.621435932669186,NA,0.0476190476190476,0.463203463203463,0.025415125917513,0.845956638494112
"48",2009-03-12,0.725182277061133,0.655788388869804,NA,1,0.974025974025974,0.9999999999,0.0247794813615944
"49",2009-03-13,0.71845204711161,0.665750601167983,NA,0.406926406926407,0.761904761904762,0.221439977507695,0.846198935371938
"50",2009-03-16,0.734155916993831,0.656475437993817,NA,0.805194805194805,0.268398268398268,0.927576036831943,0.0918745582682484
"51",2009-03-17,0.787436904094223,0.694606664376503,NA,0.961038961038961,0.974025974025974,0.791694281865976,0.875559793104036
"52",2009-03-18,0.831744251261918,0.673651666094126,"WTW",0.930735930735931,0.125541125541126,0.994877003040109,0.00841192094982196
"53",2009-03-19,0.831744251261918,0.672621092408107,"WTW",0.523809523809524,0.493506493506494,0.533143664044988,0.476021973122669
"54",2009-03-20,0.798093101514302,0.649948471315699,"WTW",0.112554112554113,0.0995670995670996,0.275875243474247,0.23300996700416
"55",2009-03-23,0.975322490185081,0.678461009962212,"WTW",1,0.948051948051948,0.9999999999,0.00946051724652057
"56",2009-03-24,0.901289960740325,0.664720027481965,"WTW",0.0303030303030303,0.203463203463203,0.0441301946092486,0.606391850590786
"57",2009-03-25,0.938867077958497,0.674682239780144,"WTW",0.896103896103896,0.753246753246753,0.854887428034911,0.489396245636917
"58",2009-03-26,1.04094223219293,0.701477155616627,"WTW",0.991341991341991,0.922077922077922,0.972137128976002,0.540366760469573
"59",2009-03-27,0.960740325294448,0.67055994503607,"WTW",0.0216450216450216,0.0562770562770563,0.0859961905906347,0.292117045953939
"60",2009-03-30,0.874929893438026,0.655101339745792,"WTW",0.00865800865800866,0.173160173160173,0.0126503730787399,0.682754484089878
"61",2009-03-31,0.953449242849131,0.63723806252147,"WTW",0.974025974025974,0.147186147186147,0.99888836425393,0.00488188952122526
"62",2009-04-01,0.977005047672462,0.638268636207489,"WTW",0.818181818181818,0.562770562770563,0.839006053541612,0.335462453066831
"63",2009-04-02,1.09478407178912,0.664720027481965,"WTW",1,0.935064935064935,0.9999999999,0.00653331873752555
"64",2009-04-03,0.959057767807067,0.680178632772243,"WTW",0,0.844155844155844,1e-10,0.999999984337797
"65",2009-04-06,0.956253505328099,0.687736173136379,"WTW",0.489177489177489,0.714285714285714,0.338568117955063,0.758688265488668
"66",2009-04-07,0.879416713404375,0.668842322226039,"WTW",0.0216450216450216,0.147186147186147,0.0417574673070717,0.541023997532398
"67",2009-04-08,0.924845765563657,0.660597732737891,"WTW",0.930735930735931,0.285714285714286,0.985113209717184,0.0457329447993579
"68",2009-04-09,0.99214806505889,0.693576090690484,"WTW",0.961038961038961,0.96969696969697,0.804516672946588,0.85811412755418
"69",2009-04-13,1.02692091979809,0.706630024046719,"WTW",0.87012987012987,0.813852813852814,0.775406330738624,0.623213433339278
"70",2009-04-14,1.0611329220415,0.700446581930608,"WTW",0.865800865800866,0.359307359307359,0.943089270726657,0.117923035857802
"71",2009-04-15,1.04655075715087,0.724836825833047,"WTW",0.333333333333333,0.904761904761905,0.0796106117465968,0.969500483856508
"72",2009-04-16,1.05496354458777,0.754036413603573,"WTW",0.666666666666667,0.926406926406926,0.321986867310368,0.927743334198455
"73",2009-04-17,1.01906898485698,0.800412229474407,"WTW",0.147186147186147,0.978354978354978,0.00418826911035155,0.999189469310162
"74",2009-04-20,1.01065619742008,0.790793541738234,"WTW",0.41991341991342,0.285714285714286,0.555445207370801,0.292290002573229
"75",2009-04-21,1.04879416713404,0.774304362761937,"WTW",0.887445887445887,0.19047619047619,0.980266789500464,0.0300106219719563
"76",2009-04-22,1.02692091979809,0.784953624184129,"WTW",0.255411255411255,0.744588744588745,0.107476895431896,0.892523104568104
"77",2009-04-23,0.995513180033651,0.76502919958777,"WTW",0.168831168831169,0.16017316017316,0.313936378589442,0.290941037324289
"78",2009-04-24,1.05776780706674,0.797320508416352,"WTW",0.939393939393939,0.939393939393939,0.79439103137035,0.79439103137035
"79",2009-04-27,1.00673022994952,0.826520096186877,"WTW",0.0865800865800866,0.917748917748918,0.00483070986573285,0.995373308180139
"80",2009-04-28,1.07066741446999,0.826520096186877,"WTW",0.948051948051948,0.528138528138528,0.972365923594022,0.154579462864841
"81",2009-04-29,1.17442512619181,0.848849192717279,"WTW",0.974025974025974,0.874458874458874,0.941794478432919,0.527576638026591
"82",2009-04-30,1.1138530566461,0.854689110271384,"WTW",0.0822510822510823,0.662337662337662,0.0248111948078123,0.926218548350933
"83",2009-05-01,1.16320807627594,0.850223290965304,"WTW",0.913419913419913,0.41991341991342,0.962667275628475,0.121523195406851
"84",2009-05-04,1.19573752103197,0.874957059429749,"WTW",0.83982683982684,0.883116883116883,0.653004243309359,0.77783287793459
"85",2009-05-05,1.22434099831744,0.880109927859842,"WTW",0.813852813852814,0.636363636363636,0.799945310099157,0.427241639912619
"86",2009-05-06,1.18844643858665,0.895225008588114,"WTW",0.173160173160173,0.783549783549784,0.0475345035217597,0.943598695229704
"87",2009-05-07,1.15535614133483,0.908622466506355,"WTW",0.177489177489178,0.753246753246753,0.0568771118174424,0.927048279374123
"88",2009-05-08,1.29949523275379,0.8388869804191,"WTW",1,0.0173160173160173,0.9999999999,1e-10
"89",2009-05-11,1.17498597868761,0.869117141875644,"WTW",0.00865800865800866,0.913419913419913,7.28360486491202e-05,0.999440236560647
"90",2009-05-12,1.20975883342681,0.854345585709378,"WTW",0.852813852813853,0.246753246753247,0.958261671421279,0.0620326621954235
"91",2009-05-13,1.08076275939428,0.81724493301271,"WTW",0.00432900432900433,0.0562770562770563,0.0180435465367757,0.445289775413253
"92",2009-05-14,1.21985417835109,0.81724493301271,"WTW",1,0.528138528138528,0.9999999999,1.18722886641246e-05
"93",2009-05-15,1.15872125630959,0.833734111989007,"WTW",0.0865800865800866,0.822510822510823,0.0115291770649711,0.979357945825092
"94",2009-05-18,1.20583286595625,0.829955341806939,"WTW",0.896103896103896,0.441558441558442,0.947533262828813,0.151176597586409
"95",2009-05-19,1.2103196859226,0.833734111989007,"WTW",0.606060606060606,0.61038961038961,0.553709149033266,0.562097356176403
"96",2009-05-20,1.09758833426809,0.841635176915149,"WTW",0.00865800865800866,0.688311688311688,0.000668446690943348,0.986320184314728
"97",2009-05-21,1.0701065619742,0.815870834764686,"WTW",0.203463203463203,0.125541125541126,0.411402754186478,0.204852359843345
"98",2009-05-22,1.03309029725182,0.811405015458605,"WTW",0.147186147186147,0.415584415584416,0.130880891473061,0.674783451972785
"99",2009-05-26,1.15984296130118,0.834077636551013,"WTW",1,0.874458874458874,0.9999999999,0.00172132777264314
"100",2009-05-27,1.05103757711722,0.814153211954655,"WTW",0.00865800865800866,0.168831168831169,0.0130329875391418,0.675382546076338
"101",2009-05-28,1.05664610207515,0.815870834764686,"WTW",0.636363636363636,0.571428571428571,0.61764668071124,0.492452620183857
"102",2009-05-29,1.02075154234436,0.804878048780488,"WTW",0.147186147186147,0.277056277056277,0.193312374643512,0.49841363557435
"103",2009-06-01,1.04486819966349,0.867399519065613,"WTW",0.813852813852814,0.982683982683983,0.361622811007598,0.974260771511831
"104",2009-06-02,1.10600112170499,0.87942287873583,"WTW",0.935064935064935,0.744588744588745,0.916829047409694,0.408179284050247
"105",2009-06-03,1.10375771172182,0.904156647200275,"WTW",0.506493506493506,0.874458874458874,0.224147961566509,0.915509698440323
"106",2009-06-04,1.12450925406618,0.910683613878392,"WTW",0.792207792207792,0.662337662337662,0.757908967899718,0.48173476848575
"107",2009-06-05,1.0785193494111,0.915492957746479,"WTW",0.103896103896104,0.623376623376623,0.0413866739515894,0.891316404401174
"108",2009-06-08,1.09478407178912,0.912744761250429,"WTW",0.753246753246753,0.463203463203463,0.813217403834937,0.282409051511089
"109",2009-06-09,1.0611329220415,0.907935417382343,"WTW",0.168831168831169,0.41991341991342,0.15355904442708,0.657518541060224
"110",2009-06-10,1.08861469433539,0.892820336654071,"WTW",0.831168831168831,0.246753246753247,0.947640736562928,0.0698275595020192
"111",2009-06-11,1.06001121704992,0.918928203366541,"WTW",0.199134199134199,0.883116883116883,0.0338100613717834,0.977837196663251
"112",2009-06-12,1.06057206954571,0.920989350738578,"WTW",0.528138528138528,0.571428571428571,0.48534892614027,0.567345130868378
"113",2009-06-15,1.05103757711722,0.886980419099966,"WTW",0.411255411255411,0.0779220779220779,0.755195922425916,0.0590942318717561
"114",2009-06-16,1.07403252944476,0.872895912057712,"WTW",0.805194805194805,0.255411255411255,0.931229750590516,0.084179963474625
"115",2009-06-17,1.07683679192372,0.877705255925799,"WTW",0.588744588744589,0.632034632034632,0.516911410640809,0.60078261848754
"116",2009-06-18,1.10936623667975,0.866025420817588,"WTW",0.857142857142857,0.277056277056277,0.954550912557602,0.0751753661645532
"117",2009-06-19,1.03140773976444,0.863620748883545,"WTW",0.0432900432900433,0.467532467532468,0.0219495357021491,0.856137915798549
"118",2009-06-22,1.02579921480651,0.835108210237032,"WTW",0.458874458874459,0.103896103896104,0.767010284336807,0.0732858794857704
"119",2009-06-23,1.02243409983174,0.81999312950876,"WTW",0.489177489177489,0.242424242424242,0.670278280504336,0.204552110438714
"120",2009-06-24,1.0347728547392,0.817931982136723,"WTW",0.727272727272727,0.467532467532468,0.783948430067729,0.305652652488813
"121",2009-06-25,1.11665731912507,0.839917554105118,"WTW",0.965367965367965,0.874458874458874,0.921722028613865,0.561657096336457
"122",2009-06-26,1.22714526079641,0.870491240123669,"WTW",0.987012987012987,0.917748917748918,0.959739299880708,0.567545336369118
"123",2009-06-29,1.17162086371284,0.885606320851941,"WTW",0.0909090909090909,0.787878787878788,0.0155969986852751,0.969280140898485
"124",2009-06-30,1.14301738642737,0.885262796289935,"WTW",0.212121212121212,0.523809523809524,0.157252175257636,0.73031202844874
"125",2009-07-01,1.22546270330903,0.885949845413947,"WTW",0.961038961038961,0.545454545454545,0.979927787926163,0.145272885036113
