"","X1","MTSC","DLR","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.736002966258806,0.882090503505418,"MTSC",0.00432900432900433,0.896103896103896,0.000691738530591554,0.967396654901559
"46",2009-03-10,0.803114571746385,0.995538559592097,"MTSC",0.982683982683983,0.991341991341991,0.67598083155125,0.904717028708402
"47",2009-03-11,0.798294401186504,1.0019120458891,"MTSC",0.393939393939394,0.614718614718615,0.267944940650778,0.736333899508446
"48",2009-03-12,0.816462736373749,1.03919694072658,"MTSC",0.818181818181818,0.865800865800866,0.60801529749491,0.778216245807373
"49",2009-03-13,0.815721171672228,1.03473550031867,"MTSC",0.493506493506494,0.41991341991342,0.560104621214325,0.391991767273946
"50",2009-03-16,0.787912495365221,0.943913320586361,"MTSC",0.0995670995670996,0.0346320346320346,0.488000100850579,0.0734963907034595
"51",2009-03-17,0.82128290693363,1.00764818355641,"MTSC",0.943722943722944,0.926406926406926,0.814586198123675,0.698647487983483
"52",2009-03-18,0.82165368928439,1.04907584448693,"MTSC",0.528138528138528,0.883116883116883,0.206507687214106,0.942816821203512
"53",2009-03-19,0.814238042269188,1.03059273422562,"MTSC",0.376623376623377,0.285714285714286,0.518864467865383,0.295991800339502
"54",2009-03-20,0.78457545420838,0.961440407903123,"MTSC",0.0735930735930736,0.0649350649350649,0.271945701737577,0.216691371848256
"55",2009-03-23,0.810159436410827,1.10261312938177,"MTSC",0.913419913419913,0.991341991341991,0.330079118308337,0.987572172623206
"56",2009-03-24,0.793845012977382,1.00796685787126,"MTSC",0.216450216450216,0.0346320346320346,0.698995790578289,0.0269764750462498
"57",2009-03-25,0.815721171672228,1.03951561504143,"MTSC",0.87012987012987,0.844155844155844,0.754787099141574,0.655397201464681
"58",2009-03-26,0.849462365591398,1.07903123008286,"MTSC",0.943722943722944,0.874458874458874,0.892849751666263,0.540201412570516
"59",2009-03-27,0.842046718576196,1.05736137667304,"MTSC",0.380952380952381,0.251082251082251,0.561306802279227,0.243024796040025
"60",2009-03-30,0.817945865776789,1.01147227533461,"MTSC",0.12987012987013,0.12987012987013,0.285190808088811,0.285190808088811
"61",2009-03-31,0.843529847979236,1.05736137667304,"MTSC",0.904761904761905,0.896103896103896,0.75566891285432,0.713343570256611
"62",2009-04-01,0.836114200964034,1.05927342256214,"MTSC",0.376623376623377,0.502164502164502,0.325809369237858,0.609014361464156
"63",2009-04-02,0.833518724508713,1.12683237731039,"MTSC",0.458874458874459,0.922077922077922,0.135721660067007,0.974350126371935
"64",2009-04-03,0.828698553948832,1.23008285532186,"MTSC",0.398268398268398,0.965367965367965,0.089629167919787,0.992794375851259
"65",2009-04-06,0.806822395253986,1.17909496494583,"MTSC",0.142857142857143,0.138528138528139,0.300527469175187,0.283759186392513
"66",2009-04-07,0.789395624768261,1.07871255576801,"MTSC",0.194805194805195,0.0346320346320346,0.672370870453309,0.0310988829706248
