,AEP,AEE
2008-07-15,0.904231119199272,0.8976723759332456
2008-07-16,0.885122838944495,0.8919631093544137
2008-07-17,0.8848953594176524,0.8840579710144927
2008-07-18,0.8978616924476797,0.8882301273605622
2008-07-21,0.9078707916287533,0.8935002195871761
2008-07-22,0.9106005459508645,0.8904259991216512
2008-07-23,0.9053685168334848,0.8884497145366711
2008-07-24,0.9090081892629663,0.8829600351339482
2008-07-25,0.9021838034576887,0.8805445761967502
2008-07-28,0.8960418562329391,0.8798858146684234
2008-07-29,0.8964968152866241,0.8842775581906017
2008-07-30,0.9133303002729753,0.8972332015810277
2008-07-31,0.8985441310282074,0.9022837066315328
2008-08-01,0.8819381255686989,0.8605621431708388
2008-08-04,0.8885350318471338,0.8572683355292051
2008-08-05,0.9096906278434941,0.886253842775582
2008-08-06,0.8842129208371245,0.8792270531400966
2008-08-07,0.8705641492265697,0.8695652173913044
2008-08-08,0.8894449499545041,0.8875713658322355
2008-08-11,0.8974067333939946,0.9079929732103645
2008-08-12,0.8682893539581438,0.9200702678963548
2008-08-13,0.8710191082802548,0.919411506368028
2008-08-14,0.8673794358507735,0.9064558629776022
2008-08-15,0.8762511373976343,0.922266139657444
2008-08-18,0.8821656050955414,0.9259991216512956
2008-08-19,0.8742038216560509,0.9231444883618797
2008-08-20,0.8821656050955414,0.9227053140096619
2008-08-21,0.8780709736123748,0.9231444883618797
2008-08-22,0.8862602365787079,0.9334650856389987
2008-08-25,0.8780709736123748,0.9229249011857708
2008-08-26,0.8864877161055504,0.9266578831796224
2008-08-27,0.8939945404913557,0.935441370223979
2008-08-28,0.9067333939945404,0.9422485726833553
2008-08-29,0.8880800727934486,0.9191919191919192
2008-09-02,0.8955868971792538,0.9064558629776022
2008-09-03,0.887852593266606,0.8904259991216512
2008-09-04,0.8664695177434032,0.8840579710144927
2008-09-05,0.8519108280254778,0.8772507685551164
2008-09-08,0.8817106460418561,0.8844971453667106
2008-09-09,0.8721565059144678,0.8689064558629777
2008-09-10,0.8780709736123748,0.8662714097496707
2008-09-11,0.8833030027297543,0.8715415019762845
2008-09-12,0.8898999090081892,0.8829600351339482
2008-09-15,0.8701091901728845,0.8781291172595521
2008-09-16,0.8587352138307552,0.8875713658322355
2008-09-17,0.7970882620564149,0.8627580149319279
2008-09-18,0.8132393084622384,0.9079929732103645
2008-09-19,0.8685168334849863,0.9121651295564339
2008-09-22,0.8428116469517742,0.870663153271849
2008-09-23,0.8332575068243858,0.8640755379885815
2008-09-24,0.8368971792538671,0.8689064558629777
2008-09-25,0.8532757051865332,0.8772507685551164
2008-09-26,0.8453139217470427,0.8823012736056215
2008-09-29,0.8343949044585987,0.8594642072902943
2008-09-30,0.8423566878980892,0.8570487483530962
2008-10-01,0.8457688808007279,0.8530961791831357
2008-10-02,0.8341674249317562,0.83399209486166
2008-10-03,0.8084622383985441,0.8124725516029864
2008-10-06,0.7757051865332121,0.7766798418972332
2008-10-07,0.7504549590536852,0.7413263065436978
2008-10-08,0.7247497725204731,0.7272727272727272
2008-10-09,0.6847133757961784,0.6642512077294687
2008-10-10,0.6369426751592356,0.6047430830039525
2008-10-13,0.7211101000909917,0.7002635046113307
2008-10-14,0.7302092811646952,0.71256038647343
2008-10-15,0.6669699727024567,0.6587615283267457
2008-10-16,0.6835759781619655,0.6668862538427757
2008-10-17,0.6904003639672429,0.6649099692577953
2008-10-20,0.7409008189262967,0.7110232762406676
2008-10-21,0.7133757961783439,0.6923583662714098
2008-10-22,0.6769790718835305,0.6517347386912604
2008-10-23,0.7327115559599636,0.6730346947738252
2008-10-24,0.7047315741583258,0.6484409310496267
2008-10-27,0.6742493175614195,0.6330698287220026
2008-10-28,0.7509099181073703,0.7015810276679841
2008-10-29,0.7352138307552321,0.6730346947738252
2008-10-30,0.7552320291173795,0.7158541941150637
2008-10-31,0.7422656960873522,0.71256038647343
2008-11-03,0.7349863512283895,0.7057531840140536
2008-11-04,0.7454504094631483,0.7371541501976285
2008-11-05,0.7224749772520473,0.7086078173034696
2008-11-06,0.665150136487716,0.6714975845410628
2008-11-07,0.7022292993630573,0.7088274044795785
2008-11-10,0.6872156505914467,0.7002635046113307
2008-11-11,0.6938125568698817,0.7033377250768555
2008-11-12,0.6633303002729755,0.6908212560386474
2008-11-13,0.7283894449499546,0.7397891963109354
2008-11-14,0.7040491355777979,0.7393500219587177
2008-11-17,0.6979071883530482,0.7441809398331137
2008-11-18,0.6929026387625113,0.7364953886693018
2008-11-19,0.6681073703366697,0.7103645147123409
2008-11-20,0.6335304822565969,0.6512955643390426
2008-11-21,0.6599181073703367,0.7171717171717171
2008-11-24,0.6631028207461328,0.7465963987703118
2008-11-25,0.685395814376706,0.7542819499341239
2008-11-26,0.6967697907188353,0.7575757575757576
2008-11-28,0.7117834394904459,0.7812911725955204
2008-12-01,0.6919927206551411,0.7263943785682916
2008-12-02,0.6628753412192903,0.746376811594203
2008-12-03,0.6867606915377616,0.7595520421607379
2008-12-04,0.6574158325750682,0.7206851119894598
2008-12-05,0.6803912647861692,0.7400087834870445
2008-12-08,0.6712920837124658,0.7290294246815987
2008-12-09,0.664695177434031,0.7235397452788758
2008-12-10,0.6844858962693358,0.7321036451471234
2008-12-11,0.6817561419472247,0.7241985068072024
2008-12-12,0.6785714285714285,0.7191480017566975
2008-12-15,0.664695177434031,0.6956521739130435
2008-12-16,0.6883530482256597,0.7257356170399648
2008-12-17,0.6869881710646042,0.7162933684672814
2008-12-18,0.7147406733393995,0.7180500658761529
2008-12-19,0.7258871701546861,0.7178304787000439
2008-12-22,0.7354413102820746,0.714756258234519
2008-12-23,0.7186078252957233,0.6956521739130435
2008-12-24,0.7231574158325751,0.7002635046113307
2008-12-26,0.72975432211101,0.7068511198945981
2008-12-29,0.7261146496815287,0.7037768994290733
2008-12-30,0.7290718835304821,0.71256038647343
2008-12-31,0.7570518653321201,0.730346947738252
