,DPZ,AMG
2008-07-15,0.7222222222222222,0.722571290478492
2008-07-16,0.7651195499296766,0.7844369260512325
2008-07-17,0.7454289732770745,0.8023199613339778
2008-07-18,0.7447257383966245,0.7904301594973416
2008-07-21,0.7306610407876231,0.7773803769937168
2008-07-22,0.8881856540084389,0.8325761237312711
2008-07-23,0.9395218002812938,0.8748187530207829
2008-07-24,0.8980309423347397,0.8256162397293378
2008-07-25,0.9127988748241913,0.8484291928467859
2008-07-28,0.8973277074542897,0.8057999033349444
2008-07-29,0.9191279887482419,0.8675688738521025
2008-07-30,0.9135021097046413,0.8477525374577091
2008-07-31,0.9113924050632911,0.8351860802319961
2008-08-01,0.9099859353023909,0.8367327211213147
2008-08-04,0.9015471167369902,0.8449492508458192
2008-08-05,0.9423347398030942,0.8824552924117932
