"","X1","WST","MKC","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.737864077669903,0.920260626745268,"WST",0.112554112554113,0.0822510822510823,0.374960443569545,0.196689884437863
"46",2009-03-10,0.775649435843611,0.95594166925225,"WST",0.952380952380952,0.974025974025974,0.811294426178789,0.908665775240169
"47",2009-03-11,0.769876672789294,0.942289792119144,"WST",0.402597402597403,0.151515151515152,0.700052456222908,0.0960470925009304
"48",2009-03-12,0.796903699816321,0.971765435929259,"WST",0.917748917748918,0.965367965367965,0.729965873742133,0.906514766632882
"49",2009-03-13,0.817108370506429,0.986968662736581,"WST",0.865800865800866,0.848484848484849,0.745514359521504,0.700642886532191
"50",2009-03-16,0.789818945158751,1.01365187713311,"WST",0.0692640692640693,0.952380952380952,0.00445385800234621,0.995678940011041
"51",2009-03-17,0.808974022566256,1.02233943530872,"WST",0.861471861471861,0.735930735930736,0.805706107568542,0.519609752721745
"52",2009-03-18,0.83495145631068,1.0021718895439,"WST",0.904761904761905,0.103896103896104,0.986027619477822,0.0111759659499033
"53",2009-03-19,0.823930726843348,1.00062053986969,"WST",0.294372294372294,0.489177489177489,0.216451019289658,0.631632686387918
"54",2009-03-20,0.82104434531619,1.00775674837108,"WST",0.480519480519481,0.731601731601732,0.291423616275202,0.768665520449568
"55",2009-03-23,0.870375229598531,1.03754266211604,"WST",0.961038961038961,0.956709956709957,0.864104070002274,0.84568778149421
"56",2009-03-24,0.850957753870375,0.938876822835867,"WST",0.147186147186147,0,0.999999253520574,1e-10
"57",2009-03-25,0.869850432957229,0.927396835246665,"WST",0.848484848484849,0.177489177489178,0.960047955082286,0.0348654450510905
"58",2009-03-26,0.909472579375492,0.909711448960596,"WST",0.943722943722944,0.112554112554113,0.992278818148546,0.0108176915316457
"59",2009-03-27,0.874836001049593,0.910331988830282,"WST",0.0562770562770563,0.554112554112554,0.0110778105307295,0.917554718499209
"60",2009-03-30,0.857255313565993,0.910952528699969,"WST",0.186147186147186,0.554112554112554,0.0848888334158553,0.796066525621441
"61",2009-03-31,0.860928890055104,0.917468197331679,"WST",0.601731601731602,0.731601731601732,0.437298714862131,0.700162862930099
"62",2009-04-01,0.858567305169247,0.920570896680112,"WST",0.484848484848485,0.636363636363636,0.35500413619948,0.655160141234708
"63",2009-04-02,0.884019942272369,0.909711448960596,"WST",0.878787878787879,0.19047619047619,0.968266258931337,0.0358736881914216
"64",2009-04-03,0.87719758593545,0.908470369221223,"WST",0.398268398268398,0.489177489177489,0.345301035781394,0.537617472920241
"65",2009-04-06,0.874048806087641,0.909401179025752,"WST",0.480519480519481,0.567099567099567,0.3959153817515,0.571748233023741
"66",2009-04-07,0.84912096562582,0.897610921501707,"WST",0.0952380952380952,0.168831168831169,0.14805987065012,0.47755758653133
"67",2009-04-08,0.85961689845185,0.89699038163202,"WST",0.735930735930736,0.502164502164502,0.761927049727494,0.313014965264804
"68",2009-04-09,0.890317501967987,0.898541731306236,"WST",0.922077922077922,0.614718614718615,0.926261956054018,0.303051565581638
"69",2009-04-13,0.888743112044083,0.889854173130624,"WST",0.506493506493506,0.220779220779221,0.722022996911228,0.129246554677159
