"","X1","WSM","CBS","long_distance","Fx","Fy","MI_X","MI_Y"
"44",2009-03-06,0.914560770156438,0.377104377104377,"CBS",0.0865800865800866,0.251082251082251,0.0731262190153347,0.624612061779552
"45",2009-03-09,0.908543922984356,0.346801346801347,"CBS",0.493506493506494,0.0432900432900433,0.855050988667468,0.0102590177873627
"46",2009-03-10,1.02767749699158,0.399551066217733,"CBS",0.987012987012987,0.995670995670996,0.53194276623213,0.947410143412561
"47",2009-03-11,1.11913357400722,0.420875420875421,"CBS",0.96969696969697,0.930735930735931,0.914019518795957,0.547246096625601
"48",2009-03-12,1.20938628158845,0.451178451178451,"CBS",0.965367965367965,0.961038961038961,0.796200870896907,0.74123791996265
"49",2009-03-13,1.10348977135981,0.435465768799102,"CBS",0.0476190476190476,0.138528138528139,0.0653422211326392,0.553940976334133
"50",2009-03-16,1.07220216606498,0.429854096520763,"CBS",0.268398268398268,0.346320346320346,0.284473801731591,0.494168293508744
"51",2009-03-17,1.12996389891697,0.465768799102132,"CBS",0.935064935064935,0.96969696969697,0.565681786492462,0.906294013702037
"52",2009-03-18,1.22141997593261,0.48709315375982,"CBS",0.965367965367965,0.926406926406926,0.903862362464077,0.561249785894204
"53",2009-03-19,1.25150421179302,0.484848484848485,"CBS",0.792207792207792,0.515151515151515,0.877193450291724,0.265634478012591
"54",2009-03-20,1.26955475330927,0.454545454545455,"CBS",0.675324675324675,0.0649350649350649,0.90695602170554,0.0144221539673117
"55",2009-03-23,1.34657039711191,0.496071829405163,"CBS",0.952380952380952,0.974025974025974,0.616546095319813,0.887032982272856
"56",2009-03-24,1.34657039711191,0.501683501683502,"CBS",0.532467532467532,0.701298701298701,0.362701037238204,0.763840307531479
"57",2009-03-25,1.29723225030084,0.492704826038159,"CBS",0.207792207792208,0.285714285714286,0.24053146578932,0.472153458582216
"58",2009-03-26,1.34416365824308,0.528619528619529,"CBS",0.852813852813853,0.961038961038961,0.391325171296664,0.956236211109668
"59",2009-03-27,1.28760529482551,0.517396184062851,"CBS",0.155844155844156,0.225108225108225,0.207016833098751,0.445287699873382
"60",2009-03-30,1.21179302045728,0.425364758698092,"CBS",0.0909090909090909,0.00865800865800866,0.715486648607537,0.00815333674829656
"61",2009-03-31,1.2129963898917,0.430976430976431,"CBS",0.532467532467532,0.735930735930736,0.331688933724128,0.807494360080444
"62",2009-04-01,1.25631768953069,0.435465768799102,"CBS",0.852813852813853,0.696969696969697,0.867938984325325,0.411236460233263
"63",2009-04-02,1.323706377858,0.525252525252525,"CBS",0.935064935064935,1,0.111454006814921,0.9999999999
"64",2009-04-03,1.37304452466907,0.544332210998878,"CBS",0.857142857142857,0.887445887445887,0.6439886406792,0.782082261312834
"65",2009-04-06,1.30685920577617,0.548821548821549,"CBS",0.125541125541126,0.67965367965368,0.0361743944471009,0.899263261040765
"66",2009-04-07,1.22382671480144,0.544332210998878,"CBS",0.0865800865800866,0.454545454545455,0.0324952325821039,0.805496820987324
"67",2009-04-08,1.2503008423586,0.564534231200898,"CBS",0.744588744588745,0.887445887445887,0.421621055442097,0.891674993342385
"68",2009-04-09,1.49338146811071,0.601571268237935,"CBS",0.991341991341991,0.956709956709957,0.974759793405463,0.407669286534467
"69",2009-04-13,1.46089049338147,0.613916947250281,"CBS",0.341991341991342,0.792207792207792,0.131367558104996,0.920097277056241
"70",2009-04-14,1.39470517448857,0.580246913580247,"CBS",0.138528138528139,0.0735930735930736,0.455331859849302,0.125770894434629
"71",2009-04-15,1.44163658243081,0.599326599326599,"CBS",0.844155844155844,0.874458874458874,0.641670492293953,0.770719658947136
"72",2009-04-16,1.55475330926594,0.627384960718294,"CBS",0.965367965367965,0.926406926406926,0.903862362464077,0.561249785894204
"73",2009-04-17,1.65703971119134,0.751964085297419,"CBS",0.952380952380952,0.995670995670996,0.298697645453598,0.992747499933559
"74",2009-04-20,1.49217809867629,0.645342312008979,"CBS",0.0216450216450216,0.012987012987013,0.33907416200761,0.121185619746661
"75",2009-04-21,1.54873646209386,0.693602693602694,"CBS",0.857142857142857,0.961038961038961,0.399177988582755,0.954311222465524
"76",2009-04-22,1.64019253910951,0.664421997755331,"CBS",0.948051948051948,0.108225108225108,0.986662731819568,0.0346155212408919
"77",2009-04-23,1.59446450060168,0.650953984287318,"CBS",0.268398268398268,0.255411255411255,0.379553396812166,0.341358157941642
"78",2009-04-24,1.67749699157641,0.698092031425365,"CBS",0.922077922077922,0.961038961038961,0.572635755136449,0.894481649960235
"79",2009-04-27,1.58724428399519,0.674523007856341,"CBS",0.103896103896104,0.138528138528139,0.202841828187109,0.366331686864402
"80",2009-04-28,1.59927797833935,0.657687991021324,"CBS",0.623376623376623,0.194805194805195,0.851551960431259,0.0776805132012476
"81",2009-04-29,1.60048134777377,0.712682379349046,"CBS",0.532467532467532,0.96969696969697,0.144254200364721,0.99362188473254
"82",2009-04-30,1.68471720818291,0.790123456790123,"CBS",0.922077922077922,0.987012987012987,0.358006976588754,0.980354510746368
"83",2009-05-01,1.57761732851986,0.80695847362514,"CBS",0.0865800865800866,0.800865800865801,0.0204980386251467,0.943774564567406
"84",2009-05-04,1.75090252707581,0.808080808080808,"CBS",0.974025974025974,0.593073593073593,0.99415769749119,0.159560046763893
"85",2009-05-05,1.68471720818291,0.822671156004489,"CBS",0.186147186147186,0.774891774891775,0.0558543253011261,0.931059771248538
"86",2009-05-06,1.66305655836342,0.895622895622896,"CBS",0.441558441558442,0.96969696969697,0.118618690540346,0.99448225535755
"87",2009-05-07,1.54753309265945,0.904601571268238,"CBS",0.0779220779220779,0.692640692640693,0.0182950313583832,0.910949963551117
"88",2009-05-08,1.60770156438026,0.95959595959596,"CBS",0.857142857142857,0.952380952380952,0.437036277037338,0.937417617099658
