,OMG,BGCP
2008-07-15,0.524556616643929,0.4899497487437186
2008-07-16,0.5332537517053206,0.5268006700167505
2008-07-17,0.5453615279672579,0.5309882747068677
2008-07-18,0.5465552523874487,0.5276381909547738
2008-07-21,0.5661664392905866,0.5268006700167505
2008-07-22,0.5649727148703957,0.5561139028475712
2008-07-23,0.5509890859481583,0.6013400335008375
2008-07-24,0.5412687585266029,0.5628140703517588
2008-07-25,0.5601978171896317,0.567001675041876
2008-07-28,0.5494542974079126,0.5661641541038526
2008-07-29,0.553206002728513,0.5703517587939698
2008-07-30,0.5733287858117325,0.550251256281407
2008-07-31,0.5729877216916781,0.5946398659966499
2008-08-01,0.534106412005457,0.5862646566164155
2008-08-04,0.5075034106412005,0.6013400335008375
2008-08-05,0.5030695770804912,0.5820770519262982
