"","X1","CVX","WM","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.807370622059592,0.67643576080521,"WM",0.965367965367965,0.922077922077922,0.909339190513375,0.584935483107931
"47",2009-03-11,0.800052273915316,0.692125518058022,"WM",0.341991341991342,0.883116883116883,0.111415447849081,0.95485613388473
"48",2009-03-12,0.828541557762676,0.722320899940793,"WM",0.904761904761905,0.956709956709957,0.582935029989444,0.904079082197623
"49",2009-03-13,0.822138003136435,0.71255180580225,"WM",0.354978354978355,0.238095238095238,0.499558163784947,0.241975408891706
"50",2009-03-16,0.822530057501307,0.710775606867969,"WM",0.480519480519481,0.424242424242424,0.514079724069863,0.40552395595374
"51",2009-03-17,0.853502352326189,0.741563055062167,"WM",0.913419913419913,0.956709956709957,0.608853061895235,0.893141037813361
"52",2009-03-18,0.870230005227392,0.747483718176436,"WM",0.826839826839827,0.675324675324675,0.824538091164029,0.476827276992692
"53",2009-03-19,0.877286983795086,0.765541740674956,"WM",0.636363636363636,0.891774891774892,0.341867454494532,0.91806172725191
"54",2009-03-20,0.845661265028751,0.743339253996448,"WM",0.0909090909090909,0.103896103896104,0.229011562187569,0.290091663015727
"55",2009-03-23,0.903685311029796,0.766725873297809,"WM",0.974025974025974,0.948051948051948,0.898536663058342,0.622181229132605
"56",2009-03-24,0.900810245687402,0.762877442273535,"WM",0.428571428571429,0.346320346320346,0.501986967848702,0.337857586129149
"57",2009-03-25,0.910872974385782,0.761989342806394,"WM",0.714285714285714,0.445887445887446,0.783347721765385,0.294015008531426
"58",2009-03-26,0.917015159435442,0.78744819419775,"WM",0.61038961038961,0.952380952380952,0.209142318552478,0.977236148050048
"59",2009-03-27,0.90041819132253,0.766725873297809,"WM",0.225108225108225,0.116883116883117,0.479688184406399,0.149268383924638
"60",2009-03-30,0.872974385781495,0.74955595026643,"WM",0.12987012987013,0.138528138528139,0.26181622241048,0.293604637950093
"61",2009-03-31,0.878724516466283,0.757844878626406,"WM",0.606060606060606,0.748917748917749,0.46099212774951,0.753742819359796
"62",2009-04-01,0.892577104025091,0.757548845470693,"WM",0.779220779220779,0.463203463203463,0.845653721737876,0.271227363124078
"63",2009-04-02,0.918844746471511,0.774718768502072,"WM",0.887445887445887,0.874458874458874,0.771084681971837,0.720424234750381
"64",2009-04-03,0.921066387872452,0.782415630550622,"WM",0.506493506493506,0.714285714285714,0.363190574136002,0.757060688692452
"65",2009-04-06,0.913355985363304,0.787152161042037,"WM",0.346320346320346,0.645021645021645,0.22439963883774,0.755704565737308
"66",2009-04-07,0.893883951907998,0.768798105387803,"WM",0.194805194805195,0.138528138528139,0.387570646485767,0.211194334103805
"67",2009-04-08,0.894929430214323,0.769094138543517,"WM",0.493506493506494,0.467532467532468,0.502813420848434,0.452994166089992
"68",2009-04-09,0.904730789336121,0.77708703374778,"WM",0.714285714285714,0.727272727272727,0.629316205322471,0.658190297087638
"69",2009-04-13,0.888395190799791,0.78744819419775,"WM",0.229437229437229,0.800865800865801,0.0754599291337689,0.926743541923316
"70",2009-04-14,0.870099320439101,0.789816459443458,"WM",0.199134199134199,0.554112554112554,0.114306513307098,0.760073355320253
"71",2009-04-15,0.871667537898589,0.797809354647721,"WM",0.497835497835498,0.714285714285714,0.352965112649692,0.76093602151572
"72",2009-04-16,0.861604809200209,0.794552989934873,"WM",0.298701298701299,0.376623376623377,0.308791245657118,0.472172987776469
"73",2009-04-17,0.862650287506534,0.813499111900533,"WM",0.497835497835498,0.887445887445887,0.216618658507926,0.93818813145373
"74",2009-04-20,0.834683742812337,0.811130846654825,"WM",0.112554112554113,0.411255411255411,0.0700644413072347,0.722232401115602
"75",2009-04-21,0.847882906429692,0.816163410301954,"WM",0.779220779220779,0.645021645021645,0.774578179682931,0.485842659330913
"76",2009-04-22,0.833115525352849,0.800769686204855,"WM",0.233766233766234,0.177489177489178,0.394764900437228,0.241205782552418
"77",2009-04-23,0.856377417668583,0.789520426287744,"WM",0.887445887445887,0.229437229437229,0.969513348374173,0.0536412457168003
"78",2009-04-24,0.870360690015682,0.79603315571344,"WM",0.792207792207792,0.675324675324675,0.776697359057026,0.51470658403785
