,OSUR,ICON
2008-07-14,0.5024509803921569,0.5272899857617466
2008-07-15,0.5147058823529412,0.4964404366397722
2008-07-16,0.49142156862745096,0.5363075462743238
2008-07-17,0.49019607843137253,0.5462743236829616
2008-07-18,0.4877450980392157,0.5434266729947793
2008-07-21,0.5036764705882353,0.5576649264356905
2008-07-22,0.5294117647058824,0.5837683910773612
2008-07-23,0.5392156862745099,0.5818699572852397
2008-07-24,0.5428921568627451,0.5533934504034171
2008-07-25,0.5416666666666666,0.5505457997152349
2008-07-28,0.5159313725490196,0.5234931181775035
2008-07-29,0.5318627450980392,0.5363075462743238
2008-07-30,0.5245098039215687,0.5562411010915994
2008-07-31,0.5073529411764706,0.5695301376364499
2008-08-01,0.5281862745098038,0.5742762221167537
2008-08-04,0.5183823529411765,0.5780730897009967
