,GRT,PEI
2008-07-16,0.6545454545454545,0.6701252236135957
2008-07-17,0.6618181818181817,0.681216457960644
2008-07-18,0.6429090909090909,0.6801431127012523
2008-07-21,0.6676363636363636,0.6683363148479428
2008-07-22,0.6836363636363637,0.6833631484794276
2008-07-23,0.7134545454545455,0.7173524150268337
2008-07-24,0.7003636363636364,0.6758497316636852
2008-07-25,0.6880000000000001,0.6797853309481217
2008-07-28,0.6901818181818182,0.6694096601073346
2008-07-29,0.7127272727272728,0.6847942754919499
2008-07-30,0.6901818181818182,0.6636851520572451
2008-07-31,0.6770909090909091,0.6590339892665474
2008-08-01,0.6916363636363636,0.6647584973166368
2008-08-04,0.6741818181818181,0.6232558139534885
2008-08-05,0.7112727272727273,0.6565295169946334
2008-08-06,0.730909090909091,0.675134168157424
