,CVX,WM
2008-04-02,1.0608558613165233,1.0479782739891368
2008-04-03,1.063401624439326,1.0494870247435124
2008-04-04,1.0674021093465875,1.0509957754978876
2008-04-07,1.070069099284762,1.051901025950513
2008-04-08,1.0823130076372895,1.0506940253470127
2008-04-09,1.090435204267184,1.0347012673506337
2008-04-10,1.0861922657291794,1.0310802655401328
2008-04-11,1.0764941204994545,1.0199155099577548
2008-04-14,1.0825554612680326,1.0232347616173807
2008-04-15,1.0931021942053583,1.0256487628243816
2008-04-16,1.114438113710753,1.0570307785153892
2008-04-17,1.1151654746029822,1.0531080265540131
2008-04-18,1.129591465632198,1.0790585395292698
2008-04-21,1.123772578494363,1.0687990343995173
2008-04-22,1.1398957449387805,1.0591430295715147
2008-04-23,1.1453509516305007,1.0654797827398914
2008-04-24,1.1201357740332163,1.0666867833433917
2008-04-25,1.1236513516789914,1.0700060350030176
2008-04-28,1.1213480421869317,1.0672902836451417
2008-04-29,1.1485028488301612,1.0775497887748944
2008-04-30,1.1655958297975513,1.0893180446590223
2008-05-01,1.1509273851375925,1.1038020519010259
2008-05-02,1.1555340041217117,1.1056125528062763
2008-05-05,1.1591708085828587,1.0935425467712734
2008-05-06,1.1743241605043038,1.0992757996379
2008-05-07,1.1550490968602256,1.0947495473747737
2008-05-08,1.1812340889804824,1.1065178032589016
2008-05-09,1.1806279549036247,1.0992757996379
2008-05-12,1.18026427445751,1.1134580567290282
2008-05-13,1.1847496666262578,1.1107423053711527
2008-05-14,1.1846284398108862,1.128847314423657
2008-05-15,1.1939629045944964,1.1309595654797826
2008-05-16,1.216874772699721,1.1294508147254074
2008-05-19,1.2389380530973453,1.1092335546167773
2008-05-20,1.2497272396654142,1.1104405552202774
2008-05-21,1.248878651957813,1.1059143029571514
2008-05-22,1.23542247545157,1.116475558237779
2008-05-23,1.2211177112377258,1.1170790585395294
2008-05-27,1.2071766274699964,1.128545564272782
2008-05-28,1.2173596799612074,1.127942063971032
2008-05-29,1.1984482967632442,1.1318648159324078
2008-05-30,1.2019638744090195,1.1445383222691612
2008-06-02,1.2046308643471937,1.1394085697042848
2008-06-03,1.1863256152260881,1.143633071816536
2008-06-04,1.1642623348284642,1.147555823777912
2008-06-05,1.2121469269002303,1.1614363307181654
2008-06-06,1.206206812947024,1.1378998189499094
2008-06-09,1.2268153715601893,1.1529873264936632
2008-06-10,1.1974784822402715,1.156004828002414
2008-06-11,1.2052369984240514,1.1149668074834038
2008-06-12,1.1887501515335193,1.1424260712130356
2008-06-13,1.2049945447933084,1.1786360893180448
2008-06-16,1.2060855861316524,1.160832830416415
2008-06-17,1.2167535458843497,1.1632468316234157
2008-06-18,1.2032973693781066,1.1753168376584189
2008-06-19,1.1742029336889321,1.179843089921545
2008-06-20,1.1712934901200147,1.155703077851539
2008-06-23,1.2008728330706753,1.164152082076041
2008-06-24,1.1957813068250698,1.1478575739287868
2008-06-25,1.204509637531822,1.167773083886542
2008-06-26,1.1808704085343678,1.127942063971032
2008-06-27,1.1855982543338588,1.123717561858781
2008-06-30,1.2017214207782763,1.1378998189499094
2008-07-01,1.2011152867014183,1.1182860591430297
2008-07-02,1.1809916353497394,1.0968617984308993
2008-07-03,1.1956600800096981,1.1001810500905251
2008-07-07,1.1737180264274458,1.0869040434520219
2008-07-08,1.1612316644441751,1.1025950512975256
2008-07-09,1.1384410231543218,1.1010863005431504
2008-07-10,1.166808097951267,1.1155703077851538
2008-07-11,1.118317371802643,1.104707302353651
2008-07-14,1.1249848466480785,1.0407362703681353
2008-07-15,1.0840101830524913,1.0464695232347616
2008-07-16,1.0472784579949086,1.0645745322872662
2008-07-17,1.0385501272881563,1.0730235365117684
2008-07-18,1.0431567462722755,1.0715147857573928
2008-07-21,1.0535822523942295,1.0823777911888954
2008-07-22,1.03806522002667,1.103198551599276
2008-07-23,1.001939629045945,1.1089318044659022
2008-07-24,0.9940598860467936,1.0872057936028967
2008-07-25,1.000848587707601,1.0787567893783947
2008-07-28,1.0,1.0582377791188895
2008-07-29,1.0042429385380047,1.083886541943271
2008-07-30,1.0578251909322343,1.0802655401327699
2008-07-31,1.025093950781913,1.072420036210018
2008-08-01,1.022063280397624,1.076342788171394
2008-08-04,1.0037580312765184,1.0859987929993966
2008-08-05,1.0,1.0929390464695232
2008-08-06,1.025093950781913,1.0663850331925167
2008-08-07,1.0113953206449269,1.056427278213639
2008-08-08,1.0231543217359682,1.0866022933011465
2008-08-11,1.0192750636440782,1.0896197948098973
2008-08-12,1.012971269244757,1.067592033796017
2008-08-13,1.045460055764335,1.0627640313820157
2008-08-14,1.049581767486968,1.044357272178636
2008-08-15,1.0213359195053946,1.0494870247435124
2008-08-18,1.0084858770760092,1.0555220277610138
2008-08-19,1.0269123530124864,1.0392275196137597
2008-08-20,1.0481270457025094,1.0446590223295111
2008-08-21,1.0730997696690507,1.0464695232347616
2008-08-22,1.0680082434234452,1.0621605310802655
2008-08-25,1.0366104982422113,1.048280024140012
2008-08-26,1.040004849072615,1.0512975256487629
2008-08-27,1.0500666747484544,1.0531080265540131
2008-08-28,1.0568553764092619,1.064272782136391
2008-08-29,1.0464298702873076,1.0615570307785154
2008-09-02,1.009698145229725,1.0672902836451417
2008-09-03,1.0204873317977938,1.056427278213639
2008-09-04,0.9846041944478119,1.0343995171997586
2008-09-05,0.9724815129106559,1.0528062764031383
2008-09-08,0.9825433385864953,1.0666867833433917
2008-09-09,0.9551460783125229,1.0386240193120098
2008-09-10,0.9838768335555825,1.0494870247435124
2008-09-11,1.0037580312765184,1.055823777911889
2008-09-12,1.021214692690023,1.0657815328907665
2008-09-15,0.9709055643108256,1.0497887748943875
2008-09-16,0.9923627106315918,1.0428485214242607
2008-09-17,0.9704206570493393,1.0217260108630053
2008-09-18,1.0047278457994908,1.0286662643331324
2008-09-19,1.0643714389622985,1.0534097767048882
2008-09-22,1.0586737786398353,1.0383222691611345
2008-09-23,1.0360043641653534,0.996077248038624
2008-09-24,1.0332161474118076,0.9915509957754979
2008-09-25,1.060370954055037,1.007242003621002
2008-09-26,1.0540671596557158,1.0045262522631262
2008-09-29,0.9395078191295915,0.9505129752564876
2008-09-30,0.9998787731846286,0.9502112251056125
2008-10-01,0.9964844223542249,0.9366324683162341
2008-10-02,0.964480543096133,0.9529269764634881
2008-10-03,0.9622984604194448,0.971937235968618
2008-10-06,0.9315068493150686,0.9471937235968618
2008-10-07,0.8891986907503939,0.8986119493059747
2008-10-08,0.886168020366105,0.8738684369342185
2008-10-09,0.7758516183779852,0.8246831623415811
2008-10-10,0.7010546732937326,0.7773083886541944
2008-10-13,0.8472542126318342,0.9170187085093543
2008-10-14,0.8308885925566737,0.9378394689197344
2008-10-15,0.727118438598618,0.9070609535304767
2008-10-16,0.7649412049945449,0.9019312009656005
2008-10-17,0.7558491938416778,0.8986119493059747
2008-10-20,0.8438598618014305,0.9580567290283645
2008-10-21,0.809795126682022,0.9233554616777309
2008-10-22,0.7484543581040127,0.8856366928183464
2008-10-23,0.8094314462359073,0.8820156910078455
2008-10-24,0.7747605770396412,0.8488231744115872
2008-10-27,0.7480906776578979,0.8059746529873265
2008-10-28,0.8488301612316644,0.8699456849728424
2008-10-29,0.8607103891380774,0.8931804465902233
2008-10-30,0.8992605164262336,0.9487024743512372
2008-10-31,0.904352042671839,0.9423657211828605
2008-11-03,0.893320402473027,0.9315027157513579
2008-11-04,0.9478724693902292,0.987929993964997
2008-11-05,0.9077463935022427,0.9417622208811105
2008-11-06,0.8499212025700086,0.8910681955340978
2008-11-07,0.8905321857194811,0.9230537115268558
2008-11-10,0.9012001454721785,0.9257694628847314
2008-11-11,0.8915020002424537,0.9130959565479783
2008-11-12,0.815614013819857,0.8823174411587206
2008-11-13,0.9178082191780822,0.9453832226916112
2008-11-14,0.8810764941204996,0.9414604707302353
2008-11-17,0.8580433991999031,0.9061557030778515
2008-11-18,0.8898048248272519,0.9471937235968618
2008-11-19,0.8559825433385866,0.8971031985515993
2008-11-20,0.7807006909928478,0.8750754375377188
2008-11-21,0.8545278215541278,0.895896197948099
2008-11-24,0.9007152382106922,0.9164152082076041
2008-11-25,0.9277488180385502,0.9031382015691007
2008-11-26,0.9689659352648807,0.8560651780325891
2008-11-28,0.9578130682506972,0.8811104405552203
2008-12-01,0.8730755243059765,0.8316234158117078
2008-12-02,0.9157473633167658,0.856366928183464
2008-12-03,0.9060492180870409,0.895896197948099
2008-12-04,0.869923627106316,0.8856366928183464
2008-12-05,0.902169959995151,0.896197948098974
2008-12-08,0.9466602012365136,0.9106819553409776
2008-12-09,0.9159898169475089,0.9097767048883524
2008-12-10,0.9509031397745181,0.9130959565479783
