,CTWS,JNJ
2008-07-16,1.0656629025512339,1.0762310606060606
2008-07-17,1.0497699707235466,1.0705492424242424
2008-07-18,1.0326223337515685,1.0703914141414141
2008-07-21,1.015892931827687,1.059185606060606
2008-07-22,1.0606440819740695,1.0730744949494948
2008-07-23,1.056043496445002,1.0774936868686869
2008-07-24,1.0179841070681723,1.0836489898989898
2008-07-25,1.0322040987034713,1.0894886363636365
2008-07-28,1.0234211626934338,1.0808080808080809
2008-07-29,1.0660811375993307,1.0808080808080809
2008-07-30,1.053952321204517,1.0744949494949494
2008-07-31,1.0485152655792556,1.0806502525252526
2008-08-01,1.0618987871183605,1.074810606060606
2008-08-04,1.055207026348808,1.088699494949495
2008-08-05,1.066499372647428,1.1119002525252526
2008-08-06,1.066499372647428,1.121685606060606
