"","X1","BRK_A","BRK_B","long_distance","Fx","Fy","MI_X","MI_Y"
"23",2009-02-04,0.902990299029903,0.900993078543485,NA,0.489177489177489,0.662337662337662,0.104431437005134,0.914117827207516
"24",2009-02-05,0.87028702870287,0.863978332831778,NA,0.051948051948052,0.0432900432900433,0.559613039396874,0.24766733837865
"25",2009-02-06,0.893589358935894,0.875714715618417,"BRK_B",0.904761904761905,0.813852813852814,0.95163192792986,0.128221507562917
"26",2009-02-09,0.9000900090009,0.880544688534457,"BRK_B",0.74025974025974,0.67965367965368,0.773721771759757,0.309894247622655
"27",2009-02-10,0.881088108810881,0.852512789647909,"BRK_B",0.142857142857143,0.0606060606060606,0.901257876440278,0.0276932471612829
"28",2009-02-11,0.904090409040904,0.871200722238941,"BRK_B",0.9004329004329,0.887445887445887,0.701837752686581,0.472110324764484
"29",2009-02-12,0.891909190919092,0.871652121576888,"BRK_B",0.229437229437229,0.575757575757576,0.0157190756730569,0.973875503893731
"30",2009-02-13,0.881488148814881,0.860674089678002,"BRK_B",0.25974025974026,0.251082251082251,0.48329330233424,0.404446654360549
"31",2009-02-17,0.84008400840084,0.833581101414385,"BRK_B",0.0432900432900433,0.0606060606060606,0.154472937430914,0.680017144115944
"32",2009-02-18,0.8000800080008,0.786939512488715,"BRK_B",0.0432900432900433,0.0216450216450216,0.840488138607631,0.0489879224007119
"33",2009-02-19,0.786078607860786,0.757297622630153,"BRK_B",0.173160173160173,0.051948051948052,0.944509657798382,0.0102076099978764
"34",2009-02-20,0.77007700770077,0.718326813120674,"BRK_B",0.142857142857143,0.0346320346320346,0.954127070187283,0.00599548064831532
"35",2009-02-23,0.756075607560756,0.710201625037617,"BRK_B",0.16017316017316,0.25974025974026,0.0861501413958931,0.83361517216295
"36",2009-02-24,0.799079907990799,0.768131206740897,"BRK_B",0.978354978354978,0.991341991341991,0.111963687745398,0.975106536800672
"37",2009-02-25,0.8000300030003,0.772494733674391,"BRK_B",0.597402597402597,0.67965367965368,0.255812557375898,0.796222733528964
"38",2009-02-26,0.783578357835784,0.771591934998495,"BRK_B",0.142857142857143,0.541125541125541,0.00628148500508725,0.981260919043731
"39",2009-02-27,0.786078607860786,0.771591934998495,"BRK_B",0.645021645021645,0.571428571428571,0.763310835597382,0.279358262669406
"40",2009-03-02,0.757575757575758,0.735479987962684,"BRK_B",0.051948051948052,0.0432900432900433,0.559613039396874,0.24766733837865
"41",2009-03-03,0.75007500750075,0.713210953957268,"BRK_B",0.29004329004329,0.0649350649350649,0.968351668837423,0.00474913521729784
"42",2009-03-04,0.75032503250325,0.737303641287993,"BRK_B",0.562770562770563,0.930735930735931,0.017743374014585,0.997724643350125
"43",2009-03-05,0.724072407240724,0.692145651519711,"BRK_B",0.0562770562770563,0.012987012987013,0.949380313921486,0.00544217168240616
"44",2009-03-06,0.732023202320232,0.700270839602769,"BRK_B",0.774891774891775,0.783549783549784,0.520469218485784,0.607374732301262
"45",2009-03-09,0.732023202320232,0.69517002708396,"BRK_B",0.558441558441558,0.354978354978355,0.922376590868314,0.0684120699517702
"46",2009-03-10,0.848524852485249,0.829070117363828,"BRK_B",0.995670995670996,1,0.00963653897372209,0.9999999999
"47",2009-03-11,0.837083708370837,0.824556123984352,"BRK_B",0.229437229437229,0.402597402597403,0.0571711330426641,0.903221602262113
"48",2009-03-12,0.857085708570857,0.836743906108938,"BRK_B",0.891774891774892,0.826839826839827,0.904705355273153,0.202335962497681
"49",2009-03-13,0.835583558355836,0.825007523322299,"BRK_B",0.116883116883117,0.225108225108225,0.0493189445748679,0.878198483095114
"50",2009-03-16,0.816981698169817,0.795064700571772,"BRK_B",0.138528138528139,0.051948051948052,0.918573806375586,0.0192761671847873
"51",2009-03-17,0.822082208220822,0.813722539873608,"BRK_B",0.714285714285714,0.904761904761905,0.0498252822064331,0.987328978363913
"52",2009-03-18,0.833583358335834,0.823653325308456,"BRK_B",0.826839826839827,0.796536796536797,0.730246117161075,0.403217234251641
"53",2009-03-19,0.85008500850085,0.83508877520313,"BRK_B",0.874458874458874,0.813852813852814,0.876955337015243,0.236253446503075
"54",2009-03-20,0.845824582458246,0.828468251579898,"BRK_B",0.41991341991342,0.346320346320346,0.720540327563847,0.233499076060101
"55",2009-03-23,0.9000900090009,0.885064700571773,"BRK_B",0.982683982683983,0.987012987012987,0.370376987706982,0.81957558997992
"56",2009-03-24,0.885088508850885,0.879325910321998,"BRK_B",0.186147186147186,0.367965367965368,0.0398462995098612,0.918608491673365
"57",2009-03-25,0.868586858685869,0.872705386698766,NA,0.16017316017316,0.350649350649351,0.0294299318896089,0.930322509880783
"58",2009-03-26,0.919091909190919,0.890159494432741,"BRK_B",0.978354978354978,0.874458874458874,0.997311342685225,0.0343025936436143
"59",2009-03-27,0.896089608960896,0.878724044538068,"BRK_B",0.116883116883117,0.242424242424242,0.0383074258178558,0.898994505169867
"60",2009-03-30,0.856085608560856,0.845621426421908,"BRK_B",0.0476190476190476,0.051948051948052,0.321916797193682,0.476349630049656
"61",2009-03-31,0.867086708670867,0.848630755341559,"BRK_B",0.80952380952381,0.645021645021645,0.950984843836211,0.0958445052762142
"62",2009-04-01,0.876087608760876,0.848329822449594,"BRK_B",0.766233766233766,0.567099567099567,0.954099486826755,0.0777595706067738
"63",2009-04-02,0.9001900190019,0.874510984050557,"BRK_B",0.904761904761905,0.930735930735931,0.318916345566649,0.83712299145755
"64",2009-04-03,0.924992499249925,0.904002407463136,"BRK_B",0.904761904761905,0.930735930735931,0.318916345566649,0.83712299145755
"65",2009-04-06,0.914091409140914,0.90189587721938,"BRK_B",0.25974025974026,0.515151515151515,0.0329986179486183,0.949532356154823
"66",2009-04-07,0.89008900890089,0.878724044538068,"BRK_B",0.112554112554113,0.0952380952380952,0.568108106173849,0.26184775624771
"67",2009-04-08,0.88968896889689,0.877219380078243,"BRK_B",0.54978354978355,0.523809523809524,0.598513447932915,0.41819386212628
"68",2009-04-09,0.924092409240924,0.918146253385495,"BRK_B",0.948051948051948,0.965367965367965,0.280086215522367,0.876100952846045
"69",2009-04-13,0.924992499249925,0.924465844116762,"BRK_B",0.593073593073593,0.70995670995671,0.178194907926057,0.869157416553789
"70",2009-04-14,0.907090709070907,0.900993078543485,"BRK_B",0.151515151515152,0.0952380952380952,0.787336753290663,0.0982446440547139
"71",2009-04-15,0.913141314131413,0.897682816731869,"BRK_B",0.718614718614719,0.467532467532468,0.962646179814514,0.0524510473068048
"72",2009-04-16,0.914591459145915,0.910321998194403,"BRK_B",0.61038961038961,0.813852813852814,0.0681193931696573,0.967502043001414
"73",2009-04-17,0.903090309030903,0.906409870598856,NA,0.238095238095238,0.437229437229437,0.0469634060445945,0.921760098279051
"74",2009-04-20,0.89008900890089,0.881730364128799,NA,0.212121212121212,0.0865800865800866,0.919969302555348,0.0235341319406507
"75",2009-04-21,0.881588158815882,0.872705386698766,NA,0.298701298701299,0.29004329004329,0.488901473529002,0.416517166479316
"76",2009-04-22,0.850585058505851,0.842913030394222,NA,0.0562770562770563,0.0606060606060606,0.333990624377768,0.467226105408351
"77",2009-04-23,0.855985598559856,0.846524225097803,NA,0.714285714285714,0.658008658008658,0.748421282628924,0.327991489547409
"78",2009-04-24,0.882588258825883,0.875714715618417,NA,0.922077922077922,0.930735930735931,0.487899234422923,0.700832559971387
"79",2009-04-27,0.9000900090009,0.882034306349684,"BRK_B",0.874458874458874,0.714285714285714,0.972279792963339,0.0766769179467099
"80",2009-04-28,0.89008900890089,0.876166114956365,"BRK_B",0.264069264069264,0.367965367965368,0.138763547693875,0.801382330227338
"81",2009-04-29,0.934093409340934,0.92491724345471,"BRK_B",0.974025974025974,0.982683982683983,0.289604390037767,0.875360223221571
"82",2009-04-30,0.94009400940094,0.922359313873006,"BRK_B",0.714285714285714,0.493506493506494,0.951755336080349,0.0676147874461453
"83",2009-05-01,0.92014201420142,0.916024676497141,"BRK_B",0.138528138528139,0.367965367965368,0.0165736599805149,0.951975034184192
