"","X1","KMX","MWW","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,1.078125,0.47736298649722,"MWW",0.861471861471861,0.194805194805195,0.964726396657883,0.0501786656056725
"46",2009-03-10,1.28125,0.528991262907069,"MWW",1,0.987012987012987,0.9999999999,0.0829987705217103
"47",2009-03-11,1.29807692307692,0.530579825258141,"MWW",0.701298701298701,0.584415584415584,0.714431209674573,0.442669839315638
"48",2009-03-12,1.30889423076923,0.545671167593328,"MWW",0.640692640692641,0.80952380952381,0.406934319232964,0.825124011455174
"49",2009-03-13,1.36298076923077,0.548054011119936,"MWW",0.878787878787879,0.597402597402597,0.922795646836623,0.277117358668772
"50",2009-03-16,1.34014423076923,0.564733915806195,"MWW",0.337662337662338,0.80952380952381,0.12628358140972,0.925038525666456
"51",2009-03-17,1.41947115384615,0.586179507545671,"MWW",0.939393939393939,0.861471861471861,0.894313381827085,0.533075012580481
"52",2009-03-18,1.46394230769231,0.646544876886418,"MWW",0.857142857142857,0.982683982683983,0.32548135674466,0.982449787614138
"53",2009-03-19,1.38100961538462,0.6131850675139,"MWW",0.0865800865800866,0.0995670995670996,0.225373057812558,0.290170032404625
"54",2009-03-20,1.31850961538462,0.583002382843527,"MWW",0.112554112554113,0.103896103896104,0.287096277577361,0.248205467786756
"55",2009-03-23,1.46634615384615,0.671167593328038,"MWW",0.987012987012987,1,0.0829987705217103,0.9999999999
"56",2009-03-24,1.50360576923077,0.646544876886418,"MWW",0.805194805194805,0.16017316017316,0.947685929997996,0.0428530178499193
"57",2009-03-25,1.515625,0.669579030976966,"MWW",0.640692640692641,0.831168831168831,0.381310113069788,0.853406103567214
"58",2009-03-26,1.62139423076923,0.724384432088959,"MWW",0.952380952380952,0.974025974025974,0.662348153153671,0.88418892051246
"59",2009-03-27,1.59375,0.688641779189833,"MWW",0.337662337662338,0.103896103896104,0.678292486312248,0.0773107845351543
"60",2009-03-30,1.5,0.644162033359809,"MWW",0.0822510822510823,0.0649350649350649,0.296457332109266,0.193967120501953
"61",2009-03-31,1.49519230769231,0.647339158061954,"MWW",0.510822510822511,0.614718614718615,0.418827322633272,0.650909955696954
