"","X1","ITW","EFX","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.758112898827379,0.750452079566004,NA,0.982683982683983,0.948051948051948,0.965232602442458,0.166501620115438
"47",2009-03-11,0.766293973275157,0.748643761301989,NA,0.748917748917749,0.463203463203463,0.906102530933766,0.171692860409207
"48",2009-03-12,0.774202345241342,0.764918625678119,NA,0.744588744588745,0.848484848484849,0.363850276613855,0.854527187611721
"49",2009-03-13,0.759476411235342,0.775406871609403,NA,0.207792207792208,0.748917748917749,0.0261368009547714,0.974312103310602
"50",2009-03-16,0.734660485410417,0.771428571428571,NA,0.0952380952380952,0.393939393939394,0.0283382499945106,0.879065389199728
"51",2009-03-17,0.745023179710935,0.792766726943942,NA,0.783549783549784,0.883116883116883,0.330649644661843,0.883393375048652
"52",2009-03-18,0.759476411235342,0.811934900542496,NA,0.822510822510823,0.861471861471861,0.516244919890333,0.760504778968528
"53",2009-03-19,0.784019634578675,0.81627486437613,NA,0.913419913419913,0.601731601731602,0.987636016634734,0.0647887107989282
"54",2009-03-20,0.756476683937824,0.807956600361664,NA,0.0909090909090909,0.324675324675325,0.0372086783102696,0.835026196578255
"55",2009-03-23,0.810744477774748,0.871971066907776,"ITW",0.987012987012987,0.991341991341991,0.441102060407723,0.827736770394009
"56",2009-03-24,0.827652031633488,0.852802893309222,"ITW",0.852813852813853,0.177489177489178,0.995337441224157,0.00704563141379644
"57",2009-03-25,0.841287155713117,0.867631103074141,"ITW",0.796536796536797,0.792207792207792,0.646278648362718,0.624620152976548
"58",2009-03-26,0.883556040359967,0.905244122965642,"ITW",0.974025974025974,0.939393939393939,0.934795187597919,0.247286126006264
"59",2009-03-27,0.869375511317153,0.892585895117541,"ITW",0.242424242424242,0.264069264069264,0.337688257079639,0.418659027572033
"60",2009-03-30,0.82792473411508,0.870524412296564,"ITW",0.0432900432900433,0.155844155844156,0.0325799780099411,0.800371829052831
"61",2009-03-31,0.841287155713117,0.884267631103074,"ITW",0.792207792207792,0.783549783549784,0.654796136910132,0.612657692372006
"62",2009-04-01,0.848377420234524,0.904520795660036,"ITW",0.696969696969697,0.852813852813853,0.267912593845892,0.90470697065979
"63",2009-04-02,0.888191982547041,0.944665461121157,"ITW",0.965367965367965,0.948051948051948,0.827706595081361,0.444767614431402
"64",2009-04-03,0.884646850286337,0.962748643761302,"ITW",0.454545454545455,0.835497835497836,0.0822324490242023,0.969989468248382
"65",2009-04-06,0.876738478320153,0.955877034358047,"ITW",0.337662337662338,0.367965367965368,0.384717618342748,0.478180426148389
"66",2009-04-07,0.837469320970821,0.919710669077758,"ITW",0.0476190476190476,0.0735930735930736,0.164190582650165,0.50623483312319
"67",2009-04-08,0.834469593673302,0.933815551537071,"ITW",0.454545454545455,0.774891774891775,0.137832809732127,0.931591197800447
"68",2009-04-09,0.887373875102263,0.972875226039783,"ITW",0.987012987012987,0.926406926406926,0.993720398032158,0.0556282646562909
"69",2009-04-13,0.879192800654486,0.991320072332731,"ITW",0.333333333333333,0.835497835497836,0.0372472552283717,0.983803230459681
"70",2009-04-14,0.859285519498227,0.96745027124774,"ITW",0.155844155844156,0.173160173160173,0.296076874674142,0.387430799928148
"71",2009-04-15,0.849740932642487,0.976130198915009,"ITW",0.303030303030303,0.696969696969697,0.0852037907847157,0.927064974623623
"72",2009-04-16,0.904008726479411,0.998553345388788,"ITW",0.987012987012987,0.852813852813853,0.999096242689766,0.0155648287928666
"73",2009-04-17,0.878647395691301,0.986980108499096,"ITW",0.121212121212121,0.303030303030303,0.0771378159905692,0.745123292648021
"74",2009-04-20,0.85219525497682,0.946473779385172,"ITW",0.108225108225108,0.0562770562770563,0.600638784676402,0.112289824502705
"75",2009-04-21,0.866103081538042,0.959493670886076,"ITW",0.792207792207792,0.748917748917749,0.723107321370342,0.527987383879247
"76",2009-04-22,0.899918189255522,0.953345388788427,"ITW",0.939393939393939,0.385281385281385,0.998725345795166,0.00880100779489212
"77",2009-04-23,0.907008453776929,1.03001808318264,"ITW",0.696969696969697,0.991341991341991,0.00169560375927758,0.999963230649431
"78",2009-04-24,0.923643305154077,1.04195298372514,"ITW",0.80952380952381,0.718614718614719,0.806335590631947,0.41829525205619
"79",2009-04-27,0.904826833924189,1.04701627486438,"ITW",0.181818181818182,0.588744588744589,0.0472856907574615,0.915700579051811
"80",2009-04-28,0.886555767657486,1.03327305605787,"ITW",0.186147186147186,0.272727272727273,0.209609995297074,0.546725352856731
"81",2009-04-29,0.910826288519225,1.05135623869801,"ITW",0.9004329004329,0.796536796536797,0.907021977084818,0.291519339713458
"82",2009-04-30,0.89446413962367,1.05461121157324,"ITW",0.220779220779221,0.571428571428571,0.0779516693450664,0.879706622676316
"83",2009-05-01,0.9080992637033,1.04520795660036,"ITW",0.787878787878788,0.341991341991342,0.966036037064046,0.0616478869390521
"84",2009-05-04,0.935369511862558,1.04701627486438,"ITW",0.909090909090909,0.558441558441558,0.989310067628443,0.0544566538639606
"85",2009-05-05,0.929370057267521,1.04701627486438,"ITW",0.385281385281385,0.528138528138528,0.295496818637784,0.68869616189996
"86",2009-05-06,0.944095991273521,1.04665461121157,"ITW",0.787878787878788,0.523809523809524,0.917585454241329,0.183056292243973
"87",2009-05-07,0.916280338151077,1.03218806509946,"ITW",0.108225108225108,0.268398268398268,0.0762394361260348,0.730134009365574
"88",2009-05-08,0.945186801199891,1.05135623869801,"ITW",0.913419913419913,0.826839826839827,0.903465936283127,0.30444378352462
"89",2009-05-11,0.936187619307336,1.03435804701627,"ITW",0.324675324675325,0.229437229437229,0.56116888467512,0.235525335935548
"90",2009-05-12,0.942187073902372,1.02857142857143,"ITW",0.662337662337662,0.393939393939394,0.855041189566286,0.184696477503835
"91",2009-05-13,0.928824652304336,0.991320072332731,"ITW",0.25974025974026,0.0822510822510823,0.790846565630248,0.0459854265772228
"92",2009-05-14,0.925824925006818,0.999638336347197,"ITW",0.458874458874459,0.683982683982684,0.237152384619287,0.838780008128261
"93",2009-05-15,0.900190891737115,0.997106690777577,"ITW",0.121212121212121,0.463203463203463,0.0343931205123812,0.889525237847089
"94",2009-05-18,0.918461958003818,1.02820976491863,"ITW",0.844155844155844,0.891774891774892,0.46022531923559,0.808821420676891
"95",2009-05-19,0.914371420779929,1.03942133815552,"ITW",0.432900432900433,0.714285714285714,0.177534279782032,0.886883165418671
"96",2009-05-20,0.919552767930188,1.0379746835443,"ITW",0.649350649350649,0.497835497835498,0.76206306417643,0.330297770468561
"97",2009-05-21,0.894191437142078,1.00759493670886,"ITW",0.121212121212121,0.125541125541126,0.313973230727021,0.343665766154436
"98",2009-05-22,0.887373875102263,0.993490054249548,"ITW",0.359307359307359,0.264069264069264,0.56661329391135,0.261938806648215
"99",2009-05-26,0.919280065448596,1.02278481012658,"ITW",0.926406926406926,0.891774891774892,0.81919023745891,0.454446959855007
