"","X1","CCL","ETH","long_distance","Fx","Fy","MI_X","MI_Y"
"64",2009-04-03,0.998825831702544,0.903292181069959,"ETH",0.926406926406926,0.874458874458874,0.822256141693457,0.604236569086765
"65",2009-04-06,0.968688845401174,0.891632373113855,"ETH",0.207792207792208,0.38961038961039,0.202228342214534,0.630413899586898
"66",2009-04-07,0.919765166340509,0.855281207133059,"ETH",0.103896103896104,0.121212121212121,0.256327005675262,0.324033682862395
"67",2009-04-08,0.938943248532289,0.858710562414266,"ETH",0.783549783549784,0.606060606060606,0.789287698587818,0.373713218481216
"68",2009-04-09,1.00195694716243,0.978052126200274,"ETH",0.952380952380952,1,0.000497989826579836,0.9999999999
"69",2009-04-13,1.02544031311155,0.986968449931413,"ETH",0.800865800865801,0.645021645021645,0.786697491618263,0.405797141500863
"70",2009-04-14,0.989432485322896,0.94238683127572,"ETH",0.177489177489178,0.0995670995670996,0.455028885736454,0.184668574348823
"71",2009-04-15,1.0105675146771,0.893004115226337,"ETH",0.792207792207792,0.0649350649350649,0.991451955238033,0.00341380270781479
"72",2009-04-16,1.07279843444227,0.908093278463649,"ETH",0.943722943722944,0.722943722943723,0.943623121649542,0.27784921668329
"73",2009-04-17,1.0665362035225,0.855281207133059,"ETH",0.463203463203463,0.0562770562770563,0.894174231636234,0.0218314538995583
"74",2009-04-20,0.98825831702544,0.811385459533608,"ETH",0.0216450216450216,0.0649350649350649,0.0865856933440245,0.399161677645549
"75",2009-04-21,1.00078277886497,0.882716049382716,"ETH",0.701298701298701,0.991341991341991,0.0871651744830044,0.996416102609698
"76",2009-04-22,1.04070450097847,0.807270233196159,"ETH",0.883116883116883,0.0216450216450216,0.999549619811911,0.000107947019761358
"77",2009-04-23,1.08493150684932,0.768175582990398,"ETH",0.887445887445887,0.0822510822510823,0.997478593069323,0.00195530871591551
"78",2009-04-24,1.11272015655577,0.873113854595336,"ETH",0.822510822510823,1,9.59336629361751e-06,0.9999999999
"79",2009-04-27,0.962426614481409,0.838820301783265,"ETH",0,0.125541125541126,1e-10,0.999965508738533
"80",2009-04-28,1,0.87037037037037,"ETH",0.878787878787879,0.848484848484849,0.743742311569017,0.637257454580291
"81",2009-04-29,1.03835616438356,0.921810699588477,"ETH",0.874458874458874,0.943722943722944,0.557926743437276,0.865510742259889
