,APC,STR
2008-08-06,0.9465356429047301,0.9757679832093112
2008-08-07,0.9097268487674883,0.9528715893913375
2008-08-08,0.8957361758827449,0.9353176874642245
2008-08-11,0.9080612924716857,0.9301659988551804
2008-08-12,0.913057961359094,0.9370349170005725
2008-08-13,0.9653564290473018,0.9507727532913567
2008-08-14,0.9520319786808794,0.9435222285823317
2008-08-15,0.959526982011992,0.9410417859187179
2008-08-18,0.9397068620919388,0.9273039496279337
2008-08-19,0.9665223184543638,0.9626025567639764
2008-08-20,0.990506329113924,0.978630032436558
2008-08-21,1.0098267821452365,0.9990459835909178
2008-08-22,0.976848767488341,0.9744323602365962
2008-08-25,0.9633577614923385,0.9713795077275329
2008-08-26,1.024983344437042,1.0083953443999238
2008-08-27,1.0443037974683544,1.0207975577179929
2008-08-28,1.0334776815456361,1.0057240984544935
2008-08-29,1.0281479013990673,0.9900782293455448
2008-09-02,0.9940039973351099,0.9397061629460027
2008-09-03,0.9840106595602931,0.9255867200915856
2008-09-04,0.9663557628247835,0.9175729822552949
2008-09-05,0.9706862091938708,0.9089868345735548
2008-09-08,0.9488674217188541,0.9009730967372639
2008-09-09,0.8824117255163224,0.8162564396107613
2008-09-10,0.9132245169886742,0.8565159320740318
2008-09-11,0.9213857428381079,0.8620492272467087
2008-09-12,0.9475349766822119,0.9072696050372067
2008-09-15,0.8527648234510327,0.8353367677924061
2008-09-16,0.8824117255163224,0.8668193092921199
2008-09-17,0.8557628247834778,0.8002289639381798
2008-09-18,0.8864090606262491,0.8246517840106851
2008-09-19,0.9623584277148568,0.9059339820644915
2008-09-22,0.94053964023984,0.8715893913375311
2008-09-23,0.9208860759493671,0.840870062965083
2008-09-24,0.9165556295802798,0.8561343255103988
2008-09-25,0.9143904063957362,0.8754054569738601
2008-09-26,0.8782478347768155,0.8492654073650067
2008-09-29,0.7471685542971352,0.7250524709024996
2008-09-30,0.8079613590939374,0.7807670291929022
2008-10-01,0.802964690206529,0.7323029956115246
2008-10-02,0.6988674217188541,0.6575081091394772
2008-10-03,0.6918720852764824,0.6590345353940088
2008-10-06,0.6593937375083279,0.575081091394772
2008-10-07,0.5859427048634244,0.520892959358901
2008-10-08,0.5796135909393737,0.5310055332951726
2008-10-09,0.5064956695536309,0.4775806143865675
2008-10-10,0.4580279813457695,0.4352222858233162
2008-10-13,0.5661225849433711,0.540545697385995
2008-10-14,0.5857761492338441,0.5037206639954207
2008-10-15,0.4846768820786143,0.42186605609616484
2008-10-16,0.524983344437042,0.4733829421866056
2008-10-17,0.5579613590939374,0.5103987788589964
2008-10-20,0.6230846102598268,0.5985498950581951
2008-10-21,0.580279813457695,0.571646632322076
2008-10-22,0.4893404397068621,0.5138332379316924
2008-10-23,0.5099933377748168,0.5374928448769319
2008-10-24,0.48884077281812127,0.5205113527952682
2008-10-27,0.4525316455696203,0.4792978439229155
2008-10-28,0.49733510992671554,0.5453157794314062
2008-10-29,0.5168221185876083,0.5642053043312345
2008-10-30,0.5717854763491006,0.6332760923487883
2008-10-31,0.5879413724183877,0.6575081091394772
2008-11-03,0.5517988007994671,0.6178210265216563
2008-11-04,0.5859427048634244,0.6567448960122115
2008-11-05,0.5851099267155231,0.6327036825033391
2008-11-06,0.5637908061292471,0.5890097309673727
2008-11-07,0.6050966022651565,0.6157221904216753
2008-11-10,0.6354097268487675,0.6149589772944094
2008-11-11,0.6295802798134577,0.5834764357946957
2008-11-12,0.5856095936042638,0.5290975004770082
2008-11-13,0.6687208527648234,0.5617248616676207
2008-11-14,0.6299133910726182,0.5518030910131655
2008-11-17,0.6275816122584943,0.5424537302041595
2008-11-18,0.6355762824783477,0.5539019271131465
2008-11-19,0.5989340439706863,0.5121160083953444
2008-11-20,0.4901732178547635,0.4344590726960504
2008-11-21,0.5507994670219853,0.5186033199771036
2008-11-24,0.6307461692205196,0.5607708452585385
2008-11-25,0.6538974017321785,0.5809959931310819
2008-11-26,0.6852098600932711,0.6208738790307193
2008-11-28,0.6837108594270486,0.6141957641671437
2008-12-01,0.6262491672218521,0.530242320167907
2008-12-02,0.627914723517655,0.5634420912039688
2008-12-03,0.6162558294470353,0.5739362717038733
2008-12-04,0.557128580946036,0.5092539591680978
2008-12-05,0.56545636242505,0.5197481396680023
2008-12-08,0.5664556962025317,0.5672581568402977
2008-12-09,0.5682878081279147,0.5783247471856516
2008-12-10,0.60709526982012,0.6117153215035299
2008-12-11,0.6254163890739507,0.596832665521847
2008-12-12,0.6167554963357762,0.607899255867201
2008-12-15,0.6214190539640241,0.6122877313489793
2008-12-16,0.6695536309127249,0.6361381415760352
2008-12-17,0.6533977348434377,0.6229727151307003
2008-12-18,0.6087608261159226,0.6061820263308529
2008-12-19,0.6189207195203197,0.6254531577943141
2008-12-22,0.5971019320453032,0.5871016981492082
2008-12-23,0.5921052631578947,0.5914901736309864
2008-12-24,0.5931045969353764,0.5995039114672773
2008-12-26,0.604763491005996,0.6092348788399161
2008-12-29,0.6310792804796802,0.6050372066399543
2008-12-30,0.6320786142571619,0.6183934363671055
2008-12-31,0.6420719520319786,0.6237359282579661
