,AIV,LNC
2008-07-15,0.7881543376751045,0.7386343376715991
2008-07-16,0.8545097075448514,0.7755393118202888
2008-07-17,0.8822806586384861,0.7922980923515778
2008-07-18,0.8916195625460802,0.7905152433588876
2008-07-21,0.9144753010567708,0.7869495453735068
2008-07-22,0.9734578520521013,0.8423961490461758
2008-07-23,0.992872941754731,0.849349260117668
2008-07-24,0.8257557139346278,0.8099482973792119
2008-07-25,0.8336200540673385,0.8026386165091817
2008-07-28,0.7987220447284346,0.7776787306115172
2008-07-29,0.8623740476775622,0.8352647530754145
2008-07-30,0.8483656918161712,0.8557675164913531
2008-07-31,0.8397640697960188,0.8504189695132822
2008-08-01,0.875153600393217,0.8456052772330183
2008-08-04,0.8682723027770951,0.855054376894277
2008-08-05,0.9353649545342837,0.9008735960064183
