,CMCSA,CMCSK
2008-07-15,0.9924528301886792,0.992930940728657
2008-07-16,1.0258760107816711,1.0280043501903209
2008-07-17,1.062533692722372,1.0657966286025014
2008-07-18,1.0911051212938003,1.0913539967373573
2008-07-21,1.0652291105121294,1.066884176182708
2008-07-22,1.0690026954177896,1.0701468189233279
2008-07-23,1.0808625336927224,1.0831973898858076
2008-07-24,1.0711590296495956,1.072321914083741
2008-07-25,1.0576819407008087,1.060358890701468
2008-07-28,1.0188679245283017,1.0228384991843391
2008-07-29,1.0339622641509434,1.030995106035889
2008-07-30,1.0819407008086253,1.0870038064165306
2008-07-31,1.111590296495957,1.116911364872213
2008-08-01,1.097035040431267,1.10331702011963
2008-08-04,1.1078167115902966,1.11147362697118
2008-08-05,1.1606469002695419,1.1604132680804784
