,PG,HAE
2008-07-15,0.9742619227857683,0.9090286105876307
2008-07-16,0.9672975018925057,0.9283878704814117
2008-07-17,0.9672975018925057,0.9234195648449546
2008-07-18,0.9639666919000758,0.9193078636285763
2008-07-21,0.9635124905374717,0.9227342813088916
2008-07-22,0.9704769114307342,0.9438067500428303
2008-07-23,0.9795609386828161,0.9575124207640912
2008-07-24,0.9766843300529903,0.9534007195477129
2008-07-25,0.9759273277819833,0.9725886585574782
2008-07-28,0.9663890991672975,0.9657358231968477
2008-07-29,0.9922785768357306,0.9948603734795272
2008-07-30,1.0078728236184709,0.9991433955799213
2008-07-31,0.9913701741105224,0.9946890525955114
2008-08-01,0.9833459500378502,1.0472845639883503
2008-08-04,0.9965177895533686,1.0779510022271717
2008-08-05,1.0290688872066616,1.0827479869796128
