,TJX,DHR
2008-07-15,1.0161993769470403,0.9803740779768177
2008-07-16,1.0638629283489096,1.0038198103266596
2008-07-17,1.0987538940809969,1.065595363540569
2008-07-18,1.07601246105919,1.0849578503688093
2008-07-21,1.0629283489096573,1.0711275026343519
2008-07-22,1.0903426791277258,1.0841675447839831
2008-07-23,1.0591900311526479,1.0641464699683878
2008-07-24,1.0230529595015576,1.0489989462592202
2008-07-25,1.0115264797507788,1.0687565858798735
2008-07-28,1.0149532710280373,1.0580874604847208
2008-07-29,1.0601246105919002,1.066385669125395
2008-07-30,1.0638629283489096,1.0708640674394099
2008-07-31,1.0501557632398755,1.0491306638566913
2008-08-01,1.0613707165109034,1.0620389884088512
2008-08-04,1.0433021806853582,1.0583508956796628
2008-08-05,1.1021806853582554,1.0871970495258167
