"","X1","CMCSA","CMCSK","long_distance","Fx","Fy","MI_X","MI_Y"
"44",2009-03-06,0.646470261256254,0.629843840370156,"CMCSK",0.134199134199134,0.16017316017316,0.136628986637994,0.817823838359313
"45",2009-03-09,0.623679822123402,0.603238866396761,"CMCSK",0.108225108225108,0.0779220779220779,0.918810149754914,0.0494349551280545
"46",2009-03-10,0.678710394663702,0.665124349334876,"CMCSK",0.987012987012987,0.995670995670996,0.00846536013121638,0.998388671388752
"47",2009-03-11,0.687604224569205,0.67727009832273,"CMCSK",0.701298701298701,0.792207792207792,0.0412971826026628,0.971963408220227
"48",2009-03-12,0.718176764869372,0.706766917293233,"CMCSK",0.922077922077922,0.909090909090909,0.827719335479512,0.232482158452323
"49",2009-03-13,0.724291272929405,0.708502024291498,"CMCSK",0.640692640692641,0.58008658008658,0.887465328639057,0.124803463709457
"50",2009-03-16,0.698721511951084,0.681897050318103,"CMCSK",0.108225108225108,0.0952380952380952,0.732482404000367,0.205593508897095
"51",2009-03-17,0.73763201778766,0.721226142278774,"CMCSK",0.948051948051948,0.952380952380952,0.356692899241458,0.721663488595813
"52",2009-03-18,0.754307948860478,0.732215153267785,"CMCSK",0.80952380952381,0.74025974025974,0.956602707287259,0.0624909089984414
"53",2009-03-19,0.725403001667593,0.715442452284557,"CMCSK",0.0995670995670996,0.186147186147186,0.00819856146102935,0.981513578871164
"54",2009-03-20,0.707059477487493,0.688837478311163,"CMCSK",0.168831168831169,0.0952380952380952,0.976636247715481,0.0109162264660928
"55",2009-03-23,0.782657031684269,0.761711972238288,"CMCSK",0.995670995670996,0.995670995670996,0.547116962302296,0.547116962302296
"56",2009-03-24,0.780433574207893,0.764603817235396,"CMCSK",0.497835497835498,0.601731601731602,0.0484741268254509,0.954768485857711
"57",2009-03-25,0.774874930516954,0.755928282244072,"CMCSK",0.415584415584416,0.303030303030303,0.963032947452633,0.0295443807753566
"58",2009-03-26,0.808782657031684,0.785425101214575,"CMCSK",0.917748917748918,0.896103896103896,0.90419060124863,0.140529294841146
"59",2009-03-27,0.80822679266259,0.78716020821284,"CMCSK",0.523809523809524,0.58008658008658,0.143154144224993,0.863153223093084
"60",2009-03-30,0.75875486381323,0.73742047426258,"CMCSK",0.0303030303030303,0.025974025974026,0.750011926219205,0.179820714531846
"61",2009-03-31,0.758198999444136,0.744360902255639,"CMCSK",0.523809523809524,0.670995670995671,0.0210784967002559,0.982595057269045
"62",2009-04-01,0.773763201778766,0.757663389242337,"CMCSK",0.800865800865801,0.774891774891775,0.803601905124603,0.239676127638428
"63",2009-04-02,0.809894385769872,0.803932909196067,"CMCSK",0.926406926406926,0.952380952380952,0.0518206276946432,0.973184020348452
"64",2009-04-03,0.806003335186215,0.798149219201851,"CMCSK",0.458874458874459,0.393939393939394,0.884764417103912,0.10733425906854
"65",2009-04-06,0.798221234018899,0.788316946211683,"CMCSK",0.350649350649351,0.294372294372294,0.873410631482376,0.107052565864467
"66",2009-04-07,0.780433574207893,0.761711972238288,"CMCSK",0.181818181818182,0.121212121212121,0.954079888185142,0.026820134110579
"67",2009-04-08,0.79266259032796,0.77674956622325,"CMCSK",0.735930735930736,0.796536796536797,0.0841782256177279,0.938212200990452
"68",2009-04-09,0.812673707615342,0.798727588201272,"CMCSK",0.826839826839827,0.848484848484849,0.238380621501726,0.811828392094418
"69",2009-04-13,0.797665369649806,0.779641411220359,"CMCSK",0.225108225108225,0.186147186147186,0.851476929038159,0.114116920916101
"70",2009-04-14,0.770428015564202,0.747831116252169,"CMCSK",0.112554112554113,0.0779220779220779,0.934455584783535,0.0380906031752639
"71",2009-04-15,0.799332962757087,0.777327935222672,"CMCSK",0.883116883116883,0.896103896103896,0.281900049359322,0.780212900281666
"72",2009-04-16,0.820455808782657,0.801619433198381,"CMCSK",0.835497835497836,0.852813852813853,0.279115075184888,0.775870219515248
"73",2009-04-17,0.804891606448027,0.78368999421631,"CMCSK",0.220779220779221,0.19047619047619,0.798160826719106,0.161230987541716
"74",2009-04-20,0.77431906614786,0.75882012724118,"CMCSK",0.103896103896104,0.12987012987013,0.100144916490356,0.857049592035648
"75",2009-04-21,0.793218454697054,0.777327935222672,"CMCSK",0.826839826839827,0.831168831168831,0.466752304498486,0.595281557301581
"76",2009-04-22,0.780989438576987,0.76229034123771,"CMCSK",0.251082251082251,0.207792207792208,0.858189506091222,0.110816755855169
"77",2009-04-23,0.756531406336854,0.742625795257374,"CMCSK",0.12987012987013,0.168831168831169,0.0713409604709261,0.896000181241227
"78",2009-04-24,0.772095608671484,0.751301330248699,"CMCSK",0.800865800865801,0.692640692640693,0.98228349630926,0.0279370260317509
"79",2009-04-27,0.764869371873263,0.740890688259109,"CMCSK",0.354978354978355,0.285714285714286,0.910145759096507,0.0736631229462462
"80",2009-04-28,0.788771539744302,0.764025448235975,"CMCSK",0.857142857142857,0.852813852813853,0.606642670030743,0.460061074864829
"81",2009-04-29,0.847137298499166,0.828802776171197,"CMCSK",0.961038961038961,0.982683982683983,0.0152618986731768,0.995463217224681
"82",2009-04-30,0.859366314619233,0.849045691150954,"CMCSK",0.722943722943723,0.831168831168831,0.0233108546248962,0.986640690911748
"83",2009-05-01,0.909394107837688,0.895315211104685,"CMCSK",0.952380952380952,0.952380952380952,0.543027842844015,0.543027842844015
"84",2009-05-04,0.925514174541412,0.908039329091961,"CMCSK",0.761904761904762,0.727272727272727,0.831815954220179,0.202290204590043
"85",2009-05-05,0.903279599777654,0.879120879120879,"CMCSK",0.177489177489178,0.12987012987013,0.924075834360946,0.0494336888734896
"86",2009-05-06,0.889382990550306,0.866975130133025,"CMCSK",0.251082251082251,0.285714285714286,0.175395179521457,0.791758326323711
