"","X1","WSBC","GHL","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.504032258064516,0.809784961754943,"WSBC",0.329004329004329,0.303030303030303,0.424795818615719,0.375704196356785
"46",2009-03-10,0.591275659824047,0.876028286910088,"WSBC",1,0.965367965367965,0.9999999999,1.10390269170146e-06
"47",2009-03-11,0.57441348973607,0.879924953095685,"WSBC",0.238095238095238,0.558441558441558,0.193433800063897,0.735776354697444
"48",2009-03-12,0.663856304985337,0.920623466589695,"WSBC",0.995670995670996,0.874458874458874,0.997577405667949,0.125354998939257
"49",2009-03-13,0.657258064516129,0.937797662000289,"WSBC",0.41991341991342,0.705627705627706,0.300281039088476,0.806938235451697
"50",2009-03-16,0.640762463343108,0.917159763313609,"WSBC",0.264069264069264,0.311688311688312,0.332722801267605,0.424559743118427
"51",2009-03-17,0.691348973607038,0.939096550728821,"WSBC",0.948051948051948,0.748917748917749,0.958113170343486,0.311544214235393
"52",2009-03-18,0.747434017595308,0.995093087025545,"WSBC",0.956709956709957,0.930735930735931,0.849258998012725,0.655963758297642
"53",2009-03-19,0.737903225806452,0.95222975898398,"WSBC",0.376623376623377,0.125541125541126,0.606252269240156,0.126902691897356
"54",2009-03-20,0.75733137829912,0.97142444797229,"WSBC",0.757575757575758,0.714285714285714,0.708277542064291,0.606552061111221
"55",2009-03-23,0.87133431085044,1.06508875739645,"WSBC",0.995670995670996,0.96969696969697,0.978477073186298,0.362345402202325
"56",2009-03-24,0.802785923753666,1.04185308125271,"WSBC",0.0216450216450216,0.316017316017316,0.0182555843278117,0.678935692356124
"57",2009-03-25,0.848607038123167,1.05368740077933,"WSBC",0.909090909090909,0.649350649350649,0.938516723632108,0.303561276934273
"58",2009-03-26,0.869134897360704,1.08688122384182,"WSBC",0.748917748917749,0.792207792207792,0.619125343760227,0.729510732292207
"59",2009-03-27,0.834677419354839,1.05224419108096,"WSBC",0.138528138528139,0.212121212121212,0.202156420122835,0.369166849018236
"60",2009-03-30,0.800953079178886,1.02770962620869,"WSBC",0.138528138528139,0.303030303030303,0.165130966195971,0.50159549970391
"61",2009-03-31,0.836876832844575,1.06581036224563,"WSBC",0.861471861471861,0.805194805194805,0.789760763200208,0.613228508618419
"62",2009-04-01,0.861803519061584,1.13522874873719,"WSBC",0.792207792207792,0.943722943722944,0.385846118342515,0.939447688742945
"63",2009-04-02,0.86400293255132,1.07490258334536,"WSBC",0.571428571428571,0.0909090909090909,0.820581979662311,0.0573138334917394
"64",2009-04-03,0.877199413489736,1.08457208832443,"WSBC",0.670995670995671,0.606060606060606,0.671785084153626,0.54109135946857
"65",2009-04-06,0.847873900293255,1.03175061336412,"WSBC",0.177489177489178,0.108225108225108,0.342524001744332,0.170501655778551
"66",2009-04-07,0.796187683284457,0.98831000144321,"WSBC",0.0692640692640693,0.134199134199134,0.123640397031543,0.315830222785403
"67",2009-04-08,0.799486803519062,1.02684370038967,"WSBC",0.58008658008658,0.822510822510823,0.361654065971731,0.86793122414245
"68",2009-04-09,0.872067448680352,1.12310578727089,"WSBC",0.965367965367965,0.96969696969697,0.749195192220134,0.801421233391153
"69",2009-04-13,0.891862170087976,1.13421850194833,"WSBC",0.74025974025974,0.627705627705628,0.746074804670172,0.507487736862154
"70",2009-04-14,0.811950146627566,1.09236542069563,"WSBC",0.012987012987013,0.164502164502165,0.0161329480473129,0.537266382223085
"71",2009-04-15,0.842008797653959,1.11848751623611,"WSBC",0.826839826839827,0.748917748917749,0.782242963866338,0.574604950070228
"72",2009-04-16,0.854472140762463,1.17015442343773,"WSBC",0.662337662337662,0.874458874458874,0.381386118014452,0.896268782663548
"73",2009-04-17,0.872434017595308,1.21879059027277,"WSBC",0.718614718614719,0.835497835497836,0.517182403637471,0.816782564011694
"74",2009-04-20,0.793621700879765,1.14850627796219,"WSBC",0.012987012987013,0.0735930735930736,0.0294102726808313,0.366208715677504
"75",2009-04-21,0.859237536656892,1.16669072016164,"WSBC",0.956709956709957,0.696969696969697,0.975809440337632,0.228453197829268
