"","X1","KW","ARR","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,1.01945945945946,1.03925845147219,"KW",0.194805194805195,0.683982683982684,0.149086778246372,0.744090334807058
"47",2009-03-11,1.01945945945946,1.0381679389313,"KW",0.705627705627706,0.25974025974026,0.760134881211572,0.20898927904548
"48",2009-03-12,1.0227027027027,1.0381679389313,"KW",0.813852813852814,0.683982683982684,0.818592878330587,0.627509429968853
"49",2009-03-13,1.0227027027027,1.0381679389313,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"50",2009-03-16,1.0227027027027,1.04252998909487,"KW",0.705627705627706,0.848484848484849,0.636176139191887,0.852913452874059
"51",2009-03-17,1.01945945945946,1.03925845147219,"KW",0.194805194805195,0.155844155844156,0.244829217673882,0.179998911220984
"52",2009-03-18,1.01858378378378,1.03925845147219,"KW",0.25974025974026,0.683982683982684,0.210430316411974,0.739263408151037
"53",2009-03-19,1.01945945945946,1.04143947655398,"KW",0.705627705627706,0.744588744588745,0.677386035767217,0.733999611884935
"54",2009-03-20,1.02162162162162,1.04143947655398,"KW",0.770562770562771,0.683982683982684,0.769432222567216,0.643849005213403
"55",2009-03-23,1.02162162162162,1.04143947655398,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"56",2009-03-24,1.02162162162162,1.04252998909487,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"57",2009-03-25,1.0227027027027,1.04143947655398,"KW",0.705627705627706,0.25974025974026,0.760134881211572,0.20898927904548
"58",2009-03-26,1.0227027027027,1.04143947655398,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"59",2009-03-27,1.0227027027027,1.04143947655398,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"60",2009-03-30,1.0227027027027,1.04143947655398,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"61",2009-03-31,1.0227027027027,1.04252998909487,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"62",2009-04-01,1.02594594594595,1.04252998909487,"KW",0.813852813852814,0.683982683982684,0.818592878330587,0.627509429968853
"63",2009-04-02,1.02702702702703,1.04252998909487,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"64",2009-04-03,1.02702702702703,1.04362050163577,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"65",2009-04-06,1.02702702702703,1.04362050163577,"KW",0.705627705627706,0.683982683982684,0.694879022591205,0.664086789635909
"66",2009-04-07,1.02702702702703,1.04580152671756,"KW",0.705627705627706,0.744588744588745,0.677386035767217,0.733999611884935
