,TAXI,VGR
2008-07-18,0.9068825910931174,0.9328
2008-07-21,0.9271255060728745,0.9279999999999999
2008-07-22,0.9605263157894737,0.9354666666666667
2008-07-23,0.9402834008097164,0.9445333333333333
2008-07-24,0.9240890688259109,0.9498666666666666
2008-07-25,0.9635627530364371,0.9498666666666666
2008-07-28,0.9777327935222672,0.9461333333333333
2008-07-29,0.9898785425101213,0.9557333333333334
2008-07-30,0.9878542510121456,0.9642666666666666
2008-07-31,1.0,0.9552
2008-08-01,0.9979757085020241,0.9701333333333334
2008-08-04,0.9888663967611335,0.9770666666666666
2008-08-05,0.9898785425101213,0.9877333333333334
2008-08-06,1.027327935222672,0.9920000000000001
2008-08-07,1.0,0.9786666666666668
2008-08-08,1.034412955465587,1.0026666666666666
2008-08-11,1.0384615384615383,1.0090666666666668
2008-08-12,1.0364372469635628,1.0048
2008-08-13,1.020242914979757,1.0037333333333334
2008-08-14,1.0172064777327936,1.0058666666666667
2008-08-15,1.0111336032388663,1.0058666666666667
2008-08-18,0.9878542510121456,1.0090666666666668
2008-08-19,0.9827935222672065,0.9935999999999999
2008-08-20,0.9898785425101213,0.9786666666666668
2008-08-21,0.9726720647773278,0.9706666666666667
2008-08-22,0.9797570850202428,0.9754666666666666
2008-08-25,0.9716599190283399,0.9712000000000001
2008-08-26,0.9919028340080972,0.9722666666666667
2008-08-27,1.0374493927125505,0.9770666666666666
2008-08-28,1.047570850202429,0.9946666666666666
2008-08-29,1.0506072874493928,0.9845333333333334
2008-09-02,1.039473684210526,0.9904000000000001
2008-09-03,1.0364372469635628,1.0026666666666666
2008-09-04,1.0293522267206476,0.9845333333333334
2008-09-05,1.0192307692307692,1.0031999999999999
2008-09-08,1.0283400809716599,1.0288
2008-09-09,1.0263157894736843,1.0218666666666667
2008-09-10,1.04251012145749,1.0378666666666667
2008-09-11,1.040485829959514,1.0362666666666667
2008-09-12,1.0192307692307692,1.0352
2008-09-15,0.9838056680161943,1.0133333333333334
2008-09-16,1.0121457489878543,1.0442666666666667
2008-09-17,0.9726720647773278,0.9509333333333333
2008-09-18,1.0364372469635628,0.9786666666666668
2008-09-19,1.0779352226720647,0.9834666666666667
2008-09-22,1.0597165991902835,0.9626666666666667
2008-09-23,1.0414979757085019,0.9722666666666667
2008-09-24,1.04251012145749,0.9775999999999999
2008-09-25,1.0789473684210527,0.9834666666666667
2008-09-26,1.0728744939271253,1.0
2008-09-29,1.034412955465587,0.9509333333333333
2008-09-30,1.0597165991902835,0.9418666666666666
2008-10-01,0.9959514170040485,0.9338666666666667
2008-10-02,0.9746963562753036,0.9173333333333333
2008-10-03,0.9817813765182185,0.9087999999999999
2008-10-06,0.9574898785425101,0.8618666666666667
2008-10-07,0.8633603238866395,0.8437333333333333
2008-10-08,0.8228744939271255,0.8048
2008-10-09,0.6609311740890688,0.7653333333333333
2008-10-10,0.7813765182186234,0.7984
2008-10-13,0.9210526315789472,0.8613333333333333
2008-10-14,0.8360323886639676,0.8490666666666666
2008-10-15,0.7449392712550607,0.8245333333333333
2008-10-16,0.8896761133603237,0.8463999999999999
2008-10-17,0.8967611336032387,0.8357333333333333
2008-10-20,0.9058704453441294,0.864
2008-10-21,0.8775303643724696,0.848
2008-10-22,0.8613360323886639,0.8421333333333333
2008-10-23,0.8502024291497975,0.8512000000000001
2008-10-24,0.8026315789473684,0.8229333333333333
2008-10-27,0.7945344129554655,0.8138666666666666
2008-10-28,0.8016194331983805,0.8661333333333332
2008-10-29,0.7661943319838056,0.8432000000000001
2008-10-30,0.7884615384615384,0.8650666666666667
2008-10-31,0.818825910931174,0.9093333333333333
2008-11-03,0.8502024291497975,0.8853333333333334
2008-11-04,0.9331983805668016,0.8735999999999999
2008-11-05,0.8977732793522266,0.8549333333333334
2008-11-06,0.880566801619433,0.8325333333333333
2008-11-07,0.9078947368421053,0.8512000000000001
2008-11-10,0.8512145748987854,0.8373333333333333
2008-11-11,0.8269230769230769,0.8421333333333333
2008-11-12,0.7753036437246963,0.8288
2008-11-13,0.8582995951417004,0.8549333333333334
2008-11-14,0.7813765182186234,0.8154666666666667
2008-11-17,0.7732793522267205,0.8336
2008-11-18,0.763157894736842,0.832
2008-11-19,0.694331983805668,0.8016
2008-11-20,0.6487854251012145,0.7312000000000001
2008-11-21,0.5870445344129555,0.7173333333333333
2008-11-24,0.5850202429149798,0.7301333333333333
2008-11-25,0.5647773279352226,0.744
2008-11-26,0.7044534412955465,0.7557333333333334
2008-11-28,0.7085020242914979,0.7658666666666666
2008-12-01,0.6578947368421052,0.7184
2008-12-02,0.7044534412955465,0.7402666666666667
2008-12-03,0.777327935222672,0.7408
2008-12-04,0.7004048582995951,0.7082666666666666
2008-12-05,0.7196356275303644,0.7301333333333333
2008-12-08,0.7540485829959513,0.736
2008-12-09,0.756072874493927,0.7365333333333334
2008-12-10,0.7864372469635627,0.7370666666666666
2008-12-11,0.7206477732793521,0.7274666666666667
2008-12-12,0.728744939271255,0.7349333333333333
2008-12-15,0.7206477732793521,0.7354666666666666
2008-12-16,0.7469635627530363,0.7114666666666667
2008-12-17,0.7459514170040485,0.7082666666666666
2008-12-18,0.7580971659919028,0.7242666666666667
2008-12-19,0.777327935222672,0.7173333333333333
2008-12-22,0.7540485829959513,0.72
2008-12-23,0.7449392712550607,0.7136
2008-12-24,0.7550607287449392,0.7141333333333334
2008-12-26,0.7793522267206477,0.7205333333333334
2008-12-29,0.7348178137651821,0.7162666666666666
2008-12-30,0.7135627530364371,0.7258666666666667
2008-12-31,0.7722672064777327,0.7263999999999999
