,BWS,HOG
2008-07-15,0.7413194444444444,0.8256410256410256
2008-07-16,0.8246527777777777,0.8835164835164835
2008-07-17,0.8640046296296295,0.9457875457875456
2008-07-18,0.8657407407407407,0.9145299145299145
2008-07-21,0.8663194444444444,0.9096459096459096
2008-07-22,0.9172453703703702,0.9286935286935286
2008-07-23,0.9565972222222222,0.95995115995116
2008-07-24,0.9143518518518519,0.9032967032967033
2008-07-25,0.8987268518518517,0.906959706959707
2008-07-28,0.8350694444444444,0.8942612942612941
2008-07-29,0.8865740740740741,0.9250305250305251
2008-07-30,0.9143518518518519,0.9335775335775335
2008-07-31,0.9340277777777778,0.9240537240537241
2008-08-01,0.9369212962962963,0.9245421245421245
2008-08-04,0.9068287037037036,0.9235653235653235
2008-08-05,0.9866898148148148,0.9748473748473748
