,SCG,WEC
2008-07-15,0.9485294117647058,0.9686752229715032
2008-07-16,0.9367121848739497,0.9545355666739178
2008-07-17,0.9332983193277311,0.9499673700239287
2008-07-18,0.9298844537815125,0.9471394387644115
2008-07-21,0.9432773109243698,0.9567108984120077
2008-07-22,0.9477415966386556,0.9514901022405917
2008-07-23,0.9398634453781513,0.9356101805525342
2008-07-24,0.9409138655462185,0.9506199695453558
2008-07-25,0.9272584033613447,0.9384381118120514
2008-07-28,0.9317226890756302,0.9488797041548835
2008-07-29,0.936186974789916,0.9458342397215574
2008-07-30,0.9535189075630253,0.9669349575810312
2008-07-31,0.9503676470588235,0.9815096802262344
2008-08-01,0.9600840336134455,0.965847291711986
2008-08-04,0.960609243697479,0.962366760931042
2008-08-05,0.9763655462184875,0.9919512725690668
