"","X1","BBGI","ANF","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.487804878048781,0.702380952380952,"BBGI",0.476190476190476,0.307359307359307,0.467242984241248,0.283223038750455
"46",2009-03-10,0.497560975609756,0.769293924466338,"BBGI",0.688311688311688,0.987012987012987,0.630023954102409,0.993478723629264
"47",2009-03-11,0.492682926829268,0.801313628899836,"BBGI",0.411255411255411,0.887445887445887,0.432850726736356,0.913579440868909
"48",2009-03-12,0.6,0.842364532019704,"BBGI",0.965367965367965,0.922077922077922,0.956178857004135,0.870476178029547
"49",2009-03-13,0.648780487804878,0.879720853858785,"BBGI",0.883116883116883,0.904761904761905,0.870000967429779,0.900436092916411
"50",2009-03-16,0.731707317073171,0.873563218390805,"BBGI",0.917748917748918,0.484848484848485,0.942546621287565,0.503477016972911
"51",2009-03-17,1.11219512195122,0.898193760262726,NA,0.995670995670996,0.844155844155844,0.997329685072791,0.696602028182184
"52",2009-03-18,1.66829268292683,0.957717569786535,"ANF",0.987012987012987,0.948051948051948,0.978849466241733,0.861515588325247
"53",2009-03-19,1.3609756097561,0.944170771756979,"ANF",0.0432900432900433,0.38961038961039,0.0265379866357872,0.398784092102203
"54",2009-03-20,1.08292682926829,0.908456486042693,"ANF",0.0216450216450216,0.138528138528139,0.0188993576311329,0.219323428626945
"55",2009-03-23,1.2390243902439,0.956486042692939,"ANF",0.926406926406926,0.922077922077922,0.909325821393321,0.902207151358548
"56",2009-03-24,1.2390243902439,0.976190476190476,"ANF",0.54978354978355,0.787878787878788,0.56176897807777,0.818377189878855
"57",2009-03-25,1.15609756097561,0.956486042692939,"ANF",0.168831168831169,0.32034632034632,0.141959590529863,0.310309761581925
"58",2009-03-26,1.08292682926829,1.05788177339901,"ANF",0.173160173160173,0.991341991341991,0.327794382823744,0.993987720628552
"59",2009-03-27,0.926829268292683,1.02380952380952,NA,0.0692640692640693,0.173160173160173,0.0612858807987522,0.200434062819752
"60",2009-03-30,0.926829268292683,0.988095238095238,NA,0.54978354978355,0.155844155844156,0.536082047959864,0.126541201366801
"61",2009-03-31,0.949463414634146,0.977011494252874,NA,0.70995670995671,0.411255411255411,0.7313096504183,0.410799880951879
"62",2009-04-01,1.01468292682927,0.996305418719212,NA,0.865800865800866,0.787878787878788,0.881282921572716,0.78842211910801
"63",2009-04-02,1.2390243902439,1.08087027914614,"ANF",0.965367965367965,0.982683982683983,0.905758989180815,0.963322107679749
"64",2009-04-03,1.01463414634146,1.10591133004926,NA,0.0432900432900433,0.800865800865801,0.0365118329359783,0.72623754272401
"65",2009-04-06,1.09268292682927,1.06773399014778,NA,0.883116883116883,0.155844155844156,0.878497987146444,0.177330443529402
"66",2009-04-07,1.02434146341463,1.01108374384236,NA,0.173160173160173,0.0865800865800866,0.190928536189685,0.0782013405646272
"67",2009-04-08,1.1219512195122,1.05336617405583,NA,0.9004329004329,0.887445887445887,0.894553879271773,0.876297682184353
"68",2009-04-09,1.18048780487805,1.01642036124795,"ANF",0.831168831168831,0.151515151515152,0.8213672519238,0.155151375958321
"69",2009-04-13,1.15609756097561,0.986042692939245,"ANF",0.372294372294372,0.186147186147186,0.360062870765007,0.156623913393559
"70",2009-04-14,1.18536585365854,0.932266009852217,"ANF",0.718614718614719,0.0822510822510823,0.678051384357319,0.0660575864585134
"71",2009-04-15,1.09268292682927,0.941707717569787,"ANF",0.16017316017316,0.705627705627706,0.141832265788713,0.693086506071659
"72",2009-04-16,1.05853658536585,0.960591133004926,"ANF",0.316017316017316,0.787878787878788,0.318453889374589,0.806725910094022
"73",2009-04-17,1.00975609756098,0.979474548440066,"ANF",0.238095238095238,0.787878787878788,0.236399344290277,0.795891239142257
"74",2009-04-20,1.19024390243902,0.945812807881773,"ANF",0.952380952380952,0.155844155844156,0.953700992320141,0.224558370782587
"75",2009-04-21,1.11707317073171,0.961412151067324,"ANF",0.181818181818182,0.761904761904762,0.172256194641455,0.756856148472969
"76",2009-04-22,1.02926829268293,0.986863711001642,"ANF",0.16017316017316,0.831168831168831,0.164368257503528,0.823986972482338
"77",2009-04-23,1.19024390243902,0.979064039408867,"ANF",0.930735930735931,0.476190476190476,0.953427834280049,0.497562821653825
"78",2009-04-24,1.17078048780488,1.04105090311987,"ANF",0.385281385281385,0.943722943722944,0.426249745739274,0.962354077803116
"79",2009-04-27,1.02926829268293,1.02955665024631,NA,0.0822510822510823,0.41991341991342,0.0576264939317137,0.414923893430436
"80",2009-04-28,1.122,1.05870279146141,NA,0.9004329004329,0.844155844155844,0.905743549490826,0.832070028751032
"81",2009-04-29,1.1219512195122,1.09893267651888,NA,0.476190476190476,0.874458874458874,0.491839198467361,0.903334052620507
"82",2009-04-30,1.06829268292683,1.11083743842365,NA,0.238095238095238,0.70995670995671,0.223814296754803,0.713350464811933
"83",2009-05-01,1.05853658536585,1.064039408867,NA,0.415584415584416,0.125541125541126,0.406873357762189,0.0965932733755535
"84",2009-05-04,1.17560975609756,1.08825944170772,NA,0.904761904761905,0.796536796536797,0.917852151054957,0.783601265727187
"85",2009-05-05,1.31707317073171,1.07224958949097,"ANF",0.913419913419913,0.376623376623377,0.935923743704012,0.407685095497901
"86",2009-05-06,1.18136585365854,1.06732348111658,"ANF",0.103896103896104,0.497835497835498,0.0763682165979084,0.482753081636824
"87",2009-05-07,1.14146341463415,1.09113300492611,"ANF",0.303030303030303,0.796536796536797,0.306397558188573,0.814339036944809
"88",2009-05-08,1.2019512195122,1.08908045977011,"ANF",0.835497835497836,0.523809523809524,0.866373629800996,0.535896422867422
"89",2009-05-11,1.33658536585366,1.04392446633826,"ANF",0.909090909090909,0.12987012987013,0.899530562528114,0.161338287693402
"90",2009-05-12,1.11219512195122,1.05131362889984,"ANF",0.051948051948052,0.658008658008658,0.0354690660784259,0.607235023945586
"91",2009-05-13,1.30731707317073,1.04720853858785,"ANF",0.952380952380952,0.502164502164502,0.970818940672619,0.520362349060935
"92",2009-05-14,1.09756097560976,1.11863711001642,NA,0.0562770562770563,0.952380952380952,0.0996746155091774,0.920620991493142
"93",2009-05-15,1.26829268292683,1.07142857142857,"ANF",0.930735930735931,0.125541125541126,0.922920184406769,0.170504355583448
"94",2009-05-18,1.21463414634146,1.07019704433498,"ANF",0.268398268398268,0.536796536796537,0.242678225718244,0.531408129477101
"95",2009-05-19,1.26341463414634,1.08990147783251,"ANF",0.796536796536797,0.774891774891775,0.814526683075453,0.789770702701558
"96",2009-05-20,1.22926829268293,1.09605911330049,"ANF",0.337662337662338,0.640692640692641,0.324457024344772,0.650012803901523
"97",2009-05-21,1.08292682926829,1.06527093596059,"ANF",0.0865800865800866,0.225108225108225,0.0713814711045029,0.240678732812098
"98",2009-05-22,1.08785365853659,1.08702791461412,"ANF",0.584415584415584,0.787878787878788,0.597387897154103,0.818119254751447
"99",2009-05-26,1.10243902439024,1.14080459770115,NA,0.649350649350649,0.922077922077922,0.643649283231872,0.944423080905098
"100",2009-05-27,1.15609756097561,1.17487684729064,NA,0.826839826839827,0.848484848484849,0.831332521456169,0.8576148424743
"101",2009-05-28,1.08292682926829,1.15188834154351,NA,0.173160173160173,0.333333333333333,0.145468699207057,0.322573883035141
"102",2009-05-29,1.26829268292683,1.23604269293924,NA,0.952380952380952,0.965367965367965,0.911975302211117,0.942698471209221
"103",2009-06-01,1.31219512195122,1.32348111658457,NA,0.757575757575758,0.961038961038961,0.713503929380211,0.972493857599612
"104",2009-06-02,1.15609756097561,1.32430213464696,"BBGI",0.0865800865800866,0.567099567099567,0.0621416189784837,0.542316281140342
"105",2009-06-03,1.14146341463415,1.30131362889984,"BBGI",0.393939393939394,0.359307359307359,0.377551247824132,0.339478322981022
"106",2009-06-04,1.14146341463415,1.14737274220033,"BBGI",0.54978354978355,0.0173160173160173,0.508494060146891,0.00841023605121769
"107",2009-06-05,1.14146341463415,1.12110016420361,NA,0.54978354978355,0.29004329004329,0.546784480784965,0.266656769931606
