"","X1","INCY","DLLR","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.532467532467532,0.491428571428571,"DLLR",0.194805194805195,0.748917748917749,0.0673946345535895,0.895215520427198
"46",2009-03-10,0.584415584415584,0.614285714285714,NA,0.956709956709957,1,0.00120144299830001,0.9999999999
"47",2009-03-11,0.54025974025974,0.628571428571429,NA,0.0779220779220779,0.761904761904762,0.0129640524254744,0.952736717212032
"48",2009-03-12,0.618181818181818,0.691428571428571,NA,0.991341991341991,0.974025974025974,0.946757591332958,0.647045210467508
"49",2009-03-13,0.628571428571429,0.714285714285714,NA,0.692640692640693,0.826839826839827,0.52162315593762,0.802017556010114
"50",2009-03-16,0.568831168831169,0.72952380952381,"INCY",0.0606060606060606,0.744588744588745,0.00870923016605942,0.956959682340238
"51",2009-03-17,0.571428571428572,0.77047619047619,"INCY",0.593073593073593,0.904761904761905,0.320959121883327,0.924524887819452
"52",2009-03-18,0.61038961038961,0.794285714285714,"INCY",0.939393939393939,0.818181818181818,0.919958536559278,0.545440437726247
"53",2009-03-19,0.646753246753247,0.816190476190476,"INCY",0.913419913419913,0.800865800865801,0.884593915479239,0.57356399397624
"54",2009-03-20,0.597402597402597,0.805714285714286,"INCY",0.0779220779220779,0.424242424242424,0.0353462457742617,0.790833759732708
"55",2009-03-23,0.657142857142857,0.903809523809524,"INCY",0.956709956709957,0.991341991341991,0.550759850768098,0.970303656266781
"56",2009-03-24,0.607792207792208,0.862857142857143,"INCY",0.0822510822510823,0.151515151515152,0.142029468335439,0.431995433235066
"57",2009-03-25,0.636363636363636,0.883809523809524,"INCY",0.865800865800866,0.766233766233766,0.825838284508098,0.588208608681727
"58",2009-03-26,0.646753246753247,0.939047619047619,"INCY",0.683982683982684,0.913419913419913,0.411056415758982,0.918213669559349
"59",2009-03-27,0.594805194805195,0.933333333333333,"INCY",0.0779220779220779,0.476190476190476,0.0296683957705229,0.82650679608645
"60",2009-03-30,0.579220779220779,0.874285714285714,"INCY",0.268398268398268,0.0865800865800866,0.616322673086071,0.078109179921858
"61",2009-03-31,0.607792207792208,0.906666666666667,"INCY",0.874458874458874,0.831168831168831,0.80145053607301,0.683326484934617
"62",2009-04-01,0.579220779220779,0.944761904761905,"INCY",0.168831168831169,0.865800865800866,0.0375730719259977,0.961332698883021
"63",2009-04-02,0.620779220779221,0.988571428571429,"INCY",0.943722943722944,0.87012987012987,0.903788206536084,0.627397143795789
