"","X1","DW","REX","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.447154471544715,0.870277078085642,"DW",0.038961038961039,0.614718614718615,0.0100029971174529,0.920403657474085
"46",2009-03-10,0.473983739837398,0.988664987405541,"DW",0.9004329004329,0.974025974025974,0.43168566880429,0.947968639019399
"47",2009-03-11,0.455284552845528,1.02267002518892,"DW",0.19047619047619,0.831168831168831,0.0544596095133743,0.957199768997008
"48",2009-03-12,0.514634146341463,1.17002518891688,"DW",0.991341991341991,0.978354978354978,0.917349591587824,0.579233343331977
"49",2009-03-13,0.58130081300813,1.15491183879093,"DW",0.991341991341991,0.411255411255411,0.999514952628216,0.0209268901433892
"50",2009-03-16,0.603252032520325,1.16120906801008,"DW",0.83982683982684,0.597402597402597,0.878765092853923,0.351856097370297
"51",2009-03-17,0.709756097560976,1.26952141057935,"DW",1,0.956709956709957,0.9999999999,4.10023768604439e-07
"52",2009-03-18,0.695934959349593,1.37909319899244,"DW",0.324675324675325,0.948051948051948,0.0528818908124652,0.991592136121097
"53",2009-03-19,0.697560975609756,1.47607052896725,"DW",0.554112554112554,0.935064935064935,0.169801197984522,0.974436491025737
"54",2009-03-20,0.692682926829268,1.46221662468514,"DW",0.454545454545455,0.45021645021645,0.483017749556307,0.474730724372857
"55",2009-03-23,0.809756097560976,1.70025188916877,"DW",1,0.978354978354978,0.9999999999,7.37694374253195e-07
"56",2009-03-24,0.749593495934959,1.45843828715365,"DW",0.0606060606060606,0.012987012987013,0.558890580216464,0.0328617464673577
"57",2009-03-25,0.784552845528455,1.51133501259446,"DW",0.878787878787879,0.83982683982684,0.784608466314736,0.645387443592695
"58",2009-03-26,0.812195121951219,1.62594458438287,"DW",0.813852813852814,0.939393939393939,0.433097763023455,0.92355390235085
"59",2009-03-27,0.773170731707317,1.39168765743073,"DW",0.138528138528139,0.00865800865800866,0.769801771478,0.00613892708898311
"60",2009-03-30,0.720325203252032,1.31234256926952,"DW",0.0606060606060606,0.108225108225108,0.127367147735491,0.369118608618578
"61",2009-03-31,0.705691056910569,1.35012594458438,"DW",0.311688311688312,0.783549783549784,0.142381017676325,0.906762952547002
"62",2009-04-01,0.691056910569106,1.35642317380353,"DW",0.307359307359307,0.597402597402597,0.223247111673013,0.741016649456185
"63",2009-04-02,0.791056910569106,1.42947103274559,"DW",0.991341991341991,0.891774891774892,0.991171086770206,0.21238003611595
"64",2009-04-03,0.816260162601626,1.455919395466,"DW",0.805194805194805,0.74025974025974,0.754098565293409,0.586662347238063
"65",2009-04-06,0.839837398373984,1.39294710327456,"DW",0.792207792207792,0.155844155844156,0.94558359554085,0.0470890717910986
"66",2009-04-07,0.808130081300813,1.36901763224181,"DW",0.194805194805195,0.367965367965368,0.186931563857801,0.555695848119729
"67",2009-04-08,0.848780487804878,1.51259445843829,"DW",0.887445887445887,0.965367965367965,0.46141787135807,0.933936207860729
"68",2009-04-09,0.954471544715447,1.63098236775819,"DW",0.987012987012987,0.943722943722944,0.95786772467408,0.429348099028533
"69",2009-04-13,0.941463414634146,1.63098236775819,"DW",0.38961038961039,0.554112554112554,0.338993066373424,0.646061050476812
"70",2009-04-14,0.869918699186992,1.57430730478589,"DW",0.0606060606060606,0.207792207792208,0.0642330358818651,0.562241944566163
"71",2009-04-15,0.911382113821138,1.5352644836272,"DW",0.878787878787879,0.25974025974026,0.970038149544898,0.0689464773640375
"72",2009-04-16,0.953658536585366,1.58816120906801,"DW",0.878787878787879,0.831168831168831,0.794528643430997,0.62824058105152
"73",2009-04-17,0.990243902439024,1.59319899244332,"DW",0.83982683982684,0.571428571428571,0.887540360743744,0.323643691543467
"74",2009-04-20,0.915447154471545,1.54785894206549,"DW",0.0606060606060606,0.238095238095238,0.0557446468015578,0.604312480786722
"75",2009-04-21,0.97479674796748,1.58186397984887,"DW",0.913419913419913,0.757575757575758,0.908652040224812,0.422218931021347
"76",2009-04-22,0.975609756097561,1.57052896725441,"DW",0.536796536796537,0.484848484848485,0.567671998150231,0.468493258071228
"77",2009-04-23,0.990243902439024,1.5264483627204,"DW",0.670995670995671,0.238095238095238,0.842890064714941,0.129772314094408
"78",2009-04-24,1.1260162601626,1.55163727959698,"DW",0.991341991341991,0.722943722943723,0.998097881120444,0.0814890933480769
"79",2009-04-27,1.08455284552846,1.50503778337531,"DW",0.199134199134199,0.225108225108225,0.277976671760782,0.344116097179373
"80",2009-04-28,1.01463414634146,1.5088161209068,"DW",0.0692640692640693,0.567099567099567,0.0265026461808193,0.868046161815283
"81",2009-04-29,1.1260162601626,1.50503778337531,"DW",0.978354978354978,0.515151515151515,0.996528184876938,0.0661339191835846
"82",2009-04-30,1.1609756097561,1.49874055415617,"DW",0.805194805194805,0.510822510822511,0.871351558829891,0.298496418864567
"83",2009-05-01,1.15772357723577,1.49370277078086,"DW",0.493506493506494,0.510822510822511,0.495905834923099,0.528992590297155
"84",2009-05-04,1.18780487804878,1.54156171284635,"DW",0.783549783549784,0.813852813852814,0.644333434406307,0.728874335472936
"85",2009-05-05,1.11138211382114,1.52015113350126,"DW",0.0692640692640693,0.402597402597403,0.0394568452630869,0.754187747408645
"86",2009-05-06,1.15365853658537,1.58690176322418,"DW",0.83982683982684,0.861471861471861,0.676173189626071,0.750288408927765
"87",2009-05-07,1.07723577235772,1.4647355163728,"DW",0.0649350649350649,0.051948051948052,0.269864581731535,0.177785970572234
"88",2009-05-08,1.18943089430894,1.51637279596977,"DW",0.974025974025974,0.835497835497836,0.973795590283827,0.29780637233965
"89",2009-05-11,1.13170731707317,1.44080604534005,"DW",0.138528138528139,0.125541125541126,0.282687875780046,0.236864519711788
