,CUNB,CMS
2008-07-16,0.8156028368794327,0.8568761667703796
2008-07-17,0.8156028368794327,0.8462974486621032
2008-07-18,0.851063829787234,0.8481642812694462
2008-07-21,0.851063829787234,0.85065339141257
2008-07-22,0.851063829787234,0.8550093341630367
2008-07-23,0.851063829787234,0.8425637834474174
2008-07-24,0.851063829787234,0.835096453018046
2008-07-25,0.7836879432624114,0.8413192283758556
2008-07-28,0.851063829787234,0.8344741754822651
2008-07-29,0.851063829787234,0.8400746733042938
2008-07-30,0.851063829787234,0.8481642812694462
2008-07-31,0.8687943262411347,0.8400746733042938
2008-08-01,0.8865248226950355,0.8226509023024269
2008-08-04,0.8723404255319149,0.8151835718730553
2008-08-05,0.8333333333333334,0.8394523957685127
2008-08-06,0.8156028368794327,0.8288736776602365
