"","X1","BWS","HOG","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.243458475540387,0.457608695652174,"BWS",0.138528138528139,0.675324675324675,0.0235144921811826,0.950330568959172
"46",2009-03-10,0.251422070534699,0.544021739130435,"BWS",0.774891774891775,0.995670995670996,0.0693305379515878,0.999262215808371
"47",2009-03-11,0.242320819112628,0.548913043478261,"BWS",0.229437229437229,0.645021645021645,0.0651046706679468,0.908568082594804
"48",2009-03-12,0.263936291240046,0.58804347826087,"BWS",0.943722943722944,0.965367965367965,0.58712109492811,0.843121231832624
"49",2009-03-13,0.287827076222981,0.583695652173913,"BWS",0.943722943722944,0.428571428571429,0.992121437758129,0.0502367053547119
"50",2009-03-16,0.285551763367463,0.606521739130435,"BWS",0.45021645021645,0.887445887445887,0.0827446789720632,0.97366671647772
"51",2009-03-17,0.307167235494881,0.620652173913044,"BWS",0.930735930735931,0.796536796536797,0.927280062066916,0.311610434095734
"52",2009-03-18,0.323094425483504,0.747826086956522,"BWS",0.848484848484849,1,0.0241040849011253,0.9999999999
"53",2009-03-19,0.341296928327645,0.723913043478261,"BWS",0.878787878787879,0.181818181818182,0.988008796304676,0.0178388186036248
"54",2009-03-20,0.337883959044369,0.690217391304348,"BWS",0.424242424242424,0.112554112554113,0.849809489042169,0.0450573742399744
"55",2009-03-23,0.362912400455063,0.769565217391304,"BWS",0.926406926406926,0.991341991341991,0.229428598348031,0.987038040508952
"56",2009-03-24,0.367463026166098,0.731521739130435,"BWS",0.640692640692641,0.103896103896104,0.95012996835985,0.0165013860973819
"57",2009-03-25,0.374288964732651,0.766847826086957,"BWS",0.705627705627706,0.913419913419913,0.228159019623509,0.943414589113694
"58",2009-03-26,0.46188850967008,0.835326086956522,"BWS",0.995670995670996,0.982683982683983,0.958679508449881,0.420862858296121
"59",2009-03-27,0.434584755403868,0.785869565217391,"BWS",0.134199134199134,0.0606060606060606,0.568717592693361,0.110941096984802
"60",2009-03-30,0.415244596131968,0.729347826086957,"BWS",0.203463203463203,0.0476190476190476,0.757610068171961,0.0390924591000117
"61",2009-03-31,0.426621160409556,0.727717391304348,"BWS",0.748917748917749,0.493506493506494,0.863611100458854,0.212106713753287
"62",2009-04-01,0.440273037542662,0.74945652173913,"BWS",0.770562770562771,0.844155844155844,0.4821262788605,0.779608513790029
"63",2009-04-02,0.50967007963595,0.854347826086957,"BWS",0.978354978354978,0.995670995670996,0.36815294146437,0.970334739512601
"64",2009-04-03,0.577929465301479,0.9,"BWS",0.974025974025974,0.917748917748918,0.937851151160265,0.390259187788205
"65",2009-04-06,0.524459613196815,0.929347826086957,"BWS",0.0476190476190476,0.852813852813853,0.00326130153639124,0.989165385696325
"66",2009-04-07,0.453924914675768,0.875,"BWS",0.025974025974026,0.0649350649350649,0.0873810593478001,0.536061333247804
"67",2009-04-08,0.515358361774744,0.883695652173913,"BWS",0.974025974025974,0.658008658008658,0.994153103270027,0.0884138490581257
"68",2009-04-09,0.59613196814562,0.979347826086957,"BWS",0.978354978354978,0.987012987012987,0.623353745070362,0.860324743003808
"69",2009-04-13,0.580204778156997,0.981521739130435,"BWS",0.294372294372294,0.562770562770563,0.14798859300282,0.807872215166016
"70",2009-04-14,0.580204778156997,0.965760869565217,"BWS",0.510822510822511,0.329004329004329,0.715865468278342,0.225122986615996
