"","X1","ESS","EQR","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.840224059749266,0.709528869996458,"EQR",0.987012987012987,0.96969696969697,0.957630548562897,0.183676055469787
"47",2009-03-11,0.842357962123233,0.697130712008502,"EQR",0.545454545454545,0.329004329004329,0.896624316875253,0.0842808889179335
"48",2009-03-12,0.889170445452121,0.747786043216436,"EQR",0.909090909090909,0.935064935064935,0.375214953569088,0.827386142298896
"49",2009-03-13,0.877033875700187,0.720155862557563,"EQR",0.311688311688312,0.186147186147186,0.808811844153894,0.0986822641775729
"50",2009-03-16,0.814083755668178,0.656393907190932,"EQR",0.0606060606060606,0.038961038961039,0.672174212255222,0.129383188464301
"51",2009-03-17,0.882368631635103,0.721927027984414,"EQR",0.961038961038961,0.956709956709957,0.699600993464109,0.551172483116004
"52",2009-03-18,0.887436649773273,0.757704569606801,"EQR",0.588744588744589,0.874458874458874,0.0541186454251768,0.984700459029376
"53",2009-03-19,0.820218724993331,0.680127523910733,"EQR",0.051948051948052,0.0303030303030303,0.7162042394539,0.0989859508961647
"54",2009-03-20,0.754067751400373,0.601842012043925,"EQR",0.051948051948052,0.025974025974026,0.776966047043901,0.0644524958089243
"55",2009-03-23,0.86569751933849,0.728303223521077,"EQR",0.995670995670996,0.991341991341991,0.935006701150634,0.237616029181351
"56",2009-03-24,0.803547612696719,0.658873538788523,"EQR",0.0606060606060606,0.0346320346320346,0.728621345945484,0.0933775541797539
"57",2009-03-25,0.813283542277941,0.679064824654623,"EQR",0.696969696969697,0.80952380952381,0.215512725300323,0.884195862838826
"58",2009-03-26,0.816751133635636,0.695359546581651,"EQR",0.562770562770563,0.757575757575758,0.121134779556897,0.927661306761203
"59",2009-03-27,0.770072019205121,0.655331207934821,"EQR",0.0865800865800866,0.0779220779220779,0.463470890329494,0.307462413129327
"60",2009-03-30,0.731528407575353,0.603258944385406,"EQR",0.0995670995670996,0.051948051948052,0.778568706055482,0.0718052981803218
"61",2009-03-31,0.764737263270205,0.650017711654269,"EQR",0.883116883116883,0.939393939393939,0.213231912916023,0.92975613406105
