"","X1","ISCA","TMK","long_distance","Fx","Fy","MI_X","MI_Y"
"33",2009-02-19,0.7027665317139,0.555357540654934,"TMK",0.0952380952380952,0.0346320346320346,0.674566870514571,0.0601457806439797
"34",2009-02-20,0.691970310391363,0.49164624638004,"TMK",0.186147186147186,0.012987012987013,0.940218190124099,0.00235717388999224
"35",2009-02-23,0.665654520917679,0.453553129873023,"TMK",0.0649350649350649,0.0346320346320346,0.542495144442318,0.118314283736132
"36",2009-02-24,0.67476383265857,0.511918021831143,"TMK",0.779220779220779,0.995670995670996,0.0798981977365163,0.998842859128606
"37",2009-02-25,0.66059379217274,0.486745377589664,"TMK",0.155844155844156,0.0692640692640693,0.619050234528907,0.0891923917293486
"38",2009-02-26,0.647435897435897,0.523501893517487,"TMK",0.155844155844156,0.965367965367965,0.00637661800910017,0.998263928618006
"39",2009-02-27,0.652159244264507,0.458899532189797,"TMK",0.683982683982684,0.00865800865800866,0.996191463987004,9.41267769603016e-05
"40",2009-03-02,0.619095816464238,0.43328135442192,"TMK",0.025974025974026,0.0562770562770563,0.0918750808847897,0.59400106071712
"41",2009-03-03,0.590418353576248,0.402762307863667,"TMK",0.038961038961039,0.0432900432900433,0.261184947751834,0.337961599679038
"42",2009-03-04,0.60391363022942,0.433949654711517,"TMK",0.887445887445887,0.965367965367965,0.480206899288546,0.929832922452588
"43",2009-03-05,0.559716599190283,0.38115393183337,"TMK",0.00865800865800866,0.00865800865800866,0.297297428743232,0.297297428743232
"44",2009-03-06,0.55634278002699,0.380040098017376,"TMK",0.372294372294372,0.445887445887446,0.338460552023879,0.513097938999821
"45",2009-03-09,0.559716599190283,0.386054800623747,"TMK",0.653679653679654,0.792207792207792,0.445829644699628,0.779094834569017
"46",2009-03-10,0.605263157894737,0.452439296057028,"TMK",0.995670995670996,1,1.39308166107188e-05,0.9999999999
"47",2009-03-11,0.619433198380567,0.451102695477835,"TMK",0.887445887445887,0.445887445887446,0.953957701506036,0.133325870153661
"48",2009-03-12,0.657557354925776,0.509690354199153,"TMK",0.991341991341991,0.995670995670996,0.678118982406754,0.899960940893
"49",2009-03-13,0.680836707152497,0.517041657384718,"TMK",0.952380952380952,0.774891774891775,0.953234152908271,0.328247064427311
"50",2009-03-16,0.678812415654521,0.524170193807084,"TMK",0.458874458874459,0.766233766233766,0.231201452930503,0.84678334336623
"51",2009-03-17,0.697031039136302,0.559590109155714,"TMK",0.917748917748918,0.965367965367965,0.570819073095313,0.901029993612372
"52",2009-03-18,0.706477732793522,0.626420138115393,"TMK",0.774891774891775,0.991341991341991,0.121455654031063,0.996564677878413
"53",2009-03-19,0.713562753036437,0.582757852528403,"TMK",0.727272727272727,0.0432900432900433,0.984543354239127,0.00216500527173502
"54",2009-03-20,0.707152496626181,0.552238805970149,"TMK",0.29004329004329,0.0649350649350649,0.819563060824086,0.0262952671002135
"55",2009-03-23,0.750674763832659,0.631098240142571,"TMK",0.991341991341991,0.995670995670996,0.678118982406754,0.899960940893
"56",2009-03-24,0.732793522267206,0.614390732902651,"TMK",0.142857142857143,0.134199134199134,0.336714527806691,0.289554664237481
"57",2009-03-25,0.711201079622132,0.601024727110715,"TMK",0.0952380952380952,0.168831168831169,0.136268802212463,0.537593383150271
"58",2009-03-26,0.743589743589744,0.625751837825796,"TMK",0.978354978354978,0.922077922077922,0.941362993644366,0.486805097154095
"59",2009-03-27,0.734143049932524,0.642459345065716,"TMK",0.216450216450216,0.865800865800866,0.0327113445848617,0.975289162613714
"60",2009-03-30,0.714912280701754,0.561817776787703,"TMK",0.121212121212121,0.00865800865800866,0.93671425828471,0.00240297346379514
"61",2009-03-31,0.744264507422402,0.584317219870795,"TMK",0.965367965367965,0.922077922077922,0.895306355853279,0.585919857800896
"62",2009-04-01,0.749325236167341,0.588772555134774,"TMK",0.675324675324675,0.658008658008658,0.604133552251603,0.564081835644676
"63",2009-04-02,0.809379217273954,0.606148362664291,"TMK",0.995670995670996,0.878787878787879,0.996970952241932,0.148659506862692
"64",2009-04-03,0.83468286099865,0.642236578302517,"TMK",0.939393939393939,0.965367965367965,0.653284794654682,0.86563572361973
"65",2009-04-06,0.824224021592443,0.647137447092894,"TMK",0.220779220779221,0.658008658008658,0.0732494470986096,0.873154540073516
"66",2009-04-07,0.628205128205128,0.62909333927378,NA,0,0.12987012987013,1e-10,0.999999999649543
"67",2009-04-08,0.642375168690958,0.652929382936066,NA,0.887445887445887,0.922077922077922,0.652416227526843,0.814422013979661
"68",2009-04-09,0.675101214574899,0.69993316997104,NA,0.987012987012987,0.965367965367965,0.921569060822508,0.588958736606835
"69",2009-04-13,0.67442645074224,0.703274671419024,NA,0.489177489177489,0.593073593073593,0.390067689174688,0.617078451269613
"70",2009-04-14,0.667004048582996,0.648919581198485,NA,0.255411255411255,0.0346320346320346,0.887655863988723,0.00942119637679129
"71",2009-04-15,0.667678812415655,0.72711071508131,NA,0.545454545454545,0.991341991341991,0.0400521451810399,0.998984069318227
"72",2009-04-16,0.678137651821862,0.707061706393406,NA,0.818181818181818,0.134199134199134,0.975298454354002,0.0154321365753822
