,BANC,CFFI
2008-07-15,0.632183908045977,0.6720430107526881
2008-07-16,0.6448275862068966,0.6404569892473118
2008-07-17,0.6701149425287357,0.6216397849462365
2008-07-18,0.6666666666666667,0.6381048387096774
2008-07-21,0.6896551724137931,0.6552419354838709
2008-07-22,0.6752873563218391,0.6696908602150538
2008-07-23,0.6879310344827587,0.6686827956989246
2008-07-24,0.6879310344827587,0.6891801075268817
2008-07-25,0.689080459770115,0.6891801075268817
2008-07-28,0.7183908045977012,0.6891801075268817
2008-07-29,0.7385057471264368,0.6891801075268817
2008-07-30,0.7413793103448276,0.6972446236559139
2008-07-31,0.7367816091954024,0.7331989247311828
2008-08-01,0.7471264367816093,0.733195564516129
2008-08-04,0.7471264367816093,0.7331989247311828
2008-08-05,0.7454022988505749,0.7560483870967741
