,INCY,DLLR
2008-05-09,0.872168284789644,0.802540415704388
2008-05-12,0.8697411003236246,0.8010007698229407
2008-05-13,0.8681229773462784,0.775211701308699
2008-05-14,0.8276699029126214,0.7659738260200153
2008-05-15,0.8414239482200648,0.7802155504234026
2008-05-16,0.8276699029126214,0.7390300230946882
2008-05-19,0.830906148867314,0.7136258660508082
2008-05-20,0.7944983818770227,0.6974595842956121
2008-05-21,0.7928802588996765,0.7090069284064666
2008-05-22,0.8025889967637541,0.7382602001539645
2008-05-23,0.7912621359223301,0.7340261739799846
2008-05-27,0.8082524271844661,0.7509622786759046
2008-05-28,0.7928802588996765,0.7567359507313318
2008-05-29,0.8050161812297735,0.7451886066204773
2008-05-30,0.7855987055016183,0.7671285604311008
2008-06-02,0.7305825242718447,0.7551963048498845
2008-06-03,0.6699029126213591,0.7486528098537336
2008-06-04,0.6860841423948221,0.73094688221709
2008-06-05,0.720873786407767,0.7159353348729792
2008-06-06,0.6877022653721683,0.7040030792917629
2008-06-09,0.6666666666666667,0.6936104695919938
2008-06-10,0.6545307443365695,0.7105465742879138
2008-06-11,0.6423948220064726,0.7170900692840646
2008-06-12,0.6860841423948221,0.7182448036951501
2008-06-13,0.6844660194174759,0.7236335642802155
2008-06-16,0.7079288025889968,0.7317167051578137
2008-06-17,0.7087378640776699,0.707852193995381
2008-06-18,0.7030744336569579,0.6901462663587374
2008-06-19,0.709546925566343,0.6793687451886066
2008-06-20,0.6868932038834952,0.6782140107775212
2008-06-23,0.6593851132686085,0.6589684372594303
2008-06-24,0.6432038834951457,0.6616628175519631
2008-06-25,0.6399676375404532,0.6755196304849884
2008-06-26,0.6067961165048544,0.6404926866820632
2008-06-27,0.6148867313915858,0.6150885296381833
2008-06-30,0.615695792880259,0.5816012317167051
2008-07-01,0.6124595469255664,0.6035411855273287
2008-07-02,0.6043689320388349,0.6062355658198614
2008-07-03,0.5914239482200647,0.6062355658198614
2008-07-07,0.5817152103559872,0.6316397228637414
2008-07-08,0.615695792880259,0.6735950731331793
2008-07-09,0.6553398058252428,0.6466512702078522
2008-07-10,0.6682847896440129,0.6389530408006159
2008-07-11,0.6577669902912622,0.6354888375673595
2008-07-14,0.6707119741100324,0.6189376443418013
2008-07-15,0.6868932038834952,0.6023864511162432
2008-07-16,0.732200647249191,0.6520400307929176
2008-07-17,0.726537216828479,0.6666666666666666
2008-07-18,0.7038834951456311,0.6901462663587374
2008-07-21,0.7233009708737864,0.6862971516551193
2008-07-22,0.7305825242718447,0.7143956889915319
2008-07-23,0.732200647249191,0.7105465742879138
2008-07-24,0.6957928802588996,0.6551193225558122
2008-07-25,0.7346278317152104,0.6855273287143956
2008-07-28,0.725728155339806,0.6547344110854504
2008-07-29,0.7427184466019418,0.701693610469592
2008-07-30,0.7071197411003237,0.6924557351809083
2008-07-31,0.7491909385113269,0.7444187836797537
2008-08-01,0.7791262135922331,0.7347959969207082
2008-08-04,0.807443365695793,0.716320246343341
2008-08-05,0.8058252427184467,0.7244033872209392
2008-08-06,0.8333333333333335,0.7397998460354118
2008-08-07,0.7758899676375405,0.7117013086989992
2008-08-08,0.8050161812297735,0.7321016166281755
2008-08-11,0.8252427184466019,0.7328714395688991
2008-08-12,0.8317152103559871,0.7051578137028484
2008-08-13,0.8236245954692557,0.6936104695919938
2008-08-14,0.8284789644012945,0.7032332563510393
2008-08-15,0.8131067961165049,0.7032332563510393
2008-08-18,0.790453074433657,0.6547344110854504
2008-08-19,0.7855987055016183,0.6270207852193995
2008-08-20,0.7920711974110032,0.6220169361046959
2008-08-21,0.7718446601941747,0.6062355658198614
2008-08-22,0.790453074433657,0.6189376443418013
2008-08-25,0.7775080906148867,0.5946882217090069
2008-08-26,0.7783171521035599,0.6039260969976905
2008-08-27,0.807443365695793,0.6077752117013087
2008-08-28,0.830906148867314,0.6412625096227867
2008-08-29,0.8276699029126214,0.7036181678214011
2008-09-02,0.801779935275081,0.7259430331023864
2008-09-03,0.8155339805825244,0.7494226327944572
2008-09-04,0.7791262135922331,0.7324865280985373
2008-09-05,0.8025889967637541,0.7448036951501155
2008-09-08,0.8033980582524272,0.7532717474980755
2008-09-09,0.7386731391585761,0.7367205542725174
2008-09-10,0.755663430420712,0.7324865280985373
2008-09-11,0.7645631067961165,0.7247882986913009
2008-09-12,0.7419093851132686,0.7255581216320247
2008-09-15,0.714401294498382,0.6793687451886066
