"","X1","ARUN","MCRS","long_distance","Fx","Fy","MI_X","MI_Y"
"44",2009-03-06,1.05343511450382,0.903788334335538,"MCRS",0.917748917748918,0.588744588744589,0.942107312005456,0.303744818482011
"45",2009-03-09,1.01145038167939,0.868911605532171,"MCRS",0.203463203463203,0.121212121212121,0.386362758003477,0.159606539999764
"46",2009-03-10,1.12213740458015,0.972339146121467,"MCRS",0.978354978354978,1,0.000156138760310065,0.9999999999
"47",2009-03-11,1.1030534351145,1.00841852074564,"MCRS",0.372294372294372,0.896103896103896,0.155912702822031,0.951869358779538
"48",2009-03-12,1.14503816793893,1.07155742633794,"MCRS",0.792207792207792,0.956709956709957,0.446935957045567,0.948969946928003
"49",2009-03-13,1.12595419847328,1.05411906193626,"MCRS",0.376623376623377,0.303030303030303,0.45247996625271,0.316670044394449
"50",2009-03-16,1.00763358778626,1.03367408298256,NA,0.038961038961039,0.25974025974026,0.0280016557443959,0.661492936444514
"51",2009-03-17,1.11068702290076,1.06915213469633,NA,0.974025974025974,0.887445887445887,0.949493191367967,0.536734354074173
"52",2009-03-18,1.16793893129771,1.13890559230307,NA,0.857142857142857,0.961038961038961,0.538589967054252,0.93551700907099
"53",2009-03-19,1.19465648854962,1.14311485267589,NA,0.718614718614719,0.58008658008658,0.724136276740297,0.477911605483816
"54",2009-03-20,1.14885496183206,1.07997594708358,NA,0.216450216450216,0.0606060606060606,0.538709074983448,0.061723458152828
"55",2009-03-23,1.22519083969466,1.14912808177992,NA,0.926406926406926,0.956709956709957,0.71783045510813,0.873434468522583
"56",2009-03-24,1.16412213740458,1.11184606133494,NA,0.147186147186147,0.168831168831169,0.230411101438185,0.291588792944949
"57",2009-03-25,1.18320610687023,1.11906193625977,NA,0.675324675324675,0.619047619047619,0.652810404884305,0.551981918504417
"58",2009-03-26,1.14885496183206,1.21286831028262,NA,0.272727272727273,0.987012987012987,0.0345702928175029,0.998232800967966
"59",2009-03-27,1.17557251908397,1.17859290438966,NA,0.727272727272727,0.181818181818182,0.873961407342256,0.0874799523513657
"60",2009-03-30,1.17175572519084,1.15033072760072,NA,0.541125541125541,0.220779220779221,0.695911706062882,0.161180007150806
"61",2009-03-31,1.19847328244275,1.12748045700541,NA,0.718614718614719,0.255411255411255,0.842200688108237,0.145564174489567
"62",2009-04-01,1.25572519083969,1.14251352976548,NA,0.848484848484849,0.714285714285714,0.826539943361495,0.538517543804299
"63",2009-04-02,1.29770992366412,1.21647624774504,NA,0.761904761904762,0.961038961038961,0.390160603034842,0.961104856908549
