,WSM,CBS
2008-07-15,0.6526162790697675,0.6699333594668757
2008-07-16,0.7227470930232558,0.6628773030184241
2008-07-17,0.7245639534883721,0.6785574284594276
2008-07-18,0.6962209302325582,0.6648373186985496
2008-07-21,0.6853197674418604,0.6573892591140729
2008-07-22,0.6958575581395349,0.6781654253234026
2008-07-23,0.7005813953488372,0.7079576636613092
2008-07-24,0.6609738372093024,0.6809094472755782
2008-07-25,0.6584302325581396,0.6675813406507252
2008-07-28,0.6417151162790697,0.6495491963935711
2008-07-29,0.6497093023255813,0.6722853782830261
2008-07-30,0.6355377906976744,0.6617012936103488
2008-07-31,0.6337209302325582,0.6413171305370442
2008-08-01,0.6348110465116279,0.6264210113680909
2008-08-04,0.6242732558139535,0.6275970207761662
2008-08-05,0.651889534883721,0.6464131713053703
