,WTFC,ZION
2008-07-14,0.5133676092544988,0.35645889792231256
2008-07-15,0.487146529562982,0.34814814814814815
2008-07-16,0.5683804627249357,0.425293586269196
2008-07-17,0.615681233933162,0.4970189701897019
2008-07-18,0.6074550128534705,0.4574525745257452
2008-07-21,0.589974293059126,0.4724480578139114
2008-07-22,0.6205655526992289,0.5111111111111111
2008-07-23,0.5958868894601542,0.5374887082204155
2008-07-24,0.5583547557840617,0.4914182475158085
2008-07-25,0.5442159383033419,0.4888888888888889
2008-07-28,0.5043701799485861,0.46648599819331527
2008-07-29,0.5413881748071979,0.5040650406504065
2008-07-30,0.5323907455012854,0.5257452574525745
2008-07-31,0.5308483290488432,0.5288166214995483
2008-08-01,0.5498714652956298,0.5526648599819332
2008-08-04,0.5447300771208227,0.5472448057813911
2008-08-05,0.5760925449871466,0.6065040650406504
