,NTRS,VNO
2008-07-15,0.9104336043360434,0.9104255319148936
2008-07-16,1.029810298102981,0.9577659574468085
2008-07-17,1.0634146341463415,0.9580851063829787
2008-07-18,1.0586720867208672,0.970531914893617
2008-07-21,1.0444444444444445,0.9679787234042553
2008-07-22,1.0920054200542006,0.9992553191489363
2008-07-23,1.0661246612466126,1.0209574468085105
2008-07-24,1.0226287262872629,0.9530851063829787
2008-07-25,1.0443089430894308,0.9787234042553191
2008-07-28,1.0073170731707317,0.9467021276595744
2008-07-29,1.0604336043360434,1.0127659574468086
2008-07-30,1.0654471544715447,1.007127659574468
2008-07-31,1.0592140921409214,1.011382978723404
2008-08-01,1.0634146341463415,1.0043617021276596
2008-08-04,1.0586720867208672,0.9829787234042554
2008-08-05,1.0949864498644988,1.0437234042553192
