,HIFS,PCG
2008-10-27,0.875,0.8283653846153846
2008-10-28,0.890625,0.9093749999999999
2008-10-29,0.875,0.8557692307692307
2008-10-30,0.90625,0.9262019230769231
2008-10-31,0.903125,0.8814903846153846
2008-11-03,0.9,0.8826923076923077
2008-11-04,0.9,0.8894230769230769
2008-11-05,0.90625,0.8725961538461537
2008-11-06,0.9059375,0.8259615384615384
2008-11-07,0.875,0.8680288461538461
2008-11-10,0.875,0.8622596153846153
2008-11-11,0.875,0.8764423076923077
2008-11-12,0.905309375,0.8485576923076922
2008-11-13,0.904375,0.9149038461538461
2008-11-14,0.904375,0.8944711538461538
2008-11-17,0.9059375,0.8865384615384616
2008-11-18,0.9059375,0.8903846153846153
2008-11-19,0.9059375,0.8795673076923077
2008-11-20,0.8453125,0.8235576923076923
2008-11-21,0.903125,0.9064903846153846
2008-11-24,0.903125,0.8927884615384615
2008-11-25,0.8828125,0.8783653846153846
2008-11-26,0.8828125,0.9134615384615384
2008-11-28,0.8828125,0.9144230769230769
2008-12-01,0.90625,0.8838942307692308
2008-12-02,0.90625,0.8850961538461538
2008-12-03,0.85734375,0.8747596153846153
2008-12-04,0.8575,0.8302884615384615
2008-12-05,0.8575,0.8665865384615383
2008-12-08,0.8428125,0.8790865384615384
2008-12-09,0.84375,0.8608173076923077
2008-12-10,0.84375,0.8838942307692308
2008-12-11,0.8046875,0.8752403846153844
2008-12-12,0.8046875,0.8879807692307692
2008-12-15,0.7890625,0.8814903846153846
2008-12-16,0.858125,0.9257211538461537
2008-12-17,0.859371875,0.9134615384615384
2008-12-18,0.937184375,0.9201923076923076
2008-12-19,0.788125,0.928125
2008-12-22,0.8746875,0.9377403846153846
2008-12-23,0.8746875,0.9146634615384615
2008-12-24,0.8746875,0.926923076923077
2008-12-26,0.8746875,0.928125
2008-12-29,0.8746875,0.9129807692307691
2008-12-30,0.8575,0.9149038461538461
2008-12-31,0.78390625,0.9305288461538461
