,NFG,OXY
2008-09-12,1.0679834634818557,1.0471098265895953
2008-09-15,1.033991731740928,0.9777456647398843
2008-09-16,1.049379880569591,1.0088150289017341
2008-09-17,1.0392742305925586,0.9978323699421965
2008-09-18,1.0774000918695452,1.0252890173410405
2008-09-19,1.108176389526872,1.1632947976878611
2008-09-22,1.0691318327974275,1.1739884393063582
2008-09-23,1.0477721635277906,1.115028901734104
2008-09-24,1.0323840146991272,1.1076589595375723
2008-09-25,1.0312356453835554,1.1254335260115607
2008-09-26,1.0236564079007808,1.1174855491329478
2008-09-29,0.9129536058796509,0.9393063583815029
2008-09-30,0.9687643546164446,1.018063583815029
2008-10-01,0.956821313734497,0.9742774566473988
2008-10-02,0.9081304547542489,0.8945086705202312
2008-10-03,0.9193844740468535,0.8891618497109827
2008-10-06,0.8693155718879192,0.8498554913294798
2008-10-07,0.8286632981166743,0.7786127167630058
2008-10-08,0.8178686265502986,0.7882947976878611
2008-10-09,0.7269177767570051,0.6936416184971098
2008-10-10,0.6729444189251264,0.634393063583815
2008-10-13,0.7914561322921452,0.7408959537572255
2008-10-14,0.781580156178227,0.7595375722543353
2008-10-15,0.7188791915480018,0.6190751445086705
2008-10-16,0.7636655948553055,0.6696531791907515
2008-10-17,0.7818098300413413,0.6719653179190751
2008-10-20,0.8569131832797429,0.7735549132947976
2008-10-21,0.8383096003674781,0.7157514450867052
2008-10-22,0.7829581993569132,0.6488439306358381
2008-10-23,0.7887000459347727,0.7021676300578035
2008-10-24,0.7675700505282499,0.6602601156069363
2008-10-27,0.7225539733578319,0.6080924855491329
2008-10-28,0.7737712448323381,0.7182080924855492
2008-10-29,0.7909967845659164,0.7342485549132948
2008-10-30,0.8369315571887919,0.7908959537572253
2008-10-31,0.8311897106109324,0.8026011560693641
2008-11-03,0.8148828663298117,0.7683526011560694
2008-11-04,0.840606338998622,0.8393063583815028
2008-11-05,0.820624712907671,0.7794797687861271
2008-11-06,0.7641249425815343,0.7443641618497109
2008-11-07,0.7508038585209003,0.7580924855491329
2008-11-10,0.7602204869085899,0.7657514450867052
2008-11-11,0.7333486449242076,0.7284682080924855
2008-11-12,0.6791456132292145,0.6513005780346821
2008-11-13,0.7524115755627009,0.7244219653179191
2008-11-14,0.7340376665135508,0.6963872832369942
2008-11-17,0.7324299494717501,0.6793352601156069
2008-11-18,0.7402388608176389,0.7027456647398844
2008-11-19,0.6917776757005053,0.6664739884393063
2008-11-20,0.6249425815342214,0.5884393063583815
2008-11-21,0.697060174552136,0.6793352601156069
2008-11-24,0.733578318787322,0.7304913294797687
2008-11-25,0.7400091869545246,0.7374277456647399
2008-11-26,0.7416169039963252,0.7988439306358381
2008-11-28,0.7471290767110703,0.7823699421965318
2008-12-01,0.6770785484611851,0.6631502890173411
2008-12-02,0.6995865870463942,0.6839595375722543
2008-12-03,0.7023426734037667,0.6930635838150289
2008-12-04,0.6469912723932018,0.6349710982658959
2008-12-05,0.6683509416628388,0.6674855491329479
2008-12-08,0.6887919154800184,0.7395953757225433
2008-12-09,0.6851171336701883,0.7452312138728323
2008-12-10,0.7152044097381718,0.8277456647398844
2008-12-11,0.6929260450160772,0.835693641618497
2008-12-12,0.6979788700045935,0.7965317919075143
2008-12-15,0.6899402847955902,0.7914739884393064
2008-12-16,0.7188791915480018,0.830057803468208
2008-12-17,0.7140560404226,0.8303468208092485
2008-12-18,0.7009646302250804,0.7936416184971098
2008-12-19,0.6920073495636196,0.8171965317919074
2008-12-22,0.6809830041341295,0.7858381502890174
2008-12-23,0.6715663757464401,0.776878612716763
2008-12-24,0.6773082223242994,0.765028901734104
2008-12-26,0.6855764813964171,0.7823699421965318
2008-12-29,0.6821313734497014,0.8144508670520231
2008-12-30,0.7002756086357372,0.8445086705202312
2008-12-31,0.719568213137345,0.866907514450867
