,LAMR,LBTYA
2008-07-23,0.8678434034849514,0.72705078125
2008-07-24,0.8187372708757638,0.7080078125
2008-07-25,0.8391038696537678,0.704833984375
2008-07-28,0.8117221090744512,0.67431640625
2008-07-29,0.8524553066304594,0.699951171875
2008-07-30,0.854265670966282,0.696533203125
2008-07-31,0.8594704684317719,0.7038574218749999
2008-08-01,0.8492871690427699,0.7038574218749999
2008-08-04,0.8506449422946369,0.707275390625
2008-08-05,0.8929622086444897,0.7412109375
2008-08-06,0.8248472505091651,0.754150390625
2008-08-07,0.7818510975333786,0.74951171875
2008-08-08,0.8243946594252094,0.775146484375
2008-08-11,0.8526816021724373,0.80322265625
2008-08-12,0.8406879384476126,0.8137207031249999
2008-08-13,0.8259787282190542,0.808837890625
2008-08-14,0.8891151844308668,0.828125
