"","X1","CMS","GXP","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,1.02105263157895,0.561588738059326,"GXP",0.181818181818182,0.038961038961039,0.766161658603788,0.0210213327641566
"46",2009-03-10,1.02296650717703,0.572146807440925,"GXP",0.584415584415584,0.891774891774892,0.173775870261001,0.965128109785343
"47",2009-03-11,1.03253588516746,0.570135746606335,"GXP",0.744588744588745,0.428571428571429,0.897983862648494,0.163658512774084
"48",2009-03-12,1.06028708133971,0.580191050779286,"GXP",0.9004329004329,0.883116883116883,0.752466952136784,0.627280283991411
"49",2009-03-13,1.07942583732057,0.590749120160885,"GXP",0.844155844155844,0.887445887445887,0.543865843765465,0.801358635692047
"50",2009-03-16,1.09569377990431,0.59175465057818,"GXP",0.813852813852814,0.58008658008658,0.904282155830104,0.243870800866723
"51",2009-03-17,1.13205741626794,0.61437908496732,"GXP",0.943722943722944,0.978354978354978,0.393268683904429,0.941213141464069
"52",2009-03-18,1.1377990430622,0.643539467068879,"GXP",0.649350649350649,0.982683982683983,0.116392606968575,0.998087579840701
"53",2009-03-19,1.14258373205742,0.660130718954248,"GXP",0.636363636363636,0.939393939393939,0.156964843569914,0.984916094401794
"54",2009-03-20,1.1311004784689,0.657114127702363,"GXP",0.294372294372294,0.402597402597403,0.254112153523809,0.5993201972048
"55",2009-03-23,1.16746411483254,0.67420814479638,"GXP",0.935064935064935,0.939393939393939,0.685404603968022,0.735862711025491
"56",2009-03-24,1.1511961722488,0.675213675213675,"GXP",0.238095238095238,0.571428571428571,0.0892021207060596,0.845368844367949
"57",2009-03-25,1.14066985645933,0.675213675213675,"GXP",0.316017316017316,0.545454545454545,0.17024861021912,0.772092111669044
"58",2009-03-26,1.15311004784689,0.697838109602816,"GXP",0.753246753246753,0.96969696969697,0.166699652342765,0.992018503008535
"59",2009-03-27,1.13875598086124,0.691302161890397,"GXP",0.255411255411255,0.281385281385281,0.33310456047042,0.431633903842361
"60",2009-03-30,1.12631578947368,0.671694318753142,"GXP",0.29004329004329,0.0779220779220779,0.775462806223313,0.0343389573831811
"61",2009-03-31,1.13301435406699,0.677224736048265,"GXP",0.670995670995671,0.731601731601732,0.493717080670992,0.707757466792772
"62",2009-04-01,1.14354066985646,0.675716440422323,"GXP",0.744588744588745,0.476190476190476,0.880292526751823,0.203964217955509
"63",2009-04-02,1.15789473684211,0.687782805429864,"GXP",0.774891774891775,0.887445887445887,0.380516781500338,0.891632774736667
"64",2009-04-03,1.16746411483254,0.681246857717446,"GXP",0.722943722943723,0.277056277056277,0.921675137752224,0.0783248622477759
"65",2009-04-06,1.14832535885167,0.684766214177979,"GXP",0.212121212121212,0.688311688311688,0.054081561191978,0.917526091220084
