"","X1","CTWS","JNJ","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.788379983036472,0.787798845836768,NA,0.96969696969697,0.948051948051948,0.89261713857913,0.676722992137495
"47",2009-03-11,0.75275657336726,0.789777411376752,NA,0.0432900432900433,0.627705627705628,0.0104903737755818,0.810324278760506
"48",2009-03-12,0.803223070398643,0.807914262159934,NA,0.961038961038961,0.943722943722944,0.864536999273136,0.712332680319677
"49",2009-03-13,0.843087362171332,0.834954657873042,NA,0.939393939393939,0.965367965367965,0.667660592894235,0.893987659964153
"50",2009-03-16,0.837150127226463,0.83643858202803,NA,0.372294372294372,0.601731601731602,0.270758091715238,0.710652810105626
"51",2009-03-17,0.859626802374894,0.836273701566364,NA,0.874458874458874,0.502164502164502,0.942426217314874,0.276580383397748
"52",2009-03-18,0.923664122137405,0.835284418796373,NA,0.96969696969697,0.467532467532468,0.99374605389282,0.220513248619679
"53",2009-03-19,0.89821882951654,0.825391591096455,NA,0.142857142857143,0.164502164502165,0.223140482633622,0.296906608120043
"54",2009-03-20,0.853689567430025,0.851937345424567,NA,0.0346320346320346,0.965367965367965,0.0385080663972686,0.961491933602731
"55",2009-03-23,0.907972858354538,0.877658697444353,NA,0.961038961038961,0.961038961038961,0.798568664391724,0.798568664391724
"56",2009-03-24,0.90373197625106,0.86479802143446,NA,0.432900432900433,0.121212121212121,0.676384490486448,0.0619326501281626
"57",2009-03-25,0.914334181509754,0.871558120362737,NA,0.770562770562771,0.783549783549784,0.682125462701093,0.71732294171668
"58",2009-03-26,0.948261238337574,0.872217642209398,NA,0.909090909090909,0.562770562770563,0.961197988392607,0.29787372813128
"59",2009-03-27,0.88676844783715,0.871063478977741,NA,0.0173160173160173,0.458874458874459,0.00285296216450016,0.764694681861252
"60",2009-03-30,0.86980491942324,0.874031327287716,NA,0.177489177489178,0.662337662337662,0.0808654996641951,0.822253299237432
"61",2009-03-31,0.860050890585242,0.867271228359439,NA,0.294372294372294,0.225108225108225,0.412139892132774,0.240754067381952
"62",2009-04-01,0.88125530110263,0.874525968672712,NA,0.87012987012987,0.787878787878788,0.848369211687408,0.594061245558099
"63",2009-04-02,0.90754877014419,0.873371805441055,NA,0.896103896103896,0.458874458874459,0.959705514809554,0.239003159459823
"64",2009-04-03,0.9245122985581,0.859851607584501,NA,0.848484848484849,0.116883116883117,0.923557353698139,0.052853251816663
"65",2009-04-06,0.881679389312977,0.860676009892828,NA,0.0432900432900433,0.575757575757576,0.0104809902324446,0.791839891687006
"66",2009-04-07,0.871925360474979,0.846826051112943,NA,0.298701298701299,0.108225108225108,0.561894839065892,0.0775451253628915
"67",2009-04-08,0.888464800678541,0.848309975267931,NA,0.848484848484849,0.597402597402597,0.904670434133858,0.375737403045885
"68",2009-04-09,0.921543681085666,0.84765045342127,NA,0.909090909090909,0.480519480519481,0.966300761738341,0.246846677503986
"69",2009-04-13,0.919847328244275,0.843363561417972,NA,0.484848484848485,0.32034632034632,0.596589882457737,0.260872385766028
"70",2009-04-14,0.861747243426633,0.846990931574608,NA,0.0173160173160173,0.692640692640693,0.0029873231802653,0.819985564432018
"71",2009-04-15,0.868956743002545,0.85358615004122,NA,0.688311688311688,0.783549783549784,0.55293605718577,0.784206025685162
"72",2009-04-16,0.904156064461408,0.860676009892828,NA,0.909090909090909,0.787878787878788,0.911055576733453,0.520628443740515
"73",2009-04-17,0.902883799830365,0.874690849134378,NA,0.493506493506494,0.887445887445887,0.264273423314561,0.952161952693102
"74",2009-04-20,0.855385920271417,0.865127782357791,NA,0.0303030303030303,0.164502164502165,0.0218553930057592,0.5860533719692
"75",2009-04-21,0.900339270568278,0.864962901896125,NA,0.952380952380952,0.502164502164502,0.987197946021196,0.239230269149003
"76",2009-04-22,0.881679389312977,0.843858202802968,NA,0.173160173160173,0.0692640692640693,0.469473710272735,0.0754799154660274
"77",2009-04-23,0.859626802374894,0.847485572959604,NA,0.151515151515152,0.692640692640693,0.0636091501122521,0.84332932788061
"78",2009-04-24,0.865564037319763,0.83957131079967,NA,0.645021645021645,0.199134199134199,0.806869979003145,0.0971338841039178
"79",2009-04-27,0.863019508057676,0.838582028029679,NA,0.463203463203463,0.467532467532468,0.468661292128803,0.477747643188687
"80",2009-04-28,0.866836301950806,0.835119538334707,NA,0.606060606060606,0.350649350649351,0.725085997443952,0.244442272385792
"81",2009-04-29,0.884223918575064,0.841384995877989,NA,0.861471861471861,0.770562770562771,0.846987334958574,0.5796376346748
"82",2009-04-30,0.879558948261238,0.863314097279472,NA,0.406926406926407,0.948051948051948,0.202361532467358,0.986316901352425
"83",2009-05-01,0.86980491942324,0.867106347897774,NA,0.298701298701299,0.696969696969697,0.168251367942576,0.82895851267952
"84",2009-05-04,0.883375742154368,0.886397361912613,NA,0.826839826839827,0.943722943722944,0.49297993754433,0.945321854798788
"85",2009-05-05,0.878286683630195,0.896290189612531,NA,0.398268398268398,0.835497835497836,0.216760224386301,0.923968007138372
"86",2009-05-06,0.871501272264631,0.893816982687552,NA,0.346320346320346,0.406926406926407,0.340960528771841,0.472074854871566
"87",2009-05-07,0.847328244274809,0.905028854080791,NA,0.142857142857143,0.857142857142857,0.0674487043152609,0.932551295684739
"88",2009-05-08,0.870229007633588,0.906512778235779,NA,0.874458874458874,0.588744588744589,0.931009418304721,0.345405585206351
"89",2009-05-11,0.846055979643766,0.892168178070899,NA,0.142857142857143,0.108225108225108,0.315085185870241,0.179433732346403
