,SJW,ACE
2008-07-14,0.7801986542774751,0.8297370195549562
2008-07-15,0.7577699455302787,0.7636547538772758
2008-07-16,0.7641781480294778,0.7928186109238031
2008-07-17,0.7725088112784364,0.8260283209710048
2008-07-18,0.7737904517782761,0.826534052596089
2008-07-21,0.7773149631528357,0.804956169925826
2008-07-22,0.8224927907721884,0.8106877950101147
2008-07-23,0.8231336110221084,0.8369858395144976
2008-07-24,0.8224927907721884,0.8165879973027647
2008-07-25,0.8478051906440244,0.8074848280512474
2008-07-28,0.8532521627683434,0.8032703978422117
2008-07-29,0.8356296058955462,0.8154079568442346
2008-07-30,0.8423582185197052,0.8479433580579905
2008-07-31,0.8301826337712271,0.8546864463924477
2008-08-01,0.8324255046459468,0.866149696561025
2008-08-04,0.830823454021147,0.8808159136884693
2008-08-05,0.8519705222685037,0.9040795684423466
