"","X1","MLM","STNR","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.739786856127886,0.682199128394234,NA,0.956709956709957,0.974025974025974,0.802296690978588,0.894536985344058
"47",2009-03-11,0.74955595026643,0.672812604760308,NA,0.670995670995671,0.363636363636364,0.790477053375516,0.18225229394697
"48",2009-03-12,0.758831655812118,0.727120348642306,NA,0.666666666666667,0.96969696969697,0.256291632103,0.972595988638987
"49",2009-03-13,0.75646339056641,0.721421387864566,NA,0.454545454545455,0.415584415584416,0.483797176188222,0.39225680504102
"50",2009-03-16,0.743141898559305,0.689239021119678,NA,0.281385281385281,0.112554112554113,0.667331232632874,0.0911930119135844
"51",2009-03-17,0.780343398460628,0.720750921890714,NA,0.926406926406926,0.9004329004329,0.813841391861948,0.722748087234081
"52",2009-03-18,0.784586540359187,0.735501173315454,NA,0.571428571428571,0.722943722943723,0.384755273071654,0.712329132119832
"53",2009-03-19,0.77284389184922,0.724773717733825,NA,0.307359307359307,0.354978354978355,0.328362160395165,0.455310732966956
"54",2009-03-20,0.7349516479179,0.703989272544418,NA,0.0952380952380952,0.216450216450216,0.102874435817661,0.612207781207586
"55",2009-03-23,0.767515295046378,0.786791820315119,NA,0.896103896103896,0.987012987012987,0.567812768179594,0.96749949813653
"56",2009-03-24,0.753108348134991,0.766342608112638,NA,0.277056277056277,0.246753246753247,0.408863199025113,0.315514684432466
"57",2009-03-25,0.79435563449773,0.822996982903118,NA,0.935064935064935,0.961038961038961,0.758907493095107,0.87343523944241
"58",2009-03-26,0.828695480560489,0.872946697955079,NA,0.887445887445887,0.943722943722944,0.665439543471658,0.865079304152665
"59",2009-03-27,0.80550621669627,0.834059671471673,NA,0.207792207792208,0.112554112554113,0.545565695476535,0.142689785902737
"60",2009-03-30,0.781231497927768,0.779081461615823,NA,0.186147186147186,0.051948051948052,0.714798735751999,0.0469891673217662
"61",2009-03-31,0.782514308269193,0.818303721086155,NA,0.523809523809524,0.913419913419913,0.189206419382077,0.941880365467892
"62",2009-04-01,0.837872508387606,0.856185048608783,NA,0.961038961038961,0.904761904761905,0.896407368086274,0.674425027669016
"63",2009-04-02,0.897375172686007,0.905129064699967,NA,0.965367965367965,0.930735930735931,0.890135041541411,0.736924397050776
"64",2009-04-03,0.890566410104598,0.886356017432115,NA,0.38961038961039,0.29004329004329,0.528334507445963,0.270456209826407
"65",2009-04-06,0.867179790803237,0.861548776399598,NA,0.212121212121212,0.220779220779221,0.327744599556581,0.358218336879344
"66",2009-04-07,0.825735149003355,0.841099564197117,NA,0.0995670995670996,0.268398268398268,0.0796923222954944,0.680939242435275
"67",2009-04-08,0.819617130451944,0.873952396915857,NA,0.393939393939394,0.857142857142857,0.124733743810294,0.928433667934247
"68",2009-04-09,0.868659956581804,0.941669460274891,NA,0.948051948051948,0.965367965367965,0.791084073629073,0.874004182118205
