"","X1","MRO","OKE","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.781573498964803,0.613398692810457,"OKE",0.939393939393939,0.930735930735931,0.760185191757715,0.676759656075065
"47",2009-03-11,0.779503105590062,0.617320261437909,"OKE",0.510822510822511,0.653679653679654,0.357757797145295,0.701839073702231
"48",2009-03-12,0.813319530710835,0.638235294117647,"OKE",0.887445887445887,0.935064935064935,0.526014194175594,0.85923748133169
"49",2009-03-13,0.815389924085576,0.656209150326797,"OKE",0.536796536796537,0.922077922077922,0.114087889591601,0.976620412957631
"50",2009-03-16,0.843340234644583,0.668300653594771,"OKE",0.848484848484849,0.835497835497836,0.713434451912097,0.657377285432324
"51",2009-03-17,0.860938578329883,0.698039215686274,"OKE",0.753246753246753,0.956709956709957,0.18833946567286,0.978505042014922
"52",2009-03-18,0.859903381642512,0.715032679738562,"OKE",0.519480519480519,0.887445887445887,0.142932327842928,0.95713492121915
"53",2009-03-19,0.87991718426501,0.740522875816993,"OKE",0.783549783549784,0.939393939393939,0.28512094749465,0.952156142720821
"54",2009-03-20,0.837819185645273,0.723202614379085,"OKE",0.112554112554113,0.16017316017316,0.202989809406147,0.472507903326667
"55",2009-03-23,0.921325051759834,0.765359477124183,"OKE",0.96969696969697,0.96969696969697,0.726353220173035,0.726353220173035
"56",2009-03-24,0.92512077294686,0.747385620915033,"OKE",0.571428571428571,0.16017316017316,0.893034532373276,0.0398049353537223
"57",2009-03-25,0.927881297446515,0.763725490196078,"OKE",0.54978354978355,0.852813852813853,0.206073157392129,0.9227976723863
"58",2009-03-26,0.952726017943409,0.772222222222222,"OKE",0.796536796536797,0.744588744588745,0.729686975277699,0.560961417166156
"59",2009-03-27,0.942374051069703,0.748692810457516,"OKE",0.376623376623377,0.125541125541126,0.796820881547825,0.0569294262354193
"60",2009-03-30,0.878536922015183,0.728104575163399,"OKE",0.0649350649350649,0.125541125541126,0.12000964966921,0.583161051814836
"61",2009-03-31,0.907177363699103,0.739542483660131,"OKE",0.835497835497836,0.80952380952381,0.726006311341146,0.623971785699127
"62",2009-04-01,0.934437543133195,0.753921568627451,"OKE",0.822510822510823,0.835497835497836,0.652946975708627,0.705571642173022
"63",2009-04-02,0.992408557625949,0.782679738562091,"OKE",0.930735930735931,0.943722943722944,0.652618902350477,0.781624655054475
"64",2009-04-03,1.00310559006211,0.787908496732026,"OKE",0.640692640692641,0.662337662337662,0.547289633008137,0.603940673510463
"65",2009-04-06,0.982056590752243,0.77875816993464,"OKE",0.285714285714286,0.277056277056277,0.389220045171631,0.361459008895614
"66",2009-04-07,0.957211870255348,0.766339869281046,"OKE",0.233766233766234,0.225108225108225,0.371963313485778,0.339799888712424
"67",2009-04-08,0.979296066252588,0.772549019607843,"OKE",0.783549783549784,0.696969696969697,0.753156320351328,0.495727403324048
"68",2009-04-09,1.01000690131125,0.791503267973856,"OKE",0.831168831168831,0.891774891774892,0.538242095204901,0.824586173081403
"69",2009-04-13,0.995514147688061,0.798366013071895,"OKE",0.346320346320346,0.705627705627706,0.132723547678369,0.866197555072461
"70",2009-04-14,0.979986197377502,0.790849673202614,"OKE",0.346320346320346,0.333333333333333,0.418745377201395,0.381704717303462
"71",2009-04-15,0.981711525189786,0.794444444444444,"OKE",0.528138528138528,0.61038961038961,0.422870894010997,0.624475807220624
"72",2009-04-16,1.01794340924776,0.81437908496732,"OKE",0.865800865800866,0.896103896103896,0.615174335472858,0.780686536783701
"73",2009-04-17,1.03588681849551,0.826143790849673,"OKE",0.718614718614719,0.792207792207792,0.520409757472576,0.748323103538239
"74",2009-04-20,0.985162180814355,0.801960784313725,"OKE",0.112554112554113,0.125541125541126,0.281885705833751,0.366169405726374
"75",2009-04-21,1.01104209799862,0.821241830065359,"OKE",0.792207792207792,0.883116883116883,0.477681435583867,0.848746972478913
"76",2009-04-22,0.996549344375431,0.816993464052288,"OKE",0.346320346320346,0.437229437229437,0.308768344789884,0.54672227983903
"77",2009-04-23,1.01966873706004,0.816339869281046,"OKE",0.783549783549784,0.519480519480519,0.862302073239635,0.247940530617586
