,BDC,ARCC
2008-07-15,0.7157417893544734,0.6545454545454544
2008-07-16,0.7315968289920725,0.7265734265734266
2008-07-17,0.7691959229898075,0.7692307692307692
2008-07-18,0.7687429218573046,0.7454545454545455
2008-07-21,0.7567383918459796,0.7447552447552448
2008-07-22,0.8095130237825595,0.7762237762237761
2008-07-23,0.8416761041902604,0.7692307692307692
2008-07-24,0.7832389580973952,0.7419580419580419
2008-07-25,0.8323895809739524,0.7517482517482517
2008-07-28,0.8117780294450737,0.7174825174825175
2008-07-29,0.8434881087202719,0.7650349650349649
2008-07-30,0.8380520951302378,0.7902097902097902
2008-07-31,0.8362400906002265,0.7993006993006992
2008-08-01,0.8373725934314836,0.7895104895104894
2008-08-04,0.8167610419026048,0.7636363636363636
2008-08-05,0.861608154020385,0.7538461538461537
