,BBGI,ANF
2008-07-14,0.7398230088495574,0.6639044601511089
2008-07-15,0.7486725663716814,0.6630514257860102
2008-07-16,0.8141592920353982,0.7067999025103583
2008-07-17,0.7415929203539823,0.7364123811844991
2008-07-18,0.7415929203539823,0.7226419692907629
2008-07-21,0.736283185840708,0.719107969778211
2008-07-22,0.736283185840708,0.7364123811844991
2008-07-23,0.7522123893805309,0.7688276870582501
2008-07-24,0.7522123893805309,0.7358030709237143
2008-07-25,0.7256637168141592,0.6807214233487692
2008-07-28,0.7415929203539823,0.6639044601511089
2008-07-29,0.7079646017699115,0.6793809407750426
2008-07-30,0.8212389380530972,0.6803558371922983
2008-07-31,0.7557522123893804,0.6729222520107239
2008-08-01,0.7504424778761062,0.6731659761150378
2008-08-04,0.7522123893805309,0.6611016329514989
2008-08-05,0.7309734513274335,0.6892517669997563
