"","X1","XEL","DTE","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.859341825902336,0.652029826014913,"DTE",0.0995670995670996,0.164502164502165,0.141454234763274,0.594538864864705
"46",2009-03-10,0.882165605095541,0.675504004418669,"DTE",0.939393939393939,0.952380952380952,0.570332576096179,0.783132169065494
"47",2009-03-11,0.883227176220807,0.700635183650925,"DTE",0.54978354978355,0.956709956709957,0.0742404141574703,0.995589338406933
"48",2009-03-12,0.90552016985138,0.697597348798674,"DTE",0.930735930735931,0.380952380952381,0.993111369777494,0.0531483785945534
"49",2009-03-13,0.912951167728238,0.705330019331676,"DTE",0.766233766233766,0.80952380952381,0.504114390857724,0.731875208964796
"50",2009-03-16,0.908174097664543,0.717757525545429,"DTE",0.346320346320346,0.887445887445887,0.0516333142143375,0.985969738799421
"51",2009-03-17,0.921974522292994,0.71858602595968,"DTE",0.848484848484849,0.519480519480519,0.962022860334466,0.117100778779286
"52",2009-03-18,0.940021231422505,0.743441038387186,"DTE",0.896103896103896,0.952380952380952,0.337395995288438,0.922963353622398
"53",2009-03-19,0.964968152866242,0.753935376967689,"DTE",0.939393939393939,0.848484848484849,0.941296106443908,0.278918514643408
"54",2009-03-20,0.969745222929936,0.751173708920188,"DTE",0.675324675324675,0.385281385281385,0.890330565385777,0.126284501745225
"55",2009-03-23,0.996284501061571,0.790113228389947,"DTE",0.939393939393939,0.96969696969697,0.385488161143123,0.909393301856427
"56",2009-03-24,0.961783439490446,0.772438552885943,"DTE",0.038961038961039,0.12987012987013,0.0317675204611118,0.773840388627835
"57",2009-03-25,0.961783439490446,0.781828224247445,"DTE",0.523809523809524,0.826839826839827,0.1328210705152,0.949351318454849
"58",2009-03-26,0.975583864118896,0.790665561999448,"DTE",0.844155844155844,0.80952380952381,0.739081838617757,0.527975689939148
"59",2009-03-27,0.968683651804671,0.780723557028445,"DTE",0.303030303030303,0.238095238095238,0.551452109968366,0.262263970731838
"60",2009-03-30,0.966029723991507,0.763048881524441,"DTE",0.424242424242424,0.12987012987013,0.867798087194891,0.0355074067044347
"61",2009-03-31,0.988853503184713,0.764982049157691,"DTE",0.930735930735931,0.58008658008658,0.989038150021132,0.0938506464479802
"62",2009-04-01,0.975583864118896,0.767467550400442,"DTE",0.199134199134199,0.58008658008658,0.0451191473553951,0.907853627720247
"63",2009-04-02,0.954883227176221,0.782656724661696,"DTE",0.108225108225108,0.913419913419913,0.0152967272646313,0.988769532656434
"64",2009-04-03,0.963906581740977,0.788180060756697,"DTE",0.779220779220779,0.70995670995671,0.75630097464371,0.439625527576036
"65",2009-04-06,0.955944798301486,0.792046396023198,"DTE",0.277056277056277,0.619047619047619,0.0763587279065136,0.898462432578128
"66",2009-04-07,0.955944798301486,0.778238055785694,"DTE",0.523809523809524,0.168831168831169,0.894739090724478,0.0398298525495919
"67",2009-04-08,0.976645435244161,0.789560894780447,"DTE",0.913419913419913,0.852813852813853,0.867821513167932,0.403070126798593
"68",2009-04-09,0.979299363057325,0.797293565313449,"DTE",0.606060606060606,0.783549783549784,0.249723154472533,0.876152908828271
"69",2009-04-13,0.964437367303609,0.790665561999448,"DTE",0.177489177489178,0.311688311688312,0.131897868439628,0.694794337894425
"70",2009-04-14,0.951167728237792,0.781828224247445,"DTE",0.19047619047619,0.272727272727273,0.201734990666209,0.591763999880545
"71",2009-04-15,0.965498938428875,0.795360397680199,"DTE",0.848484848484849,0.883116883116883,0.518657673374931,0.773483570130897
"72",2009-04-16,0.973460721868365,0.8003314001657,"DTE",0.766233766233766,0.67965367965368,0.772980638749856,0.401931058407064
"73",2009-04-17,0.975053078556263,0.8019884009942,"DTE",0.571428571428571,0.554112554112554,0.559883053718397,0.494426564954164
"74",2009-04-20,0.969214437367304,0.796188898094449,"DTE",0.316017316017316,0.329004329004329,0.396506966815032,0.451122665640067
"75",2009-04-21,0.987261146496815,0.784866059099696,"DTE",0.887445887445887,0.225108225108225,0.987183212951841,0.0307791861103558
"76",2009-04-22,0.978768577494692,0.774924054128694,"DTE",0.268398268398268,0.238095238095238,0.468242337797388,0.324039572363593
"77",2009-04-23,0.980891719745223,0.771333885666943,"DTE",0.593073593073593,0.367965367965368,0.826153018324969,0.161449673037789
"78",2009-04-24,0.976114649681529,0.771886219276443,"DTE",0.359307359307359,0.493506493506494,0.240573484836548,0.703489866418159
"79",2009-04-27,0.984076433121019,0.781828224247445,"DTE",0.766233766233766,0.831168831168831,0.444984008970199,0.78871295929681
