,MBRG,DX
2008-07-16,0.8095285714285714,0.8668941979522186
2008-07-17,0.901904761904762,0.8589306029579068
2008-07-18,0.9047619047619048,0.8600682593856656
2008-07-21,0.8661904761904763,0.8703071672354951
2008-07-22,0.87,0.8839590443686007
2008-07-23,0.9258571428571427,0.9112627986348123
2008-07-24,0.8809523809523809,0.906712172923777
2008-07-25,0.8828571428571428,0.9192263936291241
2008-07-28,0.840952380952381,0.9146757679180887
2008-07-29,0.8476190476190476,0.9237770193401593
2008-07-30,0.8804761904761904,0.9442548350398181
2008-07-31,0.8804761904761904,0.9510807736063709
2008-08-01,0.8804761904761904,0.9465301478953357
2008-08-04,0.8809523809523809,0.9351535836177476
2008-08-05,0.9047619047619048,0.9328782707622298
2008-08-06,0.8928571428571429,0.9271899886234358
