"","X1","MDCA","HOG","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.952830188679245,0.457608695652174,"HOG",0.891774891774892,0.675324675324675,0.87126899042277,0.589826847333565
"46",2009-03-10,0.946540880503145,0.544021739130435,"HOG",0.476190476190476,0.995670995670996,0.35595963475182,0.995493841081113
"47",2009-03-11,0.883647798742138,0.548913043478261,"HOG",0.051948051948052,0.645021645021645,0.0199769708852467,0.831044299366623
"48",2009-03-12,0.877358490566038,0.58804347826087,"HOG",0.467532467532468,0.965367965367965,0.349775299647501,0.964143807184035
"49",2009-03-13,0.833333333333333,0.583695652173913,"HOG",0.0909090909090909,0.428571428571429,0.05607203600282,0.631718587586114
"50",2009-03-16,0.817610062893082,0.606521739130435,"HOG",0.255411255411255,0.887445887445887,0.155618243716128,0.906816134051483
"51",2009-03-17,0.839622641509434,0.620652173913044,"HOG",0.87012987012987,0.796536796536797,0.836604235211331,0.739190326363696
"52",2009-03-18,0.849056603773585,0.747826086956522,"HOG",0.731601731601732,1,0.646903287183157,0.999999999876765
"53",2009-03-19,0.858490566037736,0.723913043478261,"HOG",0.731601731601732,0.181818181818182,0.798731284619988,0.10551980765772
"54",2009-03-20,0.952830188679245,0.690217391304348,"HOG",0.987012987012987,0.112554112554113,0.992322654346278,0.0478654028140485
"55",2009-03-23,1.0062893081761,0.769565217391304,"HOG",0.965367965367965,0.991341991341991,0.952220669427328,0.988117977835863
"56",2009-03-24,1.01572327044025,0.731521739130435,"HOG",0.718614718614719,0.103896103896104,0.828844616039793,0.0492356475354754
"57",2009-03-25,0.981132075471698,0.766847826086957,"HOG",0.147186147186147,0.913419913419913,0.0716575598770199,0.942360525760915
"58",2009-03-26,1.05660377358491,0.835326086956522,"HOG",0.974025974025974,0.982683982683983,0.964224075849411,0.976191259120053
"59",2009-03-27,1.0062893081761,0.785869565217391,"HOG",0.0952380952380952,0.0606060606060606,0.283446954946714,0.128197586429178
"60",2009-03-30,1.02044025157233,0.729347826086957,"HOG",0.770562770562771,0.0476190476190476,0.898388653829098,0.0161065872706108
"61",2009-03-31,1.0377358490566,0.727717391304348,"HOG",0.796536796536797,0.493506493506494,0.783119041398239,0.396386245321052
"62",2009-04-01,1.0251572327044,0.74945652173913,"HOG",0.329004329004329,0.844155844155844,0.224531557584449,0.857109136769437
"63",2009-04-02,1.08490566037736,0.854347826086957,"HOG",0.96969696969697,0.995670995670996,0.958088731816533,0.994043966663132
"64",2009-04-03,1.09748427672956,0.9,"HOG",0.731601731601732,0.917748917748918,0.654695808323376,0.899156493708966
"65",2009-04-06,1.05974842767296,0.929347826086957,"HOG",0.147186147186147,0.852813852813853,0.0736962990435296,0.900831058156118
"66",2009-04-07,1.07547169811321,0.875,"HOG",0.783549783549784,0.0649350649350649,0.892162372507555,0.0245891494795173
"67",2009-04-08,1.09433962264151,0.883695652173913,"HOG",0.800865800865801,0.658008658008658,0.766136242974363,0.580469279168342
"68",2009-04-09,1.06918238993711,0.979347826086957,"HOG",0.212121212121212,0.987012987012987,0.115730309943378,0.99015048698094
"69",2009-04-13,1.10691823899371,0.981521739130435,"HOG",0.896103896103896,0.562770562770563,0.884313207056821,0.459807095808727
"70",2009-04-14,1.11006289308176,0.965760869565217,"HOG",0.653679653679654,0.329004329004329,0.673756619403183,0.246865593668707
"71",2009-04-15,1.14779874213836,0.930978260869565,"HOG",0.891774891774892,0.16017316017316,0.925231889749632,0.0813629308081288
"72",2009-04-16,1.16666666666667,0.984239130434783,"HOG",0.787878787878788,0.926406926406926,0.723416733734371,0.907239425601265
"73",2009-04-17,1.20125786163522,1.02826086956522,"HOG",0.87012987012987,0.904761904761905,0.829450050031028,0.875932720567782
"74",2009-04-20,1.25786163522013,0.956521739130435,"HOG",0.943722943722944,0.0476190476190476,0.976077775694665,0.014698103719506
"75",2009-04-21,1.28930817610063,0.989130434782609,"HOG",0.848484848484849,0.87012987012987,0.804223381982956,0.833071577382222
"76",2009-04-22,1.30503144654088,1.03967391304348,"HOG",0.74025974025974,0.917748917748918,0.665272984446529,0.898724228308278
"77",2009-04-23,1.24842767295597,1.04347826086957,"HOG",0.103896103896104,0.575757575757576,0.0555432085129272,0.730187039411514
"78",2009-04-24,1.28301886792453,1.11086956521739,"HOG",0.87012987012987,0.943722943722944,0.827057820829513,0.926292902757704
"79",2009-04-27,1.30817610062893,1.0570652173913,"HOG",0.813852813852814,0.108225108225108,0.887708970070376,0.0491027456537791
"80",2009-04-28,1.32389937106918,1.06467391304348,"HOG",0.735930735930736,0.632034632034632,0.694618346215768,0.5595313459761
"81",2009-04-29,1.32075471698113,1.14619565217391,"HOG",0.562770562770563,0.974025974025974,0.451365819353505,0.971117417655973
"82",2009-04-30,1.28930817610063,1.20434782608696,"HOG",0.203463203463203,0.917748917748918,0.112148731990434,0.937935773152475
"83",2009-05-01,1.34591194968553,1.1695652173913,"HOG",0.926406926406926,0.216450216450216,0.943200153330753,0.121780409850007
"84",2009-05-04,1.58176100628931,1.19402173913043,"HOG",0.995670995670996,0.757575757575758,0.994593019862664,0.679506890778561
"85",2009-05-05,1.56603773584906,1.17173913043478,"HOG",0.376623376623377,0.307359307359307,0.394639300565957,0.288433866212687
"86",2009-05-06,1.69496855345912,1.14945652173913,"HOG",0.974025974025974,0.307359307359307,0.977176932805304,0.194803601547728
"87",2009-05-07,1.67295597484277,1.0679347826087,"HOG",0.32034632034632,0.0476190476190476,0.630188922803326,0.0293708867499486
"88",2009-05-08,1.69496855345912,1.09782608695652,"HOG",0.761904761904762,0.831168831168831,0.700472674340687,0.791539616083083
"89",2009-05-11,1.72327044025157,1.03423913043478,"HOG",0.796536796536797,0.0649350649350649,0.898970857800065,0.0243967658048669
"90",2009-05-12,1.76509433962264,1.01086956521739,"HOG",0.848484848484849,0.25974025974026,0.872970434941492,0.161949751773612
"91",2009-05-13,1.72955974842767,0.932065217391304,"HOG",0.238095238095238,0.0432900432900433,0.567597022921863,0.033900523124854
"92",2009-05-14,1.80440251572327,0.935326086956522,"HOG",0.926406926406926,0.575757575757576,0.917392624297312,0.470924726861638
"93",2009-05-15,1.75471698113208,0.95,"HOG",0.173160173160173,0.731601731601732,0.0986866054138174,0.8023831599229
"94",2009-05-18,1.75,0.999456521739131,"HOG",0.536796536796537,0.917748917748918,0.428637359617749,0.910046299174575
"95",2009-05-19,1.57232704402516,0.983152173913044,"HOG",0.00432900432900433,0.329004329004329,0.00103917691781874,0.856912212708435
"96",2009-05-20,1.56918238993711,0.953260869565217,"HOG",0.567099567099567,0.19047619047619,0.655551710805262,0.12741383254533
"97",2009-05-21,1.63836477987421,0.910326086956522,"HOG",0.930735930735931,0.116883116883117,0.958002079808421,0.0516146884728109
"98",2009-05-22,1.65094339622642,0.894565217391304,"HOG",0.696969696969697,0.32034632034632,0.719011144338117,0.232357832785412
"99",2009-05-26,1.68238993710692,0.928260869565217,"HOG",0.805194805194805,0.887445887445887,0.748444993769287,0.857596056999264
"100",2009-05-27,1.66666666666667,0.885869565217391,"HOG",0.38961038961039,0.116883116883117,0.561001432304352,0.0839308663348709
"101",2009-05-28,1.66666666666667,0.894021739130435,"HOG",0.614718614718615,0.645021645021645,0.554661629422563,0.594258930333861
"102",2009-05-29,1.71698113207547,0.922282608695652,"HOG",0.878787878787879,0.852813852813853,0.84374920946802,0.809078225833725
"103",2009-06-01,1.76100628930818,1.00271739130435,"HOG",0.852813852813853,0.982683982683983,0.802093757237252,0.977379840439246
"104",2009-06-02,1.80188679245283,1.03478260869565,"HOG",0.844155844155844,0.852813852813853,0.800065292227698,0.811576473250202
"105",2009-06-03,1.79559748427673,0.993478260869565,"HOG",0.528138528138528,0.147186147186147,0.653090596092153,0.0937864341969439
"106",2009-06-04,1.79559748427673,1.01684782608696,"HOG",0.614718614718615,0.796536796536797,0.531089821992218,0.766378499536456
