"","X1","SCG","WEC","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.726972779763541,0.859191349318289,"SCG",0.0606060606060606,0.0606060606060606,0.318620957646671,0.318620957646671
"46",2009-03-10,0.731372009898268,0.863892806770099,"SCG",0.692640692640693,0.70995670995671,0.579166430739005,0.628140173035361
"47",2009-03-11,0.725048116579599,0.866008462623413,"SCG",0.285714285714286,0.601731601731602,0.119973138039422,0.81709353120852
"48",2009-03-12,0.735496288149574,0.871415138692995,"SCG",0.835497835497836,0.731601731601732,0.811947754035443,0.467226962178141
"49",2009-03-13,0.755017871872422,0.894217207334274,"SCG",0.922077922077922,0.943722943722944,0.610945173565738,0.811623481429006
"50",2009-03-16,0.770965081110806,0.898448519040903,"SCG",0.874458874458874,0.692640692640693,0.898212718393488,0.330259491346354
"51",2009-03-17,0.788562001649711,0.900564174894217,"SCG",0.9004329004329,0.593073593073593,0.954952573894472,0.17818773898542
"52",2009-03-18,0.817156997525433,0.931828866948754,"SCG",0.956709956709957,0.965367965367965,0.652887683553634,0.789717067532796
"53",2009-03-19,0.824580698377784,0.935119887165021,"SCG",0.748917748917749,0.636363636363636,0.745039016248613,0.438816413107112
"54",2009-03-20,0.827330217211988,0.938881053126469,"SCG",0.632034632034632,0.662337662337662,0.529340183088022,0.609185495475546
"55",2009-03-23,0.854275501787187,0.973906911142454,"SCG",0.943722943722944,0.96969696969697,0.517600722169566,0.878619946292499
"56",2009-03-24,0.838053340665384,0.94875411377527,"SCG",0.138528138528139,0.0649350649350649,0.642792382769044,0.0976223710088183
"57",2009-03-25,0.839703051965906,0.94381758345087,"SCG",0.588744588744589,0.329004329004329,0.767357286420083,0.170272772526916
"58",2009-03-26,0.862249106406379,0.94875411377527,"SCG",0.926406926406926,0.705627705627706,0.957261479998977,0.230512832643475
"59",2009-03-27,0.850151223535881,0.960507757404796,"SCG",0.186147186147186,0.835497835497836,0.0156202784397796,0.982177958163558
"60",2009-03-30,0.83585372559802,0.956276445698166,"SCG",0.151515151515152,0.346320346320346,0.0930666706751948,0.72524563927701
"61",2009-03-31,0.84932636788562,0.967795016455101,"SCG",0.844155844155844,0.835497835497836,0.701742000661698,0.664633836670569
"62",2009-04-01,0.845751993401155,0.972261401034321,"SCG",0.406926406926407,0.67965367965368,0.200236864689709,0.808354029096354
"63",2009-04-02,0.851525982952983,0.967795016455101,"SCG",0.714285714285714,0.346320346320346,0.875858047061486,0.122949680719327
"64",2009-04-03,0.841077811383008,0.97179125528914,"SCG",0.207792207792208,0.666666666666667,0.0451434622311525,0.916807843031702
"65",2009-04-06,0.841077811383008,0.964503996238834,"SCG",0.497835497835498,0.29004329004329,0.700881671621121,0.178673303646177
"66",2009-04-07,0.836678581248282,0.968265162200282,"SCG",0.38961038961039,0.658008658008658,0.19534280855953,0.796238164023264
"67",2009-04-08,0.843277426450371,0.976257639868359,"SCG",0.731601731601732,0.753246753246753,0.595741960432761,0.662009070207705
"68",2009-04-09,0.8490514160022,0.956511518570757,"SCG",0.714285714285714,0.103896103896104,0.977419541192894,0.00689768521638488
"69",2009-04-13,0.846576849051416,0.951339915373766,"SCG",0.424242424242424,0.32034632034632,0.561405394650162,0.276972937552128
"70",2009-04-14,0.838603244432224,0.92971321109544,"SCG",0.272727272727273,0.0865800865800866,0.7949169825977,0.0460473394592184
"71",2009-04-15,0.847676656585098,0.943112364833098,"SCG",0.783549783549784,0.852813852813853,0.530869938069565,0.795119669321756
"72",2009-04-16,0.854550453670608,0.94405265632346,"SCG",0.735930735930736,0.558441558441558,0.781472463238447,0.338896335300828
"73",2009-04-17,0.848226560351939,0.938645980253879,"SCG",0.337662337662338,0.316017316017316,0.427036715741553,0.361943742081197
