"","X1","BTU","SFY","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.883479648842777,0.264140875133405,"SFY",0.614718614718615,0.329004329004329,0.869120496167612,0.116870120154044
"46",2009-03-10,0.961691939345571,0.283884738527215,"SFY",0.939393939393939,0.952380952380952,0.590890967384239,0.776434540031812
"47",2009-03-11,0.966879489225858,0.287086446104589,"SFY",0.562770562770563,0.601731601731602,0.462792782762178,0.602569803300117
"48",2009-03-12,1.0047885075818,0.314834578441836,"SFY",0.766233766233766,0.978354978354978,0.0918433304462809,0.9954549597935
"49",2009-03-13,0.979249800478851,0.304162219850587,"SFY",0.350649350649351,0.233766233766234,0.649999653655268,0.203482382796375
"50",2009-03-16,1.00359138068635,0.325506937033084,"SFY",0.670995670995671,0.952380952380952,0.0949567872876626,0.989957402445728
"51",2009-03-17,1.05626496408619,0.344717182497332,"SFY",0.83982683982684,0.913419913419913,0.384371658442278,0.872917458702636
"52",2009-03-18,1.07861133280128,0.365528281750267,"SFY",0.653679653679654,0.917748917748918,0.126233780376137,0.974954345962132
"53",2009-03-19,1.12889066241022,0.414087513340448,"SFY",0.792207792207792,0.987012987012987,0.08110034000341,0.997695595955197
"54",2009-03-20,1.06983240223464,0.392209178228388,"SFY",0.16017316017316,0.142857142857143,0.412015099024706,0.304214889980137
"55",2009-03-23,1.15243415802075,0.441302027748132,"SFY",0.917748917748918,0.987012987012987,0.169176786101643,0.988124552772868
"56",2009-03-24,1.14365522745411,0.384204909284952,"SFY",0.432900432900433,0.012987012987013,0.9550851946321,0.000813501688816733
"57",2009-03-25,1.08818834796488,0.384204909284952,"SFY",0.177489177489178,0.519480519480519,0.047800369109181,0.893863089866644
"58",2009-03-26,1.10375099760575,0.414087513340448,"SFY",0.614718614718615,0.956709956709957,0.0734013818341542,0.993544434400256
"59",2009-03-27,1.04668794892259,0.400213447171825,"SFY",0.16017316017316,0.233766233766234,0.205146540757296,0.569694527669115
"60",2009-03-30,0.999201915403033,0.376200640341516,"SFY",0.194805194805195,0.121212121212121,0.585339464669088,0.168034228379232
"61",2009-03-31,0.999201915403033,0.389541088580576,"SFY",0.523809523809524,0.831168831168831,0.125825050569897,0.947334506257007
"62",2009-04-01,1.04189944134078,0.398078975453575,"SFY",0.792207792207792,0.718614718614719,0.757854742719657,0.435451126138283
"63",2009-04-02,1.10694333599362,0.435965848452508,"SFY",0.887445887445887,0.978354978354978,0.181219505988251,0.982768838816401
