,COLM,LH
2008-07-15,0.8701267056530215,0.9130844899609218
2008-07-16,0.9115497076023391,0.9136235008758927
2008-07-17,0.9415204678362573,0.9287158064950817
2008-07-18,0.9381091617933723,0.9436733593855277
2008-07-21,0.9300682261208577,0.9475811885190675
2008-07-22,0.9919590643274854,0.9692763778466515
2008-07-23,1.013157894736842,0.9655033014418544
2008-07-24,0.9700292397660819,0.9010914971028164
2008-07-25,0.8925438596491229,0.9152405336208059
2008-07-28,0.8693957115009747,0.8989354534429322
2008-07-29,0.9069200779727096,0.9062121007950412
2008-07-30,0.9198343079922028,0.9087724026411536
2008-07-31,0.90911306042885,0.9106589408435521
2008-08-01,0.9156920077972709,0.9140277590621211
2008-08-04,0.9137426900584795,0.9276377846651396
2008-08-05,0.9583333333333333,0.9494677267214661
