,JNJ,MDLZ
2008-07-16,1.0762310606060606,1.0159755268524813
2008-07-17,1.0705492424242424,1.0166553365057782
2008-07-18,1.0703914141414141,1.0064581917063222
2008-07-21,1.059185606060606,0.9833446634942216
2008-07-22,1.0730744949494948,0.9938817131203262
2008-07-23,1.0774936868686869,1.0129163834126444
2008-07-24,1.0836489898989898,0.9986403806934058
2008-07-25,1.0894886363636365,0.9986403806934058
2008-07-28,1.0808080808080809,1.0479265805574438
2008-07-29,1.0808080808080809,1.0693405846363018
2008-07-30,1.0744949494949494,1.0880353501019713
2008-07-31,1.0806502525252526,1.0815771583956493
2008-08-01,1.074810606060606,1.089055064581917
2008-08-04,1.088699494949495,1.0910944935418083
2008-08-05,1.1119002525252526,1.0992522093813732
2008-08-06,1.121685606060606,1.097212780421482
