"","X1","ISLE","AKRX","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.899425287356322,0.488636363636364,"AKRX",0.372294372294372,0.00865800865800866,0.803721744312375,0.00241674560733334
"46",2009-03-10,1.07183908045977,0.549242424242424,"AKRX",0.991341991341991,0.96969696969697,0.953656811902826,0.629274270774947
"47",2009-03-11,1.00862068965517,0.492424242424242,"AKRX",0.12987012987013,0.0562770562770563,0.401671009157945,0.0982557746370765
"48",2009-03-12,1.17241379310345,0.632575757575758,"AKRX",0.982683982683983,0.995670995670996,0.627167247747768,0.962461954813444
"49",2009-03-13,1.29310344827586,0.617424242424242,"AKRX",0.943722943722944,0.307359307359307,0.982486268754947,0.110904292475303
"50",2009-03-16,1.19540229885057,0.526515151515151,"AKRX",0.0735930735930736,0.025974025974026,0.384845744822036,0.0676380120269075
"51",2009-03-17,1.42528735632184,0.53030303030303,"AKRX",0.991341991341991,0.645021645021645,0.997467644219129,0.202955725289803
"52",2009-03-18,1.4367816091954,0.511363636363636,"AKRX",0.606060606060606,0.225108225108225,0.780725715020939,0.131966241797117
"53",2009-03-19,1.38218390804598,0.526515151515151,"AKRX",0.255411255411255,0.753246753246753,0.121073926780608,0.882935626681615
"54",2009-03-20,1.33333333333333,0.473484848484848,"AKRX",0.281385281385281,0.0649350649350649,0.613376850618089,0.0527582974139281
"55",2009-03-23,1.7183908045977,0.53030303030303,"AKRX",0.995670995670996,0.965367965367965,0.983611706096395,0.502706007036444
"56",2009-03-24,1.59195402298851,0.5,"AKRX",0.0779220779220779,0.147186147186147,0.129891857261798,0.381480499691487
"57",2009-03-25,1.63793103448276,0.473484848484848,"AKRX",0.774891774891775,0.173160173160173,0.909512309411735,0.0688857230301534
"58",2009-03-26,1.66091954022989,0.481060606060606,"AKRX",0.645021645021645,0.70995670995671,0.546496612554667,0.684776279250772
"59",2009-03-27,1.56609195402299,0.450757575757576,"AKRX",0.12987012987013,0.134199134199134,0.249430209981107,0.263803399048353
"60",2009-03-30,1.44252873563218,0.367424242424242,"AKRX",0.0692640692640693,0.00865800865800866,0.532156038779388,0.0175610452842734
"61",2009-03-31,1.52011494252874,0.325757575757576,"AKRX",0.874458874458874,0.0476190476190476,0.954173983986582,0.014619175849333
"62",2009-04-01,1.79310344827586,0.356060606060606,"AKRX",0.991341991341991,0.943722943722944,0.977407817081009,0.507513460297741
