"","X1","PLL","DHR","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.771626297577855,0.884256055363322,"PLL",0.948051948051948,0.978354978354978,0.443110608760781,0.923609444094385
"47",2009-03-11,0.78477508650519,0.901730103806228,"PLL",0.783549783549784,0.865800865800866,0.457517900215876,0.828092618735873
"48",2009-03-12,0.65121107266436,0.941522491349481,"PLL",0,0.952380952380952,1e-10,0.935009759398956
"49",2009-03-13,0.670242214532872,0.936159169550173,"PLL",0.891774891774892,0.380952380952381,0.979303675240542,0.0771486690852642
"50",2009-03-16,0.652249134948097,0.934948096885813,"PLL",0.134199134199134,0.467532467532468,0.0462256054296203,0.84533728757821
"51",2009-03-17,0.669204152249135,0.956055363321799,"PLL",0.887445887445887,0.883116883116883,0.700670700409617,0.672599587795856
"52",2009-03-18,0.685467128027682,0.968685121107267,"PLL",0.865800865800866,0.774891774891775,0.838176533349816,0.43907827404648
"53",2009-03-19,0.693079584775087,0.946885813148789,"PLL",0.705627705627706,0.155844155844156,0.94000978521928,0.0306077025849999
"54",2009-03-20,0.692733564013841,0.927335640138408,"PLL",0.476190476190476,0.168831168831169,0.824902468998224,0.0679689340829668
"55",2009-03-23,0.728373702422145,0.9719723183391,"PLL",0.948051948051948,0.956709956709957,0.659968390764775,0.777187778643372
"56",2009-03-24,0.724913494809689,0.954152249134948,"PLL",0.393939393939394,0.199134199134199,0.713707943277293,0.13088846555765
"57",2009-03-25,0.719723183391003,0.96159169550173,"PLL",0.350649350649351,0.675324675324675,0.136249119556914,0.872182391422394
"58",2009-03-26,0.750865051903114,0.976297577854671,"PLL",0.935064935064935,0.813852813852814,0.938937232382774,0.318356025061567
"59",2009-03-27,0.735294117647059,0.95916955017301,"PLL",0.203463203463203,0.212121212121212,0.340148293924122,0.376963110404153
"60",2009-03-30,0.705536332179931,0.931660899653979,"PLL",0.0779220779220779,0.108225108225108,0.196040977713373,0.423959383263876
"61",2009-03-31,0.706920415224914,0.938062283737024,"PLL",0.515151515151515,0.662337662337662,0.32749597570608,0.750105132332767
"62",2009-04-01,0.725259515570934,0.908477508650519,"PLL",0.887445887445887,0.0909090909090909,0.981579638920301,0.0140797558813684
"63",2009-04-02,0.769896193771626,0.941522491349481,"PLL",0.974025974025974,0.948051948051948,0.896546648168539,0.495593042853853
"64",2009-04-03,0.78719723183391,0.931487889273356,"PLL",0.857142857142857,0.303030303030303,0.972759644555167,0.0606821182936563
"65",2009-04-06,0.787543252595156,0.935121107266436,"PLL",0.489177489177489,0.61038961038961,0.347369804557453,0.697798766045977
"66",2009-04-07,0.764705882352941,0.913494809688581,"PLL",0.125541125541126,0.151515151515152,0.254980261740326,0.399874855566407
"67",2009-04-08,0.775778546712803,0.915743944636678,"PLL",0.766233766233766,0.575757575757576,0.84440151343744,0.290716879147852
"68",2009-04-09,0.831141868512111,0.978892733564014,"PLL",0.982683982683983,0.978354978354978,0.800316227043488,0.666709698677132
"69",2009-04-13,0.817647058823529,0.963321799307958,"PLL",0.255411255411255,0.220779220779221,0.441839197192075,0.307044675084436
"70",2009-04-14,0.816262975778547,0.941522491349481,"PLL",0.441558441558442,0.151515151515152,0.81310725651857,0.0637862051513815
"71",2009-04-15,0.821453287197232,0.926470588235294,"PLL",0.627705627705628,0.220779220779221,0.892629438776146,0.0664000998475074
"72",2009-04-16,0.85363321799308,0.95,"PLL",0.930735930735931,0.9004329004329,0.8158824488258,0.569670328149037
"73",2009-04-17,0.857093425605536,0.954325259515571,"PLL",0.558441558441558,0.632034632034632,0.433065237952711,0.657066063170094
"74",2009-04-20,0.817647058823529,0.920242214532872,"PLL",0.0649350649350649,0.0779220779220779,0.232242507446393,0.355615348014799
"75",2009-04-21,0.843252595155709,0.940484429065744,"PLL",0.9004329004329,0.878787878787879,0.757930742915468,0.614310370266225
"76",2009-04-22,0.870934256055363,0.952249134948097,"PLL",0.904761904761905,0.761904761904762,0.919910742734492,0.320039300473343
"77",2009-04-23,0.856401384083045,1.00415224913495,"PLL",0.246753246753247,0.96969696969697,0.0429406922066345,0.996845928777992
"78",2009-04-24,0.885813148788927,1.04550173010381,"PLL",0.913419913419913,0.952380952380952,0.501180010625157,0.874697654747277
"79",2009-04-27,0.873010380622837,1.0121107266436,"PLL",0.264069264069264,0.0909090909090909,0.725472742776393,0.0615531247894804
"80",2009-04-28,0.871626297577855,0.994809688581315,"PLL",0.441558441558442,0.212121212121212,0.753911314865423,0.120123965435761
"81",2009-04-29,0.921799307958478,1.02076124567474,"PLL",0.952380952380952,0.904761904761905,0.89203080605384,0.466295798093504
"82",2009-04-30,0.913840830449827,1.01107266435986,"PLL",0.341991341991342,0.32034632034632,0.454069703548487,0.382304628662052
