"","X1","MBRG","DX","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.767309064953605,0.951048951048951,"MBRG",0.0562770562770563,0.181818181818182,0.0658733489909481,0.308030404487967
"46",2009-03-10,0.785153461812991,0.960839160839161,"MBRG",0.83982683982684,0.822510822510823,0.807270216978361,0.784869163508649
"47",2009-03-11,0.785153461812991,0.946853146853147,"MBRG",0.584415584415584,0.181818181818182,0.643020780448113,0.15277812108231
"48",2009-03-12,0.818586723768737,0.981818181818182,"MBRG",0.939393939393939,0.952380952380952,0.912707611881089,0.932126032327394
"49",2009-03-13,0.818700927908637,0.98041958041958,"MBRG",0.588744588744589,0.506493506493506,0.57836899322285,0.479115130806795
"50",2009-03-16,0.817130620985011,0.99020979020979,"MBRG",0.406926406926407,0.818181818181818,0.343045610193063,0.826606453251319
"51",2009-03-17,0.750892219842969,0.984615384615385,"MBRG",0.012987012987013,0.341991341991342,0.00966641631293874,0.57431272811086
"52",2009-03-18,0.750892219842969,0.99020979020979,"MBRG",0.584415584415584,0.744588744588745,0.53680879741567,0.730792801845237
"53",2009-03-19,0.764882226980728,0.979020979020979,"MBRG",0.813852813852814,0.229437229437229,0.842934142528284,0.176739913257325
"54",2009-03-20,0.760885082084226,0.983216783216783,"MBRG",0.346320346320346,0.722943722943723,0.296522382514882,0.74076402589504
"55",2009-03-23,0.760885082084226,0.993006993006993,"MBRG",0.584415584415584,0.818181818181818,0.524692887073694,0.808807154765224
"56",2009-03-24,0.767594575303355,1.00699300699301,"MBRG",0.722943722943723,0.87012987012987,0.666088792476601,0.852408174888429
"57",2009-03-25,0.771591720199857,1.01538461538462,"MBRG",0.683982683982684,0.787878787878788,0.637065096183574,0.765382077153522
"58",2009-03-26,0.785153461812991,1.02657342657343,"MBRG",0.80952380952381,0.826839826839827,0.771705447605259,0.793922831660178
"59",2009-03-27,0.810135617416131,1.02097902097902,"MBRG",0.874458874458874,0.346320346320346,0.88629122854059,0.276319823128841
"60",2009-03-30,0.817266238401142,1.0013986013986,"MBRG",0.722943722943723,0.121212121212121,0.785313341744836,0.0893192614425113
"61",2009-03-31,0.818700927908637,0.981818181818182,"MBRG",0.623376623376623,0.108225108225108,0.704787313972515,0.0830999304995617
"62",2009-04-01,0.9593147751606,0.974825174825175,"MBRG",1,0.307359307359307,0.9999999999,0.176329821057644
"63",2009-04-02,0.862669521770164,0.974825174825175,"MBRG",0.00432900432900433,0.597402597402597,0.00222636542669041,0.794958036771463
"64",2009-04-03,0.820849393290507,0.994405594405594,"MBRG",0.0692640692640693,0.891774891774892,0.0425947924568441,0.927920119299127
"65",2009-04-06,0.802997858672377,0.99020979020979,"MBRG",0.203463203463203,0.393939393939394,0.195656356407611,0.446187692395308
"66",2009-04-07,0.817273376159886,0.994405594405594,"MBRG",0.80952380952381,0.722943722943723,0.784727059003707,0.676554895191065
"67",2009-04-08,0.825838686652391,0.987412587412587,"MBRG",0.74025974025974,0.307359307359307,0.763547975305619,0.256609970707763
"68",2009-04-09,0.919343326195575,0.986013986013986,"MBRG",0.991341991341991,0.506493506493506,0.991655274994807,0.394545357418199
"69",2009-04-13,0.838686652391149,0.988811188811189,"MBRG",0.012987012987013,0.692640692640693,0.00723466132757289,0.825180916314486
"70",2009-04-14,0.856531049250535,0.984615384615385,"MBRG",0.831168831168831,0.393939393939394,0.840644321577441,0.328369617521155
"71",2009-04-15,0.856531049250535,1.01258741258741,"MBRG",0.584415584415584,0.935064935064935,0.499908372255564,0.93232806125234
"72",2009-04-16,0.874375446109921,0.997202797202797,"MBRG",0.831168831168831,0.177489177489178,0.865017153215324,0.130204481121984
"73",2009-04-17,0.881513204853676,0.987412587412587,"MBRG",0.70995670995671,0.246753246753247,0.745174563415563,0.202401598459581
