"","X1","OEH","CCO","long_distance","Fx","Fy","MI_X","MI_Y"
"46",2009-03-10,0.46594982078853,0.423880597014925,NA,0.995670995670996,0.974025974025974,0.977435704922339,0.561856501570314
"47",2009-03-11,0.495818399044206,0.417910447761194,NA,0.930735930735931,0.354978354978355,0.974705372452473,0.146821724611933
"48",2009-03-12,0.508960573476703,0.416417910447761,NA,0.80952380952381,0.489177489177489,0.872718519683125,0.296601825356221
"49",2009-03-13,0.525686977299881,0.405970149253731,NA,0.844155844155844,0.238095238095238,0.935054425036928,0.102183641342193
"50",2009-03-16,0.553166069295102,0.365671641791045,"CCO",0.904761904761905,0.025974025974026,0.952810537515387,0.00943023755046279
"51",2009-03-17,0.583034647550777,0.385074626865672,"CCO",0.904761904761905,0.904761904761905,0.775347125023099,0.775347125023099
"52",2009-03-18,0.627240143369176,0.401492537313433,"CCO",0.943722943722944,0.878787878787879,0.897621079195822,0.62748709232746
"53",2009-03-19,0.579450418160096,0.397014925373134,"CCO",0.108225108225108,0.385281385281385,0.0763955410555351,0.647252242823156
"54",2009-03-20,0.544802867383513,0.397014925373134,"CCO",0.142857142857143,0.567099567099567,0.0760605454695465,0.777287389590935
"55",2009-03-23,0.563918757467145,0.407462686567164,"CCO",0.852813852813853,0.831168831168831,0.762672961647207,0.699928543616781
"56",2009-03-24,0.583034647550777,0.362686567164179,"CCO",0.852813852813853,0.025974025974026,0.934123007919699,0.00799847535028198
"57",2009-03-25,0.563918757467145,0.440298507462687,"CCO",0.242424242424242,0.991341991341991,0.104150187749835,0.998129367485637
"58",2009-03-26,0.58183990442055,0.529850746268657,"CCO",0.844155844155844,0.987012987012987,0.375448746603077,0.988943853273777
"59",2009-03-27,0.547192353643967,0.544776119402985,"CCO",0.142857142857143,0.83982683982684,0.0550090424494889,0.937461049756348
"60",2009-03-30,0.477897252090801,0.473134328358209,"CCO",0.0303030303030303,0.0173160173160173,0.255010251030151,0.0997250079969175
"61",2009-03-31,0.48984468339307,0.547761194029851,NA,0.800865800865801,0.982683982683983,0.354289150630068,0.987670938036942
"62",2009-04-01,0.531660692951016,0.52089552238806,NA,0.956709956709957,0.108225108225108,0.984602820633047,0.0469632125672257
"63",2009-04-02,0.563918757467145,0.549253731343284,NA,0.922077922077922,0.909090909090909,0.810569075126645,0.754135937830317
"64",2009-04-03,0.633213859020311,0.541791044776119,NA,0.982683982683983,0.354978354978355,0.995783320641671,0.133875015362541
"65",2009-04-06,0.579450418160096,0.528358208955224,NA,0.0735930735930736,0.238095238095238,0.0738023181520278,0.529300316617944
"66",2009-04-07,0.584229390681004,0.516417910447761,NA,0.636363636363636,0.25974025974026,0.784470608351915,0.157728504101368
"67",2009-04-08,0.623655913978495,0.555223880597015,NA,0.935064935064935,0.952380952380952,0.750356054395642,0.85197312232588
"68",2009-04-09,0.672640382317802,0.595522388059701,NA,0.948051948051948,0.943722943722944,0.818762032239394,0.792578697941617
"69",2009-04-13,0.643966547192354,0.576119402985075,NA,0.199134199134199,0.199134199134199,0.295871013171981,0.295871013171981
"70",2009-04-14,0.659498207885305,0.592537313432836,NA,0.796536796536797,0.83982683982684,0.656066588708208,0.77185503607364
"71",2009-04-15,0.731182795698925,0.592537313432836,"CCO",0.96969696969697,0.567099567099567,0.988460133362506,0.227604228469186
"72",2009-04-16,0.826762246117085,0.646268656716418,"CCO",0.982683982683983,0.961038961038961,0.921902520274476,0.696215388872295
"73",2009-04-17,0.937873357228196,0.713432835820896,"CCO",0.982683982683983,0.961038961038961,0.921902520274476,0.696215388872295
"74",2009-04-20,0.869772998805257,0.656716417910448,"CCO",0.112554112554113,0.051948051948052,0.366223557832953,0.099733111454941
"75",2009-04-21,0.849462365591398,0.729850746268657,"CCO",0.324675324675325,0.96969696969697,0.125653327746491,0.991495580463844
"76",2009-04-22,0.943847072879331,0.67910447761194,"CCO",0.96969696969697,0.0649350649350649,0.987063796234173,0.0335676248747254
