,HT,AIN
2008-07-15,0.6688815060908084,0.7712344280860701
2008-07-16,0.70874861572536,0.8060588901472253
2008-07-17,0.7231450719822814,0.8270101925254814
2008-07-18,0.7109634551495017,0.8193657984144961
2008-07-21,0.7253599114064231,0.8230464326160816
2008-07-22,0.7630121816168328,0.859286523216308
2008-07-23,0.7862679955703211,0.869762174405436
2008-07-24,0.7297895902547066,0.8468289920724802
2008-07-25,0.7685492801771873,0.8406002265005663
2008-07-28,0.7475083056478405,0.8176670441676104
2008-07-29,0.7818383167220376,0.8179501698754247
2008-07-30,0.7873754152823921,0.8304077010192525
2008-07-31,0.7862679955703211,0.8125707814269535
2008-08-01,0.7884828349944629,0.8088901472253681
2008-08-04,0.7729789590254708,0.8088901472253681
2008-08-05,0.8516057585825029,0.888731596828992
