"","X1","HHS","TILE","long_distance","Fx","Fy","MI_X","MI_Y"
"45",2009-03-09,0.719754977029097,0.317171717171717,"TILE",0.705627705627706,0.00432900432900433,0.994558853795503,7.88516324074368e-05
"46",2009-03-10,0.800918836140888,0.30050505050505,"TILE",0.995670995670996,0.116883116883117,0.999895432058584,0.00238591376082806
"47",2009-03-11,0.793261868300153,0.311111111111111,"TILE",0.41991341991342,0.852813852813853,0.174406506087923,0.925785611790041
"48",2009-03-12,0.803981623277182,0.37979797979798,"TILE",0.727272727272727,1,6.1856506749347e-06,0.9999999999
"49",2009-03-13,0.781010719754977,0.41010101010101,"TILE",0.181818181818182,0.974025974025974,0.0141260009863634,0.997604365646067
"50",2009-03-16,0.750382848392037,0.41010101010101,"TILE",0.116883116883117,0.545454545454545,0.0466142067441894,0.836442440173527
"51",2009-03-17,0.765696784073507,0.448484848484848,"TILE",0.822510822510823,0.982683982683983,0.247626276256959,0.988314442831962
"52",2009-03-18,0.771822358346095,0.414141414141414,"TILE",0.670995670995671,0.0562770562770563,0.948056521550129,0.00889597677333919
"53",2009-03-19,0.770290964777948,0.434343434343434,"TILE",0.567099567099567,0.926406926406926,0.213154064656925,0.962754725795483
"54",2009-03-20,0.735068912710567,0.466666666666667,"TILE",0.0865800865800866,0.96969696969697,0.003975568981176,0.998362446232066
"55",2009-03-23,0.774885145482389,0.537373737373737,"TILE",0.948051948051948,0.995670995670996,0.254575600982419,0.992204271022446
"56",2009-03-24,0.774885145482389,0.565656565656566,"TILE",0.584415584415584,0.930735930735931,0.219553185767669,0.9644141549121
"57",2009-03-25,0.828483920367534,0.626262626262626,"TILE",0.978354978354978,0.982683982683983,0.731515210043865,0.826363384787672
"58",2009-03-26,0.886676875957121,0.688888888888889,"TILE",0.978354978354978,0.982683982683983,0.731515210043865,0.826363384787672
"59",2009-03-27,0.869831546707504,0.626262626262626,"TILE",0.277056277056277,0.0432900432900433,0.767136963906587,0.0258785258098702
"60",2009-03-30,0.807044410413476,0.62020202020202,"TILE",0.0303030303030303,0.41991341991342,0.00725074501097115,0.899631668277192
"61",2009-03-31,0.819295558958652,0.604040404040404,"TILE",0.757575757575758,0.242424242424242,0.901259386434277,0.0892817249640382
"62",2009-04-01,0.848392036753446,0.618181818181818,"TILE",0.9004329004329,0.757575757575758,0.892934906070186,0.46865217920948
